Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
C10,1979-08-27,14:00:00,NA,NA,NA,93.2,4,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,1.4,NA,NA,0.5,NA,NA,NA,19,1.2,NA,30,NA,0.79,697,7.4,NA,24,27,7.7,NA,NA,NA,NA,NA,NA
C10,1979-09-11,15:00:00,NA,NA,NA,93.2,NA,NA,NA,NA,29.49,13.94,NA,NA,0.16,NA,NA,90,NA,1.3,NA,NA,0.5,NA,0.17,0.34,20,1.3,NA,28,NA,NA,670,6.7,NA,25,22,7.4,NA,NA,NA,NA,NA,NA
C10,1979-09-24,13:00:00,NA,NA,NA,84.2,5,NA,NA,NA,13.44,10.54,NA,NA,0.12,NA,NA,NA,NA,0.97,NA,NA,0.4,NA,NA,NA,18,0.9,NA,36,NA,0.89,420,6.6,NA,22,20,NA,NA,NA,NA,NA,NA,NA
C10,1979-10-09,13:00:00,NA,NA,NA,77,5,NA,NA,NA,9.64,7.88,NA,NA,0.1,NA,NA,50,NA,0.83,NA,NA,0.3,NA,0.12,0.24,16,0.8,NA,36,NA,1.61,406,8.1,NA,20,NA,7.6,NA,NA,NA,NA,NA,NA
C10,1979-10-22,12:00:00,NA,NA,NA,68,5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.71,NA,NA,0.3,NA,NA,NA,14,0.6,NA,40,NA,1.71,439,7.7,NA,15,11,7.5,NA,NA,NA,NA,NA,NA
C10,1979-11-26,16:00:00,NA,NA,NA,55.4,10,NA,NA,NA,5.72,7.61,NA,NA,0.22,NA,NA,61,NA,0.87,NA,NA,0.4,NA,0.11,0.23,16,0.8,NA,60,NA,NA,510,9,NA,12,11,7.6,NA,NA,NA,NA,NA,NA
C10,1979-12-05,11:00:00,NA,NA,NA,62.6,13,NA,NA,NA,8.65,5.49,NA,NA,0.28,NA,NA,68,NA,0.92,NA,NA,0.2,NA,0.14,0.22,15,0.7,NA,64,NA,NA,542,10.6,NA,11,9,7.6,NA,NA,NA,NA,NA,NA
C10,1980-02-06,14:00:00,NA,NA,NA,59,16,NA,NA,NA,2.78,1.39,NA,NA,0.06,NA,NA,27,NA,0.36,NA,NA,0.1,NA,0.06,0.11,11,0.4,NA,NA,NA,NA,257,8.9,NA,11,19,NA,NA,NA,NA,NA,NA,NA
C10,1980-03-10,16:00:00,NA,NA,NA,62.6,NA,NA,NA,NA,13.13,2.98,NA,NA,0.03,NA,NA,22,NA,0.3,NA,NA,0.3,NA,0.07,0.13,11,0.5,NA,NA,NA,NA,231,8.8,NA,14,21,7.4,NA,NA,NA,NA,NA,NA
C10,1980-03-24,16:00:00,NA,NA,NA,66.2,18,NA,NA,NA,12.97,4.75,NA,NA,0.01,NA,NA,NA,NA,0.19,NA,NA,0.3,NA,NA,NA,10,0.4,NA,NA,NA,NA,264,10.2,NA,13,16,7.8,NA,NA,NA,NA,NA,NA
C10,1980-04-07,13:00:00,NA,NA,NA,60.8,5,NA,NA,NA,9.42,5.87,NA,NA,0.07,NA,NA,NA,33,0.46,NA,NA,0.2,NA,0.06,0.14,12,0.5,NA,NA,NA,NA,306,9.5,NA,13,17,7.5,NA,NA,NA,NA,NA,NA
C10,1980-04-21,14:00:00,NA,NA,NA,53.6,6,NA,NA,NA,17.6,8.23,NA,NA,0.02,NA,NA,NA,NA,0.27,NA,NA,0.3,NA,NA,NA,11,0.4,NA,NA,NA,NA,275,9.4,NA,15,13,7.8,NA,NA,NA,NA,NA,NA
C10,1980-05-05,14:00:00,NA,NA,NA,75.2,10,NA,NA,NA,14.21,5.72,NA,NA,0.01,NA,NA,NA,22,0.32,NA,NA,0.2,NA,0.05,0.13,13,0.4,NA,NA,NA,NA,217,9,NA,18,17,7.5,NA,NA,NA,NA,NA,NA
C10,1980-05-19,14:00:00,NA,NA,NA,89.6,6,NA,NA,NA,23.01,7.45,NA,NA,0.07,NA,NA,NA,NA,0.16,NA,NA,0.2,NA,NA,NA,9.9,0.5,NA,NA,NA,NA,237,8.9,NA,21,17,7.8,NA,NA,NA,NA,NA,NA
C10,1980-06-03,12:00:00,NA,NA,NA,68,8,NA,NA,NA,14.36,6.03,NA,NA,0.02,NA,NA,NA,29,0.32,NA,NA,0.2,NA,0.04,0.14,13,0.4,NA,NA,NA,NA,257,8.6,NA,17,16,7.7,NA,NA,NA,NA,NA,NA
C10,1980-06-17,14:00:00,NA,NA,NA,91.4,5,NA,NA,NA,29.18,9.73,NA,NA,0.01,NA,NA,NA,NA,0.71,NA,NA,0.2,NA,NA,NA,14,0.5,NA,NA,NA,NA,413,8.7,NA,22,18,7.9,NA,NA,NA,NA,NA,NA
C10,1980-07-01,12:00:00,NA,NA,NA,86,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,44,0.74,NA,NA,0.2,NA,0.1,0.21,13,0.6,NA,NA,NA,NA,367,8.2,NA,21,19,7.6,NA,NA,NA,NA,NA,NA
C10,1980-07-15,12:00:00,NA,NA,NA,87.8,2,NA,NA,NA,5.07,2.54,NA,NA,0.1,NA,NA,NA,NA,1,NA,NA,0.3,NA,NA,NA,19,0.7,NA,NA,NA,NA,488,7.2,NA,23,28,7.8,NA,NA,NA,NA,NA,NA
C10,1980-08-04,18:00:00,NA,NA,NA,80.6,6,NA,NA,NA,39.28,20.57,NA,NA,0.21,NA,NA,NA,103,1.7,NA,NA,0.4,NA,0.18,0.34,19,1.2,NA,NA,NA,NA,752,7.6,NA,26,35,8.1,NA,NA,NA,NA,NA,NA
C10,1980-08-18,16:00:00,NA,NA,NA,78.8,10,NA,NA,NA,42,16.09,NA,NA,0.03,NA,NA,NA,NA,1.6,NA,NA,0.5,NA,NA,NA,19,0.9,NA,NA,NA,NA,718,7.5,NA,24,30,8,NA,NA,NA,NA,NA,NA
C10,1980-09-02,17:00:00,NA,NA,NA,86,NA,NA,NA,NA,25.08,10.6,NA,NA,0.07,NA,NA,NA,64,1.3,NA,NA,0.3,NA,0.12,0.24,16,0.8,NA,NA,NA,NA,565,7.4,NA,24,27,7.9,NA,NA,NA,NA,NA,NA
C10,1980-09-15,15:00:00,NA,NA,NA,77,NA,NA,NA,NA,8.53,4.45,NA,NA,0.03,NA,NA,NA,NA,0.62,NA,NA,0.2,NA,NA,NA,13,0.5,NA,NA,NA,NA,284,8.3,NA,21,17,7.7,NA,NA,NA,NA,NA,NA
C10,1980-10-14,16:00:00,NA,NA,NA,64.4,5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,30,0.65,NA,NA,0.2,NA,0.07,0.16,13,0.5,NA,NA,NA,NA,263,8.4,NA,16,14,7.4,NA,NA,NA,NA,NA,NA
C10,1980-10-27,14:00:00,NA,NA,NA,75.2,7,NA,NA,NA,1.61,5.44,NA,NA,0.08,NA,NA,NA,NA,0.75,NA,NA,0.1,NA,NA,NA,12,0.4,NA,NA,NA,NA,315,8.8,NA,15,10,7.7,NA,NA,NA,NA,NA,NA
C10,1980-11-12,15:00:00,NA,NA,NA,60.8,4,NA,NA,NA,6.06,4.7,NA,NA,0.18,NA,NA,NA,63,0.98,NA,NA,0.2,NA,0.1,0.22,15,0.8,NA,NA,NA,NA,458,8.7,NA,14,14,7.6,NA,NA,NA,NA,NA,NA
C10,1980-12-10,13:00:00,NA,NA,NA,53.6,NA,NA,NA,NA,3.34,2.32,NA,NA,0.19,NA,NA,NA,68,0.89,NA,NA,0.2,NA,0.09,0.16,14,0.6,NA,NA,NA,NA,522,10.2,NA,9,7,7.5,NA,NA,NA,NA,NA,NA
C10,1981-01-08,12:00:00,NA,NA,NA,44.6,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,45,0.66,NA,NA,0.2,NA,0.06,0.12,10,0.4,NA,NA,NA,NA,345,9.2,NA,9,8,7.4,NA,NA,NA,NA,NA,NA
C10,1981-02-24,14:00:00,NA,NA,NA,59,6,NA,NA,NA,6.3,4.91,NA,NA,0.2,NA,NA,NA,173,2.1,NA,NA,0.4,NA,0.11,0.24,18,0.9,NA,NA,NA,NA,1210,8.4,NA,14,13,7.6,NA,NA,NA,NA,NA,NA
C10,1981-03-11,11:00:00,NA,NA,NA,64.4,3,NA,NA,NA,10.26,7.82,NA,NA,0.15,NA,NA,NA,116,1.8,NA,NA,0.6,NA,0.16,0.31,16,1.2,NA,NA,NA,NA,917,8,NA,16,23,7.6,NA,NA,NA,NA,NA,NA
C10,1981-03-24,14:00:00,NA,NA,NA,69.8,1,NA,NA,NA,10.38,11.58,NA,NA,0.15,NA,NA,NA,NA,1.3,NA,NA,0.8,NA,0.19,0.35,14,1.3,NA,NA,NA,NA,680,8,NA,16,39,7.6,NA,NA,NA,NA,NA,NA
C10,1981-04-09,13:00:00,NA,NA,NA,71.6,12,NA,NA,NA,38.29,11.85,NA,NA,0.04,NA,NA,NA,167,1.8,NA,NA,0.4,NA,0.18,0.38,18,1,NA,NA,NA,NA,1120,9,NA,18,22,7.9,NA,NA,NA,NA,NA,NA
C10,1981-04-27,16:00:00,NA,NA,NA,78.8,10,NA,NA,NA,17.91,10,NA,NA,0.06,NA,NA,NA,NA,1.2,NA,NA,0.3,NA,NA,NA,16,0.7,NA,NA,NA,NA,610,9.1,NA,18,21,7.9,NA,NA,NA,NA,NA,NA
C10,1981-05-11,17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,30.11,11.35,NA,NA,0.02,NA,NA,NA,84,1.3,NA,NA,0.3,NA,0.14,0.26,16,0.7,NA,NA,NA,NA,638,8.7,NA,22,23,7.9,NA,NA,NA,NA,NA,NA
C10,1981-05-26,14:00:00,NA,NA,NA,78.8,5,NA,NA,NA,40.14,21.46,NA,NA,0.02,NA,NA,NA,NA,1.5,NA,NA,0.4,NA,0.13,0.29,18,0.9,NA,NA,NA,NA,795,8.3,NA,22,34,7.9,NA,NA,NA,NA,NA,NA
C10,1981-06-08,14:00:00,NA,NA,NA,86,7,NA,NA,NA,52.03,15.94,NA,NA,0.01,NA,NA,NA,115,1.3,NA,NA,0.4,NA,0.18,0.35,20,1.1,NA,NA,NA,NA,819,9.3,NA,25,22,8,NA,NA,NA,NA,NA,NA
C10,1981-06-23,13:00:00,NA,NA,NA,96.8,10,NA,NA,NA,36.28,13.4,NA,NA,0.01,NA,NA,NA,NA,1,NA,NA,0.4,NA,NA,NA,19,0.8,NA,NA,NA,NA,635,8.8,NA,25,27,7.9,NA,NA,NA,NA,NA,NA
C10,1981-07-06,13:00:00,NA,NA,NA,89.6,10,NA,NA,NA,22.08,12.78,NA,NA,0.01,NA,NA,NA,80,1.3,NA,NA,0.3,NA,0.12,0.3,16,0.8,NA,NA,NA,NA,602,7.7,NA,26,36,7.8,NA,NA,NA,NA,NA,NA
C10,1981-07-21,12:00:00,NA,NA,NA,93.2,5,NA,NA,NA,49.87,21.69,NA,NA,0.1,NA,NA,NA,NA,1.7,NA,NA,0.4,NA,NA,NA,19,1.2,NA,NA,NA,NA,872,7.8,NA,26,35,7.8,NA,NA,NA,NA,NA,NA
C10,1981-08-05,11:00:00,NA,NA,NA,82.4,NA,NA,NA,NA,18.38,6.76,NA,NA,0.12,NA,NA,NA,126,1.8,NA,NA,0.5,NA,0.19,0.4,19,1.3,NA,NA,NA,NA,909,7.3,NA,24,37,7.8,NA,NA,NA,NA,NA,NA
C10,1981-08-18,11:00:00,NA,NA,NA,80.6,9,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,1.5,NA,NA,0.4,NA,NA,NA,20,0.9,NA,NA,NA,NA,775,7.2,NA,23,29,7.8,NA,NA,NA,NA,NA,NA
C10,1981-09-01,12:00:00,NA,NA,NA,86,NA,NA,NA,NA,28.87,12.7,NA,NA,0.04,NA,NA,NA,108,1.4,NA,NA,0.5,NA,0.13,0.29,18,0.8,NA,NA,NA,NA,778,7.7,NA,24,26,7.7,NA,NA,NA,NA,NA,NA
C10,1981-09-15,11:00:00,NA,NA,NA,80.6,NA,NA,NA,NA,20.85,12.16,NA,NA,0.1,NA,NA,NA,NA,1.5,NA,NA,0.4,NA,NA,NA,17,1,NA,NA,NA,NA,826,7.1,NA,22,20,7.6,NA,NA,NA,NA,NA,NA
C10,1981-10-05,16:00:00,NA,NA,NA,75.2,NA,NA,NA,NA,17.45,9.77,NA,NA,0.07,NA,NA,NA,76,1.4,NA,NA,0.3,NA,0.1,0.29,23,0.9,NA,NA,NA,NA,585,8,NA,20,17,7.7,NA,NA,NA,NA,NA,NA
C10,1981-10-19,16:00:00,NA,NA,NA,68,NA,NA,NA,NA,9.58,7.8,NA,NA,0.25,NA,NA,NA,NA,1.6,NA,NA,0.4,NA,NA,NA,19,0.9,NA,NA,NA,NA,698,7.7,NA,18,15,7.5,NA,NA,NA,NA,NA,NA
C10,1981-11-16,14:00:00,NA,NA,NA,71.6,2,NA,NA,NA,16.68,16.79,NA,NA,0.75,NA,NA,NA,104,1.4,NA,NA,0.8,NA,0.29,0.58,19,2,NA,NA,NA,NA,785,6.6,NA,16,25,NA,NA,NA,NA,NA,NA,NA
C10,1981-12-14,14:00:00,NA,NA,NA,66.2,NA,NA,NA,NA,4.64,10.54,NA,NA,0.47,NA,NA,NA,112,1.6,NA,NA,0.3,NA,0.17,0.34,20,1.2,NA,NA,NA,NA,830,8.7,NA,13,15,NA,NA,NA,NA,NA,NA,NA
C10,1982-01-27,14:00:00,NA,NA,NA,50,6,NA,NA,NA,3.09,6.06,NA,NA,0.31,NA,NA,NA,93,1.2,NA,NA,0.5,NA,0.14,0.27,19,1.1,NA,NA,NA,NA,790,9.4,NA,9,18,8,NA,NA,NA,NA,NA,NA
C10,1982-02-10,11:30:00,NA,NA,NA,53.6,4,NA,NA,NA,3.4,4.94,NA,NA,0.16,NA,NA,NA,68,0.76,NA,NA,0.2,NA,0.08,0.19,7.3,0.6,NA,NA,NA,NA,557,9.7,NA,10,13,NA,NA,NA,NA,NA,NA,NA
C10,1982-03-01,14:15:00,NA,NA,NA,55.4,17,NA,NA,NA,5.56,2.43,NA,NA,0.09,NA,NA,NA,28,0.52,NA,NA,0.2,NA,0.05,0.13,11,0.3,NA,NA,NA,NA,288,9.9,NA,11,13,NA,NA,NA,NA,NA,NA,NA
C10,1982-03-15,14:25:00,NA,NA,NA,53.6,16,NA,NA,NA,5.87,4.67,NA,NA,0.12,NA,NA,NA,NA,0.66,NA,NA,0.2,NA,NA,NA,11,0.4,NA,NA,NA,NA,337,9.5,NA,12,17,7.8,NA,NA,NA,NA,NA,NA
C10,1982-04-13,12:40:00,NA,NA,NA,68,4,NA,NA,NA,9.26,4.4,NA,NA,0.09,NA,NA,NA,21,0.27,NA,NA,0.3,NA,0.09,0.16,12,0.6,NA,NA,NA,NA,235,6.9,NA,15,14,7.3,NA,NA,NA,NA,NA,NA
C10,1982-05-17,17:00:00,NA,NA,NA,69.8,9,NA,NA,NA,6.49,1.16,NA,NA,0.06,NA,NA,NA,17,0.21,NA,NA,0.3,NA,0.08,0.15,9.8,0.4,NA,NA,NA,NA,185,7.5,NA,18,10,7.7,NA,NA,NA,NA,NA,NA
C10,1982-06-14,14:55:00,NA,NA,NA,96.8,7,NA,NA,NA,12.04,6.02,NA,NA,0.11,NA,NA,NA,34,0.62,NA,NA,0.2,NA,0.07,0.19,14,0.6,NA,NA,NA,NA,335,7.8,NA,20,23,7.5,NA,NA,NA,NA,NA,NA
C10,1982-06-28,17:20:00,NA,NA,NA,69.8,9,NA,NA,NA,18.22,5.17,NA,NA,0.04,NA,NA,NA,NA,0.51,NA,NA,0.2,NA,0.06,0.15,12,0.5,NA,NA,NA,NA,281,8.9,NA,20,17,7.7,NA,NA,NA,NA,NA,NA
C10,1982-07-12,13:25:00,NA,NA,NA,93.2,7,NA,NA,NA,20.22,9.3,NA,NA,0.08,NA,NA,NA,50,0.86,NA,NA,0.3,NA,0.08,0.22,15,1,NA,NA,NA,NA,437,7.6,NA,22,24,7.4,NA,NA,NA,NA,NA,NA
C10,1982-07-26,13:40:00,NA,NA,NA,NA,NA,NA,NA,NA,15.13,6.52,NA,NA,0.07,NA,NA,NA,NA,0.91,NA,NA,0.2,NA,NA,NA,14,0.6,NA,NA,NA,NA,408,8,NA,22,27,NA,NA,NA,NA,NA,NA,NA
C10,1982-08-09,12:45:00,NA,NA,NA,86,12,NA,NA,NA,16.83,4.82,NA,NA,0.11,NA,NA,NA,50,1.2,NA,NA,0.2,NA,0.1,0.23,16,0.7,NA,NA,NA,NA,445,7.6,NA,22,23,7.6,NA,NA,NA,NA,NA,NA
C10,1982-08-25,14:45:00,NA,NA,NA,86,8,NA,NA,NA,8.65,7.33,NA,NA,0.08,NA,NA,NA,NA,1,NA,NA,0.1,NA,NA,NA,14,0.6,NA,NA,NA,NA,413,7.5,NA,22,25,7.5,NA,NA,NA,NA,NA,NA
C10,1982-09-07,14:25:00,NA,NA,NA,96.8,NA,NA,NA,NA,10.96,5.48,NA,NA,0.05,NA,NA,NA,37,0.75,NA,NA,0.2,NA,0.08,0.18,12,0.6,NA,NA,NA,NA,348,8.1,NA,22,16,7.4,NA,NA,NA,NA,NA,NA
C10,1982-09-20,11:45:00,NA,NA,NA,71.6,6,NA,NA,NA,4.17,3.01,NA,NA,0.05,NA,NA,NA,NA,0.47,NA,NA,0.2,NA,NA,NA,12,0.4,NA,NA,NA,NA,195,8.6,NA,17,11,7.4,NA,NA,NA,NA,NA,NA
C10,1982-10-05,11:50:00,NA,NA,NA,73.4,6,NA,NA,NA,3.55,3.28,NA,NA,0.04,NA,NA,NA,14,0.33,NA,NA,0.2,NA,0.05,0.1,11,0.3,NA,NA,NA,NA,153,8.9,NA,15,10,7.3,NA,NA,NA,NA,NA,NA
C10,1982-10-19,10:40:00,NA,NA,NA,60.8,6,NA,NA,NA,4.48,3.05,NA,NA,0.08,NA,NA,NA,NA,0.45,NA,NA,0.1,NA,NA,NA,11,0.4,NA,NA,NA,NA,185,8.8,NA,15,9,NA,NA,NA,NA,NA,NA,NA
C10,1982-11-04,13:00:00,NA,NA,NA,64.4,NA,NA,NA,NA,3.86,2.17,NA,NA,0.12,NA,NA,NA,16,0.34,NA,NA,0.1,NA,0.06,0.13,12,0.4,NA,NA,NA,NA,163,9.1,NA,14,10,7.4,NA,NA,NA,NA,NA,NA
C10,1982-12-02,12:10:00,NA,NA,NA,50,4,NA,NA,NA,8.8,12.16,NA,NA,0.17,NA,NA,NA,15,0.45,NA,NA,0.4,NA,0.11,0.28,12,1,NA,NA,NA,NA,177,8.5,NA,11,36,7.3,NA,NA,NA,NA,NA,NA
C10,1983-01-03,13:10:00,NA,NA,NA,44.6,2,NA,NA,NA,1.7,2.47,NA,NA,0.03,NA,NA,NA,16,0.26,NA,NA,0.2,NA,0.04,0.1,12,0.3,NA,NA,NA,NA,172,10.2,NA,7,NA,7.3,NA,NA,NA,NA,NA,NA
C10,1983-02-03,13:30:00,NA,NA,NA,60.8,2,NA,NA,NA,1.54,2.97,NA,NA,0.12,NA,NA,NA,18,0.41,NA,NA,0.4,NA,0.13,0.16,14,0.7,NA,NA,NA,NA,240,NA,NA,11,38,NA,NA,NA,NA,NA,NA,NA
C10,1983-03-21,13:40:00,NA,NA,NA,59,4,NA,NA,NA,3.71,2.2,NA,NA,0.04,NA,NA,NA,24,0.38,NA,NA,0.3,NA,0.08,0.15,14,0.4,NA,NA,NA,NA,289,9.2,NA,13,22,7.5,NA,NA,NA,NA,NA,NA
C10,1983-05-02,12:05:00,NA,NA,NA,68,5,NA,NA,NA,9.73,6.25,NA,NA,0.02,NA,NA,NA,19,0.28,NA,NA,0.2,NA,0.04,0.1,12,0.4,NA,NA,NA,NA,203,9.3,NA,16,13,7.4,NA,NA,NA,NA,NA,NA
C10,1983-06-14,11:00:00,NA,NA,NA,71.6,5,NA,NA,NA,6.33,5.13,NA,NA,0.02,NA,NA,NA,10,0.16,NA,NA,0.2,NA,0.03,0.15,9.4,0.5,NA,NA,NA,NA,123,7.9,NA,20,25,7.4,NA,NA,NA,NA,NA,NA
C10,1983-07-14,12:20:00,NA,NA,NA,89.6,7,NA,NA,NA,4.32,4.71,NA,NA,0.03,NA,NA,NA,14,0.18,NA,NA,0.3,NA,0.03,0.1,8.6,0.4,NA,NA,NA,NA,114,7.5,NA,23,27,6.8,NA,NA,NA,NA,NA,NA
C10,1983-08-15,14:50:00,NA,NA,NA,95,NA,NA,NA,NA,8.18,6.87,NA,NA,0.07,NA,NA,NA,33,0.78,NA,NA,0.2,NA,0.05,0.16,13,0.5,NA,NA,NA,NA,325,7.7,NA,21,19,NA,NA,NA,NA,NA,NA,NA
C10,1983-09-26,13:25:00,NA,NA,NA,73.4,4,NA,NA,NA,2.93,4.94,NA,NA,0.05,NA,NA,NA,16,0.44,NA,NA,0.2,NA,0.04,0.11,10,0.4,NA,NA,NA,NA,158,8.3,NA,19,18,NA,NA,NA,NA,NA,NA,NA
C10,1983-10-11,13:10:00,NA,NA,NA,80.6,3,NA,NA,NA,5.71,4.82,NA,NA,0.03,NA,NA,NA,14,0.31,NA,NA,0.2,NA,0.03,0.1,9.1,0.3,NA,NA,NA,NA,152,7.9,NA,19,15,7,NA,NA,NA,NA,NA,NA
C10,1983-11-07,11:35:00,NA,NA,NA,NA,8,NA,NA,NA,6.79,5.48,NA,NA,0.18,NA,NA,NA,39,0.89,NA,NA,0.1,NA,0.07,0.19,13,0.7,NA,NA,NA,NA,395,8.1,NA,15,21,NA,NA,NA,NA,NA,NA,NA
C10,1983-12-07,12:05:00,NA,NA,NA,59,10,NA,NA,NA,4.01,3.16,NA,NA,0.08,NA,NA,NA,18,0.48,NA,NA,0.1,NA,0.04,0.1,11,0.4,NA,NA,NA,NA,195,9.8,NA,10,18,7.3,NA,NA,NA,NA,NA,NA
C10,1984-01-23,12:50:00,NA,NA,NA,55.4,3,315,NA,NA,5.4,2.47,NA,NA,0.06,NA,NA,NA,19,0.36,NA,NA,0.1,NA,0.04,0.09,12,0.5,NA,NA,NA,NA,214,10.6,NA,10,9,NA,NA,NA,NA,NA,NA,NA
C10,1984-02-07,13:00:00,NA,NA,NA,55.4,NA,NA,NA,NA,4.79,1.81,NA,NA,0.07,NA,NA,NA,39,0.77,NA,NA,0.2,NA,0.03,0.11,12,0.4,NA,NA,NA,NA,350,10.2,NA,11,11,7.7,NA,NA,NA,NA,NA,NA
C10,1984-03-08,12:40:00,NA,NA,NA,62.6,NA,NA,NA,NA,6.79,4.44,NA,NA,0.12,NA,NA,NA,44,0.74,NA,NA,0.2,NA,0.06,0.12,16,0.5,NA,NA,NA,NA,395,9.9,NA,13,8,NA,NA,NA,NA,NA,NA,NA
C10,1984-04-09,14:25:00,NA,NA,NA,66.2,9,315,NA,NA,19.3,9.53,NA,NA,0.04,NA,NA,NA,73,1.6,NA,NA,0.4,NA,0.07,0.22,16,0.6,NA,NA,NA,NA,634,9,NA,16,15,7.7,NA,NA,NA,NA,NA,NA
C10,1984-05-07,14:05:00,NA,NA,NA,89.6,5,315,NA,NA,37.67,10.27,NA,NA,0.1,NA,NA,NA,68,1.4,NA,NA,0.3,NA,0.1,0.24,16,0.8,NA,NA,NA,NA,571,9.5,NA,18,14,7.9,NA,NA,NA,NA,NA,NA
C10,1984-06-04,11:40:00,NA,NA,NA,62.6,4,NA,NA,NA,31.03,15.05,NA,NA,0.06,NA,NA,NA,79,1.5,NA,NA,0.3,NA,0.16,0.28,16,0.9,NA,NA,NA,NA,633,9.4,NA,20,33,7.8,NA,NA,NA,NA,NA,NA
C10,1984-07-05,14:00:00,NA,NA,NA,102.2,3,270,NA,NA,43.53,16.79,NA,NA,0.15,NA,NA,NA,84,1.9,NA,NA,0.4,NA,0.16,0.34,19,1.2,NA,NA,NA,NA,709,7.1,NA,27,35,7.9,NA,NA,NA,NA,NA,NA
C10,1984-07-17,12:30:00,NA,NA,NA,95,4,248,NA,NA,32.73,20.53,NA,NA,0.08,NA,NA,NA,NA,1.7,NA,NA,0.4,NA,NA,NA,NA,0.5,NA,NA,NA,NA,702,6.9,NA,28,44,7.8,NA,NA,NA,NA,NA,NA
C10,1984-08-02,12:50:00,NA,NA,NA,84.2,9,315,NA,NA,25.01,11.81,NA,NA,0.11,NA,NA,NA,87,1.9,NA,NA,0.3,NA,0.16,0.32,18,1.2,NA,NA,NA,NA,728,7,NA,24,38,7.8,NA,NA,NA,NA,NA,NA
C10,1984-08-16,11:55:00,NA,NA,NA,78.8,NA,NA,NA,NA,25.47,13.31,NA,NA,0.06,NA,NA,NA,NA,1.7,NA,NA,0.4,NA,NA,NA,NA,0.9,NA,NA,NA,NA,661,7,NA,23,31,NA,NA,NA,NA,NA,NA,NA
C10,1984-09-13,11:40:00,NA,NA,NA,82.4,8,315,NA,NA,18.06,13.78,NA,NA,0.07,NA,NA,NA,45,1.2,NA,NA,0.3,NA,0.13,0.27,16,0.7,NA,NA,NA,NA,425,7.4,NA,23,22,NA,NA,NA,NA,NA,NA,NA
C10,1984-09-27,11:05:00,NA,NA,NA,80.6,7,315,NA,NA,23.93,10.23,NA,NA,0.03,NA,NA,NA,NA,1.3,NA,NA,0.2,NA,NA,NA,15,0.6,NA,NA,NA,NA,658,8.6,NA,20,13,NA,NA,NA,NA,NA,NA,NA
C10,1984-10-15,13:35:00,NA,NA,NA,68,20,225,NA,NA,8.49,6.91,NA,NA,0.07,NA,NA,NA,24,0.99,NA,NA,0.2,NA,0.1,0.2,13,0.6,NA,NA,NA,NA,252,8.9,NA,16,17,NA,NA,NA,NA,NA,NA,NA
C10,1984-11-27,14:45:00,NA,NA,NA,53.6,20,225,NA,NA,5.87,5.94,NA,NA,0.29,NA,NA,NA,42,1,NA,NA,0.4,NA,0.16,0.29,12,0.9,NA,NA,NA,NA,397,9.6,NA,11,28,NA,NA,NA,NA,NA,NA,NA
C10,1984-12-12,16:15:00,NA,NA,NA,53.6,7,45,NA,NA,2.78,5.67,NA,NA,0.16,NA,NA,NA,36,0.88,NA,NA,0.3,NA,0.11,0.19,12,0.7,NA,NA,NA,NA,335,NA,NA,12,12,7.2,NA,NA,NA,NA,NA,NA
C10,1985-01-09,13:15:00,NA,NA,NA,53.6,4,315,NA,NA,2.47,4.13,NA,NA,0.18,NA,NA,NA,50,0.93,NA,NA,0.1,NA,0.08,0.16,12,0.6,NA,NA,NA,NA,435,9.8,NA,11,8,6.8,NA,NA,NA,NA,NA,NA
C10,1985-02-11,16:20:00,NA,NA,NA,59,8,135,NA,NA,10.03,7.68,NA,NA,0.36,NA,NA,NA,84,1.4,NA,NA,0.4,NA,0.15,0.26,13,1.1,NA,NA,NA,NA,695,9.7,NA,10,14,7.3,NA,NA,NA,NA,NA,NA
C10,1985-03-12,13:40:00,NA,NA,NA,64.4,7,23,NA,NA,15.59,9.3,NA,NA,0.14,NA,NA,NA,86,2,NA,NA,0.4,NA,0.11,0.26,12,1,NA,NA,NA,NA,767,9.1,NA,14,18,NA,NA,NA,NA,NA,NA,NA
C10,1985-03-28,09:20:00,NA,NA,NA,57.2,7,NA,NA,NA,19.45,16.09,NA,NA,0.64,NA,NA,NA,NA,2.5,NA,NA,0.5,NA,NA,NA,15,2.7,NA,NA,NA,NA,824,8.6,NA,12,17,NA,NA,NA,NA,NA,NA,NA
