Lab,Organisms_per_mL,Cells_per_Unit,UnitAbundance,Factor,Cells_per_mL
EcoAnalysts,64.08,1,25,NA,64.08
EcoAnalysts,5.13,1,2,NA,5.13
EcoAnalysts,25.63,1,10,NA,25.63
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,82.83,1,7,NA,82.83
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,59.17,1,5,NA,59.17
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,568,1,48,NA,568
EcoAnalysts,35.5,8,3,NA,284
EcoAnalysts,1325.33,1,112,NA,1325.33
EcoAnalysts,769.17,1,65,NA,769.17
EcoAnalysts,59.17,1,5,NA,59.17
EcoAnalysts,23.67,1,2,NA,23.67
EcoAnalysts,485.17,1,41,NA,485.17
EcoAnalysts,35.5,1,3,NA,35.5
EcoAnalysts,260.33,1,22,NA,260.33
EcoAnalysts,23.67,1,2,NA,23.67
EcoAnalysts,35.5,1,3,NA,35.5
EcoAnalysts,23.67,1,2,NA,23.67
EcoAnalysts,47.33,1,4,NA,47.33
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,260.33,1,22,NA,260.33
EcoAnalysts,378.67,1,32,NA,378.67
EcoAnalysts,35.5,1,3,NA,35.5
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,94.67,1,8,NA,94.67
EcoAnalysts,130.17,1,11,NA,130.17
EcoAnalysts,35.5,8,3,NA,284
EcoAnalysts,23.67,1,2,NA,23.67
EcoAnalysts,11.83,1,1,NA,11.83
EcoAnalysts,53.01,1,7,NA,53.01
EcoAnalysts,15.15,1,2,NA,15.15
EcoAnalysts,15.15,1,2,NA,15.15
EcoAnalysts,1022.4,1,135,NA,1022.4
EcoAnalysts,530.13,1,70,NA,530.13
EcoAnalysts,174.19,1,23,NA,174.19
EcoAnalysts,7.57,1,1,NA,7.57
EcoAnalysts,113.6,1,15,NA,113.6
EcoAnalysts,242.35,1,32,NA,242.35
EcoAnalysts,22.72,1,3,NA,22.72
EcoAnalysts,45.44,1,6,NA,45.44
EcoAnalysts,181.76,1,24,NA,181.76
EcoAnalysts,159.04,1,21,NA,159.04
EcoAnalysts,30.29,1,4,NA,30.29
EcoAnalysts,68.16,1,9,NA,68.16
EcoAnalysts,272.64,1,36,NA,272.64
EcoAnalysts,15.15,1,2,NA,15.15
EcoAnalysts,30.29,1,4,NA,30.29
EcoAnalysts,7.57,1,1,NA,7.57
EcoAnalysts,30.29,1,4,NA,30.29
EcoAnalysts,62.24,1,1,NA,62.24
EcoAnalysts,124.48,8,2,NA,995.84
EcoAnalysts,871.38,3,14,NA,2614.14
EcoAnalysts,5352.76,1,86,NA,5352.76
EcoAnalysts,435.69,1,7,NA,435.69
EcoAnalysts,560.17,1,9,NA,560.17
EcoAnalysts,186.72,2,3,NA,373.44
EcoAnalysts,1182.59,1,19,NA,1182.59
EcoAnalysts,62.24,1,1,NA,62.24
EcoAnalysts,124.48,1,2,NA,124.48
EcoAnalysts,62.24,4,1,NA,248.96
EcoAnalysts,62.24,4,1,NA,248.96
EcoAnalysts,186.72,4,3,NA,746.88
EcoAnalysts,2738.62,1,44,NA,2738.62
EcoAnalysts,1929.48,1,31,NA,1929.48
EcoAnalysts,311.21,1,5,NA,311.21
EcoAnalysts,124.48,1,2,NA,124.48
EcoAnalysts,2738.62,60,44,NA,164317.19999999998
EcoAnalysts,62.24,1,1,NA,62.24
EcoAnalysts,497.93,1,8,NA,497.93
EcoAnalysts,62.24,1,1,NA,62.24
EcoAnalysts,373.45,1,6,NA,373.45
EcoAnalysts,186.72,1,3,NA,186.72
EcoAnalysts,373.45,1,6,NA,373.45
EcoAnalysts,435.69,1,7,NA,435.69
EcoAnalysts,3298.79,2,53,NA,6597.58
EcoAnalysts,186.72,30,3,NA,5601.6
EcoAnalysts,124.48,16,2,NA,1991.68
EcoAnalysts,435.69,2,7,NA,871.38
EcoAnalysts,62.24,4,1,NA,248.96
EcoAnalysts,186.72,4,3,NA,746.88
EcoAnalysts,62.24,4,1,NA,248.96
EcoAnalysts,435.69,4,7,NA,1742.76
EcoAnalysts,186.72,4,3,NA,746.88
EcoAnalysts,933.62,4,15,NA,3734.48
EcoAnalysts,124.48,1,2,NA,124.48
EcoAnalysts,1182.59,1,19,NA,1182.59
EcoAnalysts,186.72,8,3,NA,1493.76
EcoAnalysts,248.97,1,4,NA,248.97
EcoAnalysts,62.24,4,1,NA,248.96
EcoAnalysts,560.17,1,9,NA,560.17
EcoAnalysts,632.86,8,3,NA,5062.88
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,46410.02,1,220,NA,46410.02
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,632.86,1,3,NA,632.86
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,843.82,1,4,NA,843.82
EcoAnalysts,421.91,4,2,NA,1687.64
EcoAnalysts,2953.37,1,14,NA,2953.37
EcoAnalysts,8438.19,1,40,NA,8438.19
EcoAnalysts,632.86,1,3,NA,632.86
EcoAnalysts,10336.78,3,49,NA,31010.340000000004
EcoAnalysts,2953.37,60,14,NA,177202.19999999998
EcoAnalysts,632.86,1,3,NA,632.86
EcoAnalysts,632.86,1,3,NA,632.86
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,632.86,16,3,NA,10125.76
EcoAnalysts,1265.73,2,6,NA,2531.46
EcoAnalysts,421.91,4,2,NA,1687.64
EcoAnalysts,210.95,4,1,NA,843.8
EcoAnalysts,1687.64,4,8,NA,6750.56
EcoAnalysts,3586.23,4,17,NA,14344.92
EcoAnalysts,210.95,2,1,NA,421.9
EcoAnalysts,1265.73,1,6,NA,1265.73
EcoAnalysts,1265.73,1,6,NA,1265.73
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,2109.55,1,10,NA,2109.55
EcoAnalysts,512.62,1,16,NA,512.62
EcoAnalysts,32.04,1,1,NA,32.04
EcoAnalysts,128.15,1,4,NA,128.15
EcoAnalysts,224.27,1,7,NA,224.27
EcoAnalysts,192.23,1,6,NA,192.23
EcoAnalysts,64.08,1,2,NA,64.08
EcoAnalysts,512.62,1,16,NA,512.62
EcoAnalysts,32.04,8,1,NA,256.32
EcoAnalysts,160.19,1,5,NA,160.19
EcoAnalysts,800.97,1,25,NA,800.97
EcoAnalysts,224.27,1,7,NA,224.27
EcoAnalysts,576.7,1,18,NA,576.7
EcoAnalysts,224.27,1,7,NA,224.27
EcoAnalysts,224.27,1,7,NA,224.27
EcoAnalysts,4901.93,1,153,NA,4901.93
EcoAnalysts,256.31,1,8,NA,256.31
EcoAnalysts,224.27,1,7,NA,224.27
EcoAnalysts,160.19,1,5,NA,160.19
EcoAnalysts,96.12,1,3,NA,96.12
EcoAnalysts,512.62,1,16,NA,512.62
EcoAnalysts,384.46,1,12,NA,384.46
EcoAnalysts,96.12,1,3,NA,96.12
EcoAnalysts,32.04,1,1,NA,32.04
EcoAnalysts,993.2,10,31,NA,9932
EcoAnalysts,961.16,1,30,NA,961.16
EcoAnalysts,128.15,1,4,NA,128.15
EcoAnalysts,32.04,1,1,NA,32.04
EcoAnalysts,32.04,1,1,NA,32.04
EcoAnalysts,64.08,1,2,NA,64.08
EcoAnalysts,768.93,1,24,NA,768.93
EcoAnalysts,160.19,1,5,NA,160.19
EcoAnalysts,32.04,1,1,NA,32.04
EcoAnalysts,843.82,1,4,NA,843.82
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,843.82,1,4,NA,843.82
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,1265.73,8,6,NA,10125.84
EcoAnalysts,2953.37,1,14,NA,2953.37
EcoAnalysts,5273.87,1,25,NA,5273.87
EcoAnalysts,36284.2,1,172,NA,36284.2
EcoAnalysts,2742.41,1,13,NA,2742.41
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,1054.77,1,5,NA,1054.77
EcoAnalysts,6328.64,1,30,NA,6328.64
EcoAnalysts,843.82,1,4,NA,843.82
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,6117.68,2.5,29,NA,15294.2
EcoAnalysts,1054.77,1,5,NA,1054.77
EcoAnalysts,2742.41,1,13,NA,2742.41
EcoAnalysts,10336.78,1,49,NA,10336.78
EcoAnalysts,1054.77,1,5,NA,1054.77
EcoAnalysts,421.91,1,2,NA,421.91
EcoAnalysts,421.91,4,2,NA,1687.64
EcoAnalysts,1265.73,1,6,NA,1265.73
EcoAnalysts,1265.73,1,6,NA,1265.73
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,210.95,1,1,NA,210.95
EcoAnalysts,19.91,30,7,NA,597.3
EcoAnalysts,39.83,1,14,NA,39.83
EcoAnalysts,5.69,1,2,NA,5.69
EcoAnalysts,22.76,1,8,NA,22.76
EcoAnalysts,133.71,1,47,NA,133.71
EcoAnalysts,59.74,8,21,NA,477.92
EcoAnalysts,159.32,1,56,NA,159.32
EcoAnalysts,71.12,1,25,NA,71.12
EcoAnalysts,179.23,1,63,NA,179.23
EcoAnalysts,11.38,1,4,NA,11.38
EcoAnalysts,22.76,1,8,NA,22.76
EcoAnalysts,14.22,1,5,NA,14.22
EcoAnalysts,39.83,1,14,NA,39.83
EcoAnalysts,5.69,1,2,NA,5.69
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,99.57,1,35,NA,99.57
EcoAnalysts,17.07,1,6,NA,17.07
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,99.57,1,35,NA,99.57
EcoAnalysts,8.53,20,3,NA,170.6
EcoAnalysts,14.22,2.5,5,NA,35.550000000000004
EcoAnalysts,45.52,1,16,NA,45.52
EcoAnalysts,22.76,1,8,NA,22.76
EcoAnalysts,2.84,34,1,NA,96.56
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,4,1,NA,11.36
EcoAnalysts,8.53,1,3,NA,8.53
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,2,1,NA,5.68
EcoAnalysts,5.69,4,2,NA,22.76
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,2.84,1,1,NA,2.84
EcoAnalysts,607.55,1,2,NA,607.55
EcoAnalysts,1822.65,1,6,NA,1822.65
EcoAnalysts,303.77,1,1,NA,303.77
EcoAnalysts,607.55,1,2,NA,607.55
EcoAnalysts,21568,4,71,NA,86272
EcoAnalysts,65311.56,1,215,NA,65311.56
EcoAnalysts,8809.47,1,29,NA,8809.47
EcoAnalysts,3949.07,1,13,NA,3949.07
EcoAnalysts,1518.87,1,5,NA,1518.87
EcoAnalysts,1215.1,1,4,NA,1215.1
EcoAnalysts,303.77,1,1,NA,303.77
EcoAnalysts,2430.2,1,8,NA,2430.2
EcoAnalysts,1822.65,1,6,NA,1822.65
EcoAnalysts,2733.97,1,9,NA,2733.97
EcoAnalysts,9417.02,2.5,31,NA,23542.550000000003
EcoAnalysts,35.88,1,7,NA,35.88
EcoAnalysts,71.77,30,14,NA,2153.1
EcoAnalysts,61.51,1,12,NA,61.51
EcoAnalysts,10.25,1,2,NA,10.25
EcoAnalysts,97.4,1,19,NA,97.4
EcoAnalysts,10.25,1,2,NA,10.25
EcoAnalysts,153.79,1,30,NA,153.79
EcoAnalysts,153.79,8,30,NA,1230.32
EcoAnalysts,512.62,1,100,NA,512.62
EcoAnalysts,184.54,1,36,NA,184.54
EcoAnalysts,251.18,1,49,NA,251.18
EcoAnalysts,15.38,1,3,NA,15.38
EcoAnalysts,102.52,1,20,NA,102.52
EcoAnalysts,51.26,1,10,NA,51.26
EcoAnalysts,71.77,1,14,NA,71.77
EcoAnalysts,15.38,1,3,NA,15.38
EcoAnalysts,15.38,1,3,NA,15.38
EcoAnalysts,41.01,1,8,NA,41.01
EcoAnalysts,153.79,1,30,NA,153.79
EcoAnalysts,10.25,1,2,NA,10.25
EcoAnalysts,56.39,1,11,NA,56.39
EcoAnalysts,41.01,1,8,NA,41.01
EcoAnalysts,15.38,4,3,NA,61.52
EcoAnalysts,10.25,1,2,NA,10.25
EcoAnalysts,10.25,1,2,NA,10.25
EcoAnalysts,5.13,2,1,NA,10.26
EcoAnalysts,20.5,4,4,NA,82
EcoAnalysts,10.25,1,2,NA,10.25
EcoAnalysts,15.38,1,3,NA,15.38
EcoAnalysts,125.54,1,3,NA,125.54
EcoAnalysts,3096.64,1,74,NA,3096.64
EcoAnalysts,209.23,1,5,NA,209.23
EcoAnalysts,41.85,1,1,NA,41.85
EcoAnalysts,41.85,1,1,NA,41.85
EcoAnalysts,209.23,1,5,NA,209.23
EcoAnalysts,627.7,1,15,NA,627.7
EcoAnalysts,209.23,1,5,NA,209.23
EcoAnalysts,167.39,2,4,NA,334.78
EcoAnalysts,125.54,2,3,NA,251.08
EcoAnalysts,334.77,1,8,NA,334.77
EcoAnalysts,3138.49,1,75,NA,3138.49
EcoAnalysts,962.47,1,23,NA,962.47
EcoAnalysts,83.69,16,2,NA,1339.04
EcoAnalysts,292.93,8,7,NA,2343.44
EcoAnalysts,125.54,1,3,NA,125.54
EcoAnalysts,1506.47,1,36,NA,1506.47
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,41.85,1,1,NA,41.85
EcoAnalysts,167.39,1,4,NA,167.39
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,878.78,1,21,NA,878.78
EcoAnalysts,669.54,1,16,NA,669.54
EcoAnalysts,41.85,1,1,NA,41.85
EcoAnalysts,251.08,1,6,NA,251.08
EcoAnalysts,376.62,1,9,NA,376.62
EcoAnalysts,795.08,1,19,NA,795.08
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,41.85,50,1,NA,2092.5
EcoAnalysts,41.85,34,1,NA,1422.9
EcoAnalysts,1799.4,2,43,NA,3598.8
EcoAnalysts,711.39,2,17,NA,1422.78
EcoAnalysts,41.85,1,1,NA,41.85
EcoAnalysts,292.93,4,7,NA,1171.72
EcoAnalysts,125.54,4,3,NA,502.16
EcoAnalysts,460.31,1,11,NA,460.31
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,167.39,1,4,NA,167.39
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,83.69,1,2,NA,83.69
EcoAnalysts,152.57,1,7,NA,152.57
EcoAnalysts,610.26,8,28,NA,4882.08
EcoAnalysts,239.75,1,11,NA,239.75
EcoAnalysts,108.98,1,5,NA,108.98
EcoAnalysts,239.75,1,11,NA,239.75
EcoAnalysts,65.39,1,3,NA,65.39
EcoAnalysts,1133.34,1,52,NA,1133.34
EcoAnalysts,43.59,2,2,NA,87.18
EcoAnalysts,65.39,8,3,NA,523.12
EcoAnalysts,326.93,1,15,NA,326.93
EcoAnalysts,828.21,1,38,NA,828.21
EcoAnalysts,87.18,1,4,NA,87.18
EcoAnalysts,130.77,1,6,NA,130.77
EcoAnalysts,21.8,1,1,NA,21.8
EcoAnalysts,196.16,1,9,NA,196.16
EcoAnalysts,588.47,1,27,NA,588.47
EcoAnalysts,1634.63,1,75,NA,1634.63
EcoAnalysts,43.59,1,2,NA,43.59
EcoAnalysts,65.39,1,3,NA,65.39
EcoAnalysts,21.8,1,1,NA,21.8
EcoAnalysts,65.39,1,3,NA,65.39
EcoAnalysts,65.39,1,3,NA,65.39
EcoAnalysts,697.44,1,32,NA,697.44
EcoAnalysts,87.18,1,4,NA,87.18
EcoAnalysts,152.57,1,7,NA,152.57
EcoAnalysts,305.13,1,14,NA,305.13
EcoAnalysts,174.36,1,8,NA,174.36
EcoAnalysts,196.16,1,9,NA,196.16
EcoAnalysts,65.39,4,3,NA,261.56
EcoAnalysts,43.59,4,2,NA,174.36
EcoAnalysts,65.39,4,3,NA,261.56
EcoAnalysts,87.18,4,4,NA,348.72
EcoAnalysts,348.72,1,16,NA,348.72
EcoAnalysts,43.59,1,2,NA,43.59
EcoAnalysts,21.8,1,1,NA,21.8
EcoAnalysts,130.77,1,6,NA,130.77
EcoAnalysts,43.59,1,2,NA,43.59
EcoAnalysts,108.98,1,5,NA,108.98
EcoAnalysts,21.8,4,1,NA,87.2
EcoAnalysts,21.8,1,1,NA,21.8
EcoAnalysts,65.39,1,3,NA,65.39
EcoAnalysts,1.71,1,1,NA,1.71
EcoAnalysts,15.38,1,9,NA,15.38
EcoAnalysts,1.71,1,1,NA,1.71
EcoAnalysts,8.54,1,5,NA,8.54
EcoAnalysts,6.83,1,4,NA,6.83
EcoAnalysts,10.25,1,6,NA,10.25
EcoAnalysts,39.3,1,23,NA,39.3
EcoAnalysts,78.6,1,46,NA,78.6
EcoAnalysts,37.59,1,22,NA,37.59
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,41.01,1,24,NA,41.01
EcoAnalysts,44.43,1,26,NA,44.43
EcoAnalysts,64.93,1,38,NA,64.93
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,1.71,1,1,NA,1.71
EcoAnalysts,47.84,1,28,NA,47.84
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,27.34,1,16,NA,27.34
EcoAnalysts,1.71,1,1,NA,1.71
EcoAnalysts,20.5,1,12,NA,20.5
EcoAnalysts,11.96,1,7,NA,11.96
EcoAnalysts,6.83,1,4,NA,6.83
EcoAnalysts,18.8,1,11,NA,18.8
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,18.8,1,11,NA,18.8
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,10.25,1,6,NA,10.25
EcoAnalysts,17.09,1,10,NA,17.09
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,10.25,1,6,NA,10.25
EcoAnalysts,6.83,1,4,NA,6.83
EcoAnalysts,1.71,1,1,NA,1.71
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,52.25,1,37,NA,52.25
EcoAnalysts,1.41,1,1,NA,1.41
EcoAnalysts,22.59,1,16,NA,22.59
EcoAnalysts,21.18,1,15,NA,21.18
EcoAnalysts,15.53,1,11,NA,15.53
EcoAnalysts,50.84,1,36,NA,50.84
EcoAnalysts,29.66,1,21,NA,29.66
EcoAnalysts,49.43,1,35,NA,49.43
EcoAnalysts,31.07,1,22,NA,31.07
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,70.61,1,50,NA,70.61
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,1.41,1,1,NA,1.41
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,12.71,1,9,NA,12.71
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,60.72,1,43,NA,60.72
EcoAnalysts,45.19,1,32,NA,45.19
EcoAnalysts,4.24,1,3,NA,4.24
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,8.47,1,6,NA,8.47
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,4.24,1,3,NA,4.24
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,36.72,1,26,NA,36.72
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,8.47,1,6,NA,8.47
EcoAnalysts,1.41,1,1,NA,1.41
EcoAnalysts,25.42,1,18,NA,25.42
EcoAnalysts,56.49,1,40,NA,56.49
EcoAnalysts,18.36,1,13,NA,18.36
EcoAnalysts,29.66,1,21,NA,29.66
EcoAnalysts,52.25,1,37,NA,52.25
EcoAnalysts,86.14,1,61,NA,86.14
EcoAnalysts,72.02,1,51,NA,72.02
EcoAnalysts,9.89,1,7,NA,9.89
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,83.32,1,59,NA,83.32
EcoAnalysts,7.06,1,5,NA,7.06
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,8.47,1,6,NA,8.47
EcoAnalysts,35.3,1,25,NA,35.3
EcoAnalysts,5.65,1,4,NA,5.65
EcoAnalysts,14.12,1,10,NA,14.12
EcoAnalysts,14.12,1,10,NA,14.12
EcoAnalysts,1.41,4,1,NA,5.64
EcoAnalysts,8.47,1,6,NA,8.47
EcoAnalysts,9.89,3,7,NA,29.67
EcoAnalysts,12.71,1,9,NA,12.71
EcoAnalysts,4.24,4,3,NA,16.96
EcoAnalysts,11.3,1,8,NA,11.3
EcoAnalysts,2.82,1,2,NA,2.82
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,18.8,1,11,NA,18.8
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,8.54,1,5,NA,8.54
EcoAnalysts,5.13,8,3,NA,41.04
EcoAnalysts,13.67,1,8,NA,13.67
EcoAnalysts,23.92,1,14,NA,23.92
EcoAnalysts,30.76,1,18,NA,30.76
EcoAnalysts,56.39,1,33,NA,56.39
EcoAnalysts,10.25,1,6,NA,10.25
EcoAnalysts,58.1,1,34,NA,58.1
EcoAnalysts,6.83,1,4,NA,6.83
EcoAnalysts,8.54,1,5,NA,8.54
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,70.06,1,41,NA,70.06
EcoAnalysts,6.83,1,4,NA,6.83
EcoAnalysts,17.09,1,10,NA,17.09
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,170.87,1,100,NA,170.87
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,15.38,1,9,NA,15.38
EcoAnalysts,8.54,1,5,NA,8.54
EcoAnalysts,13.67,1,8,NA,13.67
EcoAnalysts,5.13,1,3,NA,5.13
EcoAnalysts,73.48,1,43,NA,73.48
EcoAnalysts,15.38,1,9,NA,15.38
EcoAnalysts,3.42,1,2,NA,3.42
EcoAnalysts,8.54,1,5,NA,8.54
EcoAnalysts,6.83,1,4,NA,6.83
EcoAnalysts,8.54,1,5,NA,8.54
EcoAnalysts,1.71,1,1,NA,1.71
EcoAnalysts,10.59,1,5,NA,10.59
EcoAnalysts,33.89,1,16,NA,33.89
EcoAnalysts,2.12,1,1,NA,2.12
EcoAnalysts,46.6,1,22,NA,46.6
EcoAnalysts,31.77,1,15,NA,31.77
EcoAnalysts,2.12,1,1,NA,2.12
EcoAnalysts,12.71,1,6,NA,12.71
EcoAnalysts,80.49,1,38,NA,80.49
EcoAnalysts,8.47,1,4,NA,8.47
EcoAnalysts,2.12,1,1,NA,2.12
EcoAnalysts,52.96,1,25,NA,52.96
EcoAnalysts,4.24,1,2,NA,4.24
EcoAnalysts,12.71,1,6,NA,12.71
EcoAnalysts,4.24,1,2,NA,4.24
EcoAnalysts,10.59,1,5,NA,10.59
EcoAnalysts,10.59,1,5,NA,10.59
EcoAnalysts,8.47,1,4,NA,8.47
EcoAnalysts,4.24,1,2,NA,4.24
EcoAnalysts,25.42,1,12,NA,25.42
EcoAnalysts,2.12,1,1,NA,2.12
EcoAnalysts,6.35,1,3,NA,6.35
EcoAnalysts,18.69,1,7,NA,18.69
EcoAnalysts,114.81,1,43,NA,114.81
EcoAnalysts,8.01,1,3,NA,8.01
EcoAnalysts,42.72,1,16,NA,42.72
EcoAnalysts,10.68,1,4,NA,10.68
EcoAnalysts,13.35,1,5,NA,13.35
EcoAnalysts,34.71,1,13,NA,34.71
EcoAnalysts,45.39,1,17,NA,45.39
EcoAnalysts,34.71,1,13,NA,34.71
EcoAnalysts,8.01,1,3,NA,8.01
EcoAnalysts,210.92,1,79,NA,210.92
EcoAnalysts,2.67,1,1,NA,2.67
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,2.67,1,1,NA,2.67
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,13.35,1,5,NA,13.35
EcoAnalysts,21.36,1,8,NA,21.36
EcoAnalysts,8.01,1,3,NA,8.01
EcoAnalysts,42.72,1,16,NA,42.72
EcoAnalysts,16.02,2.5,6,NA,40.05
EcoAnalysts,13.35,1,5,NA,13.35
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,2.67,1,1,NA,2.67
EcoAnalysts,2.67,1,1,NA,2.67
EcoAnalysts,2.67,34,1,NA,90.78
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,2.67,1,1,NA,2.67
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,61.41,1,23,NA,61.41
EcoAnalysts,13.35,1,5,NA,13.35
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,10.68,1,4,NA,10.68
EcoAnalysts,10.68,1,4,NA,10.68
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,5.34,1,2,NA,5.34
EcoAnalysts,18.99,1,9,NA,18.99
EcoAnalysts,31.64,1,15,NA,31.64
EcoAnalysts,2.11,1,1,NA,2.11
EcoAnalysts,16.88,1,8,NA,16.88
EcoAnalysts,14.77,1,7,NA,14.77
EcoAnalysts,6.33,1,3,NA,6.33
EcoAnalysts,29.53,1,14,NA,29.53
EcoAnalysts,225.72,1,107,NA,225.72
EcoAnalysts,4.22,8,2,NA,33.76
EcoAnalysts,143.45,1,68,NA,143.45
EcoAnalysts,2.11,1,1,NA,2.11
EcoAnalysts,21.1,1,10,NA,21.1
EcoAnalysts,6.33,1,3,NA,6.33
EcoAnalysts,35.86,1,17,NA,35.86
EcoAnalysts,2.11,1,1,NA,2.11
EcoAnalysts,103.37,1,49,NA,103.37
EcoAnalysts,4.22,1,2,NA,4.22
EcoAnalysts,8.44,1,4,NA,8.44
EcoAnalysts,4.22,1,2,NA,4.22
EcoAnalysts,29.53,1,14,NA,29.53
EcoAnalysts,48.52,1,23,NA,48.52
EcoAnalysts,10.55,1,5,NA,10.55
EcoAnalysts,6.33,1,3,NA,6.33
EcoAnalysts,18.99,1,9,NA,18.99
EcoAnalysts,4.22,8,2,NA,33.76
EcoAnalysts,16.88,1,8,NA,16.88
EcoAnalysts,37.97,1,18,NA,37.97
EcoAnalysts,88.92,1,17,NA,88.92
EcoAnalysts,52.31,1,10,NA,52.31
EcoAnalysts,68,1,13,NA,68
EcoAnalysts,235.39,1,45,NA,235.39
EcoAnalysts,5.23,1,1,NA,5.23
EcoAnalysts,10.46,1,2,NA,10.46
EcoAnalysts,10.46,1,2,NA,10.46
EcoAnalysts,10.46,1,2,NA,10.46
EcoAnalysts,10.46,1,2,NA,10.46
EcoAnalysts,20.92,1,4,NA,20.92
EcoAnalysts,31.38,1,6,NA,31.38
EcoAnalysts,15.69,1,3,NA,15.69
EcoAnalysts,36.62,1,7,NA,36.62
EcoAnalysts,47.08,1,9,NA,47.08
EcoAnalysts,20.92,1,4,NA,20.92
EcoAnalysts,47.08,1,9,NA,47.08
EcoAnalysts,172.62,2,33,NA,345.24
EcoAnalysts,20.92,1,4,NA,20.92
EcoAnalysts,10.46,1,2,NA,10.46
EcoAnalysts,198.77,1,38,NA,198.77
EcoAnalysts,15.69,1,3,NA,15.69
EcoAnalysts,20.92,1,4,NA,20.92
EcoAnalysts,266.99,1,1,NA,266.99
EcoAnalysts,266.99,1,1,NA,266.99
EcoAnalysts,76358.99,1,286,NA,76358.99
EcoAnalysts,533.98,1,2,NA,533.98
EcoAnalysts,1067.96,1,4,NA,1067.96
EcoAnalysts,533.98,2,2,NA,1067.96
