Kingdom,Phylum,Class,Genus,Taxon,AlgalGroup,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Protozoa,Dinozoa,Dinophyceae,Scrippsiella,cf. Scrippsiella sp.,Dinoflagellates,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,marine
Plantae,Chlorophyta,Chlorophyceae,Selenastrum,cf. Selenastrum sp.,Green Algae,Unknown,Unknown,None,Unknown,Unknown,Wehr and Sheath 2003,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Skeletonema,cf. Skeletonema sp.,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Snowella,cf. Snowella sp.,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater to brackish
Plantae,Chlorophyta,Chlorophyceae,Sphaerocystis,cf. Sphaerocystis sp.,Green Algae,Unknown,Unknown,None,Unknown,Unknown,Wehr and Sheath 2003,colonial,planktonic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Stauroforma,cf. Stauroforma sp.,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Fragilariophyceae,Staurosira,cf. Staurosira sp.,Pennate Diatoms,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Stephanocyclus,cf. Stephanocyclus meneghiniana,Centric Diatoms,Unknown,Unknown,cf. Cyclotella meneghiniana,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Stephanocyclus,cf. Stephanocyclus sp.,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Stephanodiscus,cf. Stephanodiscus sp.,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Protozoa,Ciliophora,Ciliatea,Strombidium,cf. Strombidium sp.,Ciliates,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Surirella,cf. Surirella sp.,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Synechococcus,cf. Synechococcus aquatilis,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Synechococcus,cf. Synechococcus nidulans,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Synechococcus,cf. Synechococcus salinarum,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic or benthic,marine
Bacteria,Cyanobacteria,Cyanophyceae,Synechococcus,cf. Synechococcus sp.,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Synechococcus,cf. Synechococcus spp.,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Synechocystis,cf. Synechocystis aquatilis,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Synechocystis,cf. Synechocystis sp.,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Fragilariophyceae,Synedra,cf. Synedra sp.,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Tetrastrum,cf. Tetrastrum sp.,Green Algae,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Thalassionema,cf. Thalassionema sp.,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira spp.,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Protozoa,Euglenozoa,Euglenophyceae,Trachelomonas,cf. Trachelomonas sp.,Euglenoids,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Tryblionella,cf. Tryblionella coarctata,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Tryblionella,cf. Tryblionella sp.,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Ochrophyta,Fragilariophyceae,Ulnaria,cf. Ulnaria sp.,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Fragilariophyceae,Ulnaria,cf. Ulnaria ulna,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Woronichinia,cf. Woronichinia elorantae,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Xenococcus,cf. Xenococcus sp.,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros elmorei,Centric Diatoms,Boyer,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros sp.,Centric Diatoms,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Xanthophyceae,Characiopsis,Characiopsis sp.,Xanthophytes,Borzi,Wehr and Sheath 2003,Pseudocharaciopsis sp.,K.W. Lee and Bold,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Xanthophyceae,Characiopsis,Characiopsis turgida,Xanthophytes,W. West and G.S. West,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Characium,Characium sp.,Green Algae,Braun in Kützing,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas braunii,Green Algae,Gorozhankin,www.algaebase.org,Microglena braunii,"(Goroschankin) Demchenko, Mikhailyuk and Proschold",www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas cf. globosa,Green Algae,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas cf. gloeopara,Green Algae,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas globosa,Green Algae,J.W. Snow,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas gloeopara,Green Algae,Rodhe and Skuja,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas grovei,Green Algae,G.S. West,www.algaebase.org,Chloromonas grovei,(G.S. West) Gerloff and P.A. Dangeard,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas mirabilis,Green Algae,Pascher,www.algaebase.org,Chloromonas mirabilis,(Pascher) Korshikov ex Ettl,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas sp.,Green Algae,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlamydonephris,Chlamydonephris pomiformis,Green Algae,(Pascher) H. Ettl and O. Ettl,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Xanthophyceae,Chlorallanthus,Chlorallanthus sp.,Xanthophytes,Pascher,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella cf. vulgaris,Green Algae,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella ellipsoidea,Green Algae,Gerneck,www.algaebase.org,Chloroidium ellipsoideum,"(Gerneck) Darienko, Gustavs, Mudimu, Menendez, Schumann, Karsten Friedl and Proschold",www.algaebase.org,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella miniata,Green Algae,(Kützing) Oltmanns,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella sp.,Green Algae,Beijerinck,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater to marine or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella vulgaris,Green Algae,Beyerinck (Beijerinck),www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Chlorococcum,Chlorococcum infusionum,Green Algae,(Schrank) Meneghini,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic or benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlorococcum,Chlorococcum minutum,Green Algae,R.C. Starr,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic or benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlorococcum,Chlorococcum sp.,Green Algae,Meneghini,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic or benthic,Freshwater
Plantae,Chlorophyta,Chlorophyceae,Chlorogonium,Chlorogonium sp.,Green Algae,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chloroidium,Chloroidium ellipsoideum,Green Algae,"(Gerneck) Darienko, Gustavs, Mudimu, Menendez, Schumann, Karsten Friedl and Proschold",www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic or terrestrial,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Chlorolobion,Chlorolobion braunii,Green Algae,(Nägeli) Komárek,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chodatella,Chodatella quadriseta,Green Algae,Lemmermann,www.algaebase.org,Lagerheimia genevensis,(Lemmermann) G.M. Smith,Wehr and Sheath 2003,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chodatella,Chodatella sp.,Green Algae,Lemmermann,Wehr and Sheath 2003,Lagerheimia sp.,Chodat,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Chodatella,Chodatella wratislaviensis,Green Algae,(Schröder) Ley,www.algaebase.org,Lagerheimia wratislawiensis,Schröder,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chromulina,Chromulina sp.,Chrysophytes,Cienkowski,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus cf. minutus,Cyanobacteria,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus cf. planctonicus,Cyanobacteria,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus dispersus,Cyanobacteria,(Keissler) Lemmermann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus limneticus,Cyanobacteria,Lemmermann,www.algaebase.org,Limnococcus limneticus,"(Lemmermann) Komárková, Jezberová, O. Komárek, and Zapomĕlová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus microscopicus,Cyanobacteria,J. Komárkova-Legnerová and G. Cronberg,www.algaebase.org,Eucapsis microscopica,(Komárková-Legenerová and G. Cronberg) Komárek and Hindák,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus minimus,Cyanobacteria,(Keissler) Lemmermann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus minutus,Cyanobacteria,(Kützing) Nägeli,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus planctonicus,Cyanobacteria,Bethge,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,Cyanobacteria,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas acuta,Cryptophytes,Utermöhl,www.algaebase.org,Komma caudata,(L. Geitler) D.R.A. Hill,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas cf. coerulea,Cryptophytes,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas marina,Cryptophytes,(Büttner) Butcher,www.algaebase.org,Cryptomonas kielensis,Pascher,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas nordstedtii,Cryptophytes,Hansgirg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas rosenbergii,Cryptophytes,Huber-Pestalozzi,www.algaebase.org,Chroomonas coerulea,(Geitler) Skuja,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas sp.,Cryptophytes,Hansgirg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Chrysophyceae,Chrysamoeba,Chrysamoeba sp.,Chrysophytes,Klebs,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysocapsella,Chrysocapsella paludosa,Chrysophytes,(West and G.S. West) Bourrelly,www.algaebase.org,Chrysocapsa paludosa,(West and G.S. West) Pascher,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina birgeri,Haptophytes,Hällfors and Niemi,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina parva,Haptophytes,Lackey,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina parva cf.,Haptophytes,Lackey,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina sp.,Haptophytes,Lackey,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus cf. rufescens,Chrysophytes,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus rufescens,Chrysophytes,Klebs,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus sp.,Chrysophytes,Klebs,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus spp.,Chrysophytes,Klebs,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysosaccus,Chrysosaccus sp.,Chrysophytes,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysosaccus,cf. Chrysosaccus sp.,Chrysophytes,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Plantae,Chlorophyta,Cladophorophyceae,Cladophora,Cladophora sp.,Green Algae,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,filamentous,benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis acicularis,Green Algae,(Chodat) J.H. Belcher and Swale,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis cf. acicularis,Green Algae,Unknown,Unknown,None,Unknown,Unknown,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis longissima,Green Algae,(Lemmermann) Lemmermann,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis sp.,Green Algae,Lemmermann,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater or terrestrial
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium aciculare,Green Algae,T. West,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium acutum,Green Algae,Brébisson,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium acutum var. variabile,Green Algae,(Lemmermann) Willi Kreiger,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium arcuatum,Green Algae,Brébisson ex Ralfs,www.algaebase.org,Closterium dianae var. arcuatum,(Brébisson ex Ralfs) Rabenhorst,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium setaceum,Green Algae,Ehrenberg ex Ralfs,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium sp.,Green Algae,Nitzsch ex Ralfs,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Coccochloris,Coccochloris sp.,Cyanobacteria,Sprengel,www.algaebase.org,Aphanothece sp.,C. Nägeli,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coccomonas,Coccomonas sp.,Green Algae,Stein,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coccomyxa,Coccomyxa sp.,Green Algae,Schmidle,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis cf. placentula,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis pediculus,Pennate Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,cf. Cocconeis pediculus,Pennate Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,Pennate Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,cf. Cocconeis placentula,Pennate Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis sp.,Pennate Diatoms,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum microporum,Green Algae,Nägeli,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum sp.,Green Algae,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum sphaericum,Green Algae,Nägeli,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum verrucosum,Green Algae,(Reinsch) Reinsch,www.algaebase.org,Coelastrum sphaericum,Nägeli,www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Coelosphaerium,Coelosphaerium sp.,Cyanobacteria,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Plantae,Rhodophyta,Rhodellophyceae,Compsopogon,Compsopogon sp.,Red Algae,Montagne in Bory and St. Vincent et Durieaux,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Corethron,Corethron hystrix,Centric Diatoms,Hensen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus cf. radiatus,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus denarius,Centric Diatoms,A. Schmidt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,brackish to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus radiatus,Centric Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus sp.,Centric Diatoms,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Plantae,Chlorophyta,Zygnematophyceae,Cosmarium,Cosmarium sp.,Green Algae,Corda ex Ralfs,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Cosmarium,Cosmarium tinctum,Green Algae,Ralfs,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula accomoda,Pennate Diatoms,(Hustedt) D.G. Mann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula buderi,Pennate Diatoms,(Hustedt) Lange-Bertalot,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula cf. ambigua,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula cf. elkab,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula elkab,Pennate Diatoms,"(Otto Müller) Lange-Bertalot, Kusber and Cocquyt",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
