Kingdom,Phylum,Class,Genus,Name,AlgalGroup,CurrentName
Plantae,Chlorophyta,Chlorophyceae,Diacanthos,Diacanthos belenophorus,Green Algae,Micractinium belenophorum
Chromista,Ochrophyta,Bacillariophyceae,Diadesmis,Diadesmis contenta,Pennate Diatoms,Humidophila contenta
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma elongatum,Pennate Diatoms,Diatoma tenue
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma hiemale,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma moniliformis,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma spp.,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma vulgare,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Diatoma,Diatoma vulgaris,Pennate Diatoms,None
Chromista,Ochrophyta,Dictyochophyceae,Dictyocha,Dictyocha sp.,Silicoflagellates,None
Chromista,Ochrophyta,Dictyochophyceae,Dictyocha,Dictyocha speculum,Silicoflagellates,Octactis speculum
Plantae,Chlorophyta,Chlorophyceae,Dictyosphaerium,Dictyosphaerium pulchellum,Green Algae,Mucidosphaerium pulchellum
Plantae,Chlorophyta,Chlorophyceae,Dictyosphaerium,Dictyosphaerium sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Didymocystis,Didymocystis inconspicua,Green Algae,Pseudodidymocystis inconspicua
Plantae,Chlorophyta,Chlorophyceae,Didymocystis,Didymocystis sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Didymogenes,Didymogenes anomala,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Didymosphenia,Didymosphenia geminata,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Didymosphenia,Didymosphenia sp,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Dimorphococcus,Dimorphococcus lunatus,Green Algae,None
Chromista,Ochrophyta,Chrysophyceae,Dinobryon,Dinobryon divergens,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Dinobryon,Dinobryon sertularia,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Dinobryon,Dinobryon sp.,Chrysophytes,None
Protozoa,Dinozoa,Dinophyceae,Dinophysis,Dinophysis acuta,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Dinophysis,Dinophysis sp.,Dinoflagellates,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis bombus,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis didyma,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis elliptica,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis finnica,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis ovalis,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis smithii,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Diploneis,Diploneis spp.,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Dispora,Dispora crucigenioides,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Dispora,Dispora sp.,Green Algae,None
Protozoa,Dinozoa,Dinophyceae,Dissodinium,Dissodinium sp.,Dinoflagellates,Pyrocystis sp.
Chromista,Ochrophyta,Coscinodiscophyceae,Ditylum,Ditylum brightwellii,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Ditylum,Ditylum sp.,Centric Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Dolichospermum,Dolichospermum planctonicum,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Dolichospermum,Dolichospermum smithii,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Dolichospermum,Dolichospermum sp.,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Drepanochloris,Drepanochloris nannoselene,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Dunaliella,Dunaliella sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Elakatothrix,Elakatothrix acuta,Green Algae,None
Plantae,Chlorophyta,Ulvophyceae,Elakatothrix,Elakatothrix gelatinosa,Green Algae,None
Plantae,Chlorophyta,Ulvophyceae,Elakatothrix,Elakatothrix sp.,Green Algae,None
Plantae,Chlorophyta,Ulvophyceae,Elakatothrix,Elakatothrix viridis,Green Algae,Fusola viridis
Chromista,Ochrophyta,Bacillariophyceae,Encyonema,Encyonema minutum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Encyonema,Encyonema silesiacum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Encyonema,Encyonema sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Encyonopsis,Encyonopsis microcephala,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Encyonopsis,Encyonopsis sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Entomoneis,Entomoneis paludosa,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Entomoneis,Entomoneis pulchra,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Entomoneis,Entomoneis sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Epithemia,Epithemia adnata,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Epithemia,Epithemia sorex,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Epithemia,Epithemia sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Epithemia,Epithemia turgida,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Epithemia,Epithemia zebra,Pennate Diatoms,Epithemia adnata
Chromista,Ochrophyta,Coscinodiscophyceae,Eucampia,Eucampia sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Eucampia,Eucampia zoodiacus,Centric Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis sp.,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Eudorina,Eudorina elegans,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Eudorina,Eudorina sp.,Green Algae,None
Protozoa,Euglenozoa,Euglenophyceae,Euglena,Euglena deses,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Euglena,Euglena elastica,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Euglena,Euglena gracilis,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Euglena,Euglena sp.,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Euglena,Euglena viridis,Euglenoids,None
Chromista,Ochrophyta,Bacillariophyceae,Eunotia,Eunotia formica,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Eunotia,Eunotia pectinalis,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Eunotia,Eunotia perpusilla,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Eunotia,Eunotia sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Eunotogramma,Eunotogramma dubium,Centric Diatoms,None
Protozoa,Euglenozoa,Euglenophyceae,Eutreptia,Eutreptia lanowii,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Eutreptia,Eutreptia sp.,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Eutreptiella,Eutreptiella gymnastica,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Eutreptiella,Eutreptiella sp.,Euglenoids,None
Chromista,Ochrophyta,Bacillariophyceae,Fallacia,Fallacia hodgeana,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Fallacia,Fallacia pygmaea,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria arcus,Pennate Diatoms,Hannaea arcus
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria brevistriata,Pennate Diatoms,Pseudostaurosira brevistriata
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria capucina,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria construens,Pennate Diatoms,Staurosira construens
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria crotonensis,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria delicatissima,Pennate Diatoms,Ulnaria delicatissima
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria leptostauron,Pennate Diatoms,Staurosira leptostauron
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria pinnata,Pennate Diatoms,Staurosirella pinnata
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria ulna,Pennate Diatoms,Ulnaria ulna
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria vaucheriae,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Fragilaria,Fragilaria recapitellata,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Fragilariforma,Fragilariforma sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Fragilariopsis,Fragilariopsis kerguelensis,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Franceia,Franceia droescheri,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Franceia,Franceia ovalis,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Franceia,Franceia sp.,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Frustulia,Frustulia rhomboides,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Frustulia,Frustulia sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Frustulia,Frustulia vulgaris,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Geissleria,Geissleria decussis,Pennate Diatoms,Navigeia decussis
Chromista,Ochrophyta,Bacillariophyceae,Geissleria,Geissleria sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Geitlerinema,Geitlerinema sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Geitlerinema,Geitlerinema splendidum,Cyanobacteria,None
Protozoa,Dinozoa,Dinophyceae,Glenodinium,Glenodinium borgei,Dinoflagellates,Peridiniopsis borgei
Protozoa,Dinozoa,Dinophyceae,Glenodinium,Glenodinium quadridens,Dinoflagellates,Peridiniopsis quadridens
Protozoa,Dinozoa,Dinophyceae,Glenodinium,Glenodinium sp.,Dinoflagellates,None
Bacteria,Cyanobacteria,Cyanophyceae,Gloeocapsa,Gloeocapsa sp.,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Gloeocystis,Gloeocystis major,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Gloeocystis,Gloeocystis planctonica,Green Algae,Chlamydocapsa planctonica
Plantae,Chlorophyta,Chlorophyceae,Gloeocystis,Gloeocystis sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Gloeocystis,Gloeocystis vesiculosa,Green Algae,None
Bacteria,Cyanobacteria,Cyanophyceae,Gloeothece,Gloeothece linearis,Cyanobacteria,Gloeobacter violaceus
Bacteria,Cyanobacteria,Cyanophyceae,Gloeothece,Gloeothece sp.,Cyanobacteria,None
Plantae,Chlorophyta,Ulvophyceae,Gloeotila,Gloeotila sp.,Green Algae,None
Bacteria,Cyanobacteria,Cyanophyceae,Gloeotrichia,Gloeotrichia echinulata,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Golenkinia,Golenkinia radiata,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Golenkinia,Golenkinia sp.,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphoneis,Gomphoneis minuta,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphoneis,Gomphoneis sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema angustatum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema constrictum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema herculeanum,Pennate Diatoms,Gomphoneis herculeana
Chromista,Ochrophyta,Bacillariophyceae,Gomphoneis,Gomphoneis herculeana,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema lowei,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema mexicanum,Pennate Diatoms,Gomphonema subclavatum var. mexicanum
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema olivaceum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema parvulum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gomphonema,Gomphonema sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Gomphosphaeria,Gomphosphaeria aponina,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Gomphosphaeria,Gomphosphaeria pallidum,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Gomphosphaeria,Gomphosphaeria sp.,Cyanobacteria,None
Chromista,Ochrophyta,Xanthophyceae,Goniochloris,Goniochloris fallax,Xanthophytes,None
Chromista,Ochrophyta,Xanthophyceae,Goniochloris,Goniochloris mutica,Xanthophytes,None
Chromista,Ochrophyta,Xanthophyceae,Goniochloris,Goniochloris sp.,Xanthophytes,None
Plantae,Chlorophyta,Chlorophyceae,Gonium,Gonium pectorale,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Gonium,Gonium sociale,Green Algae,Tetrabaena socialis
Plantae,Chlorophyta,Chlorophyceae,Tetrabaena,Tetrabaena socialis,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Gonium,Gonium sp.,Green Algae,None
Protozoa,Dinozoa,Dinophyceae,Gonyaulax,Gonyaulax digitale,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Gonyaulax,Gonyaulax sp.,Dinoflagellates,None
Chromista,Ochrophyta,Raphidophyceae,Gonyostomum,Gonyostomum sp.,Raphidophytes,None
Chromista,Ochrophyta,Coscinodiscophyceae,Guinardia,Guinardia sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Guinardia,Guinardia striata,Centric Diatoms,None
Protozoa,Dinozoa,Dinophyceae,Gymnodinium,Gymnodinium discoidale,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Gymnodinium,Gymnodinium gracilentum,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Gymnodinium,Gymnodinium saginatum,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Gymnodinium,Gymnodinium sp.,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Gyrodinium,Gyrodinium sp.,Dinoflagellates,None
Chromista,Ochrophyta,Bacillariophyceae,Gyrosigma,Gyrosigma acuminatum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gyrosigma,Gyrosigma fasciola,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gyrosigma,Gyrosigma macrum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gyrosigma,Gyrosigma scalproides,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Gyrosigma,Gyrosigma sp.,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Haematococcus,Haematococcus pluvialis,Green Algae,Haematococcus lacustris
Chromista,Ochrophyta,Bacillariophyceae,Halamphora,Halamphora sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Hannaea,Hannaea sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Hantzschia,Hantzschia amphioxys,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Hantzschia,Hantzschia sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Hantzschia,Hantzschia virgata,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Hapalosiphon,Hapalosiphon hibernicus,Cyanobacteria,None
Chromista,Ochrophyta,Coscinodiscophyceae,Hemiaulus,Hemiaulus sp.,Centric Diatoms,None
Protozoa,Dinozoa,Dinophyceae,Hemidinium,Hemidinium sp.,Dinoflagellates,None
Chromista,Cryptophyta,Cryptophyceae,Hemiselmis,Hemiselmis rufescens,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Hemiselmis,Hemiselmis sp.,Cryptophytes,None
Protozoa,Dinozoa,Dinophyceae,Heterocapsa,Heterocapsa rotundata,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Heterocapsa,Heterocapsa sp.,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Heterocapsa,Heterocapsa triquetra,Dinoflagellates,Kryptoperidinium triquetrum
Chromista,Ochrophyta,Raphidophyceae,Heterosigma,Heterosigma sp.,Raphidophytes,None
Chromista,Cryptophyta,Cryptophyceae,Hillea,Hillea fusiformis,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Hillea,Hillea marina,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Hillea,Hillea sp.,Cryptophytes,None
Chromista,Ochrophyta,Bacillariophyceae,Hippodonta,Hippodonta capitata,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Hippodonta,Hippodonta sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Homoeothrix,Homoeothrix janthina,Cyanobacteria,Tapinothrix janthina
Chromista,Ochrophyta,Coscinodiscophyceae,Hydrosera,Hydrosera sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Hydrosera,Hydrosera triquetra,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Hydrosera,Hydrosera whampoensis,Centric Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Juranyiella,Juranyiella javorkae,Green Algae,None
Protozoa,Dinozoa,Dinophyceae,Karlodinium,Karlodinium sp.,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Katodinium,Katodinium glaucum,Dinoflagellates,Lebouridinium glaucum
Protozoa,Dinozoa,Dinophyceae,Katodinium,Katodinium sp.,Dinoflagellates,None
Chromista,Ochrophyta,Chrysophyceae,Kephyrion,Kephyrion littorale,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Kephyrion,Kephyrion rubri-claustri,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Kephyrion,Kephyrion sp.,Chrysophytes,None
Plantae,Chlorophyta,Chlorophyceae,Keratococcus,Keratococcus bicaudatus,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Keratococcus,Keratococcus sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Kirchneriella,Kirchneriella contorta,Green Algae,Raphidocelis contorta
Plantae,Chlorophyta,Chlorophyceae,Kirchneriella,Kirchneriella lunaris,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Kirchneriella,Kirchneriella obesa,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Kirchneriella,Kirchneriella sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Kirchneriella,Kirchneriella subsolitaria,Green Algae,Nephrochlamys subsolitaria
Plantae,Charophyta,Klebsormidiophyceae,Klebsormidium,Klebsormidium subtile,Green Algae,None
Chromista,Cryptophyta,Cryptophyceae,Komma,Komma caudata,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Komma,Komma sp.,Cryptophytes,None
Plantae,Chlorophyta,Chlorophyceae,Lagerheimia,Lagerheimia chodatii,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Lagerheimia,Lagerheimia genevensis,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Lagerheimia,Lagerheimia sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Lauterborniella,Lauterborniella elegantissima,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Lemmermannia,Lemmermannia triangularis,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Lemnicola,Lemnicola hungarica,Pennate Diatoms,None
Protozoa,Euglenozoa,Euglenophyceae,Lepocinclis,Lepocinclis acus,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Lepocinclis,Lepocinclis sp.,Euglenoids,None
Chromista,Ochrophyta,Coscinodiscophyceae,Leptocylindrus,Leptocylindrus danicus,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Leptocylindrus,Leptocylindrus sp.,Centric Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Leptolyngbya,Leptolyngbya foveolara,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Leptolyngbya,Leptolyngbya sp.,Cyanobacteria,None
Chromista,Cryptophycophyta incertae sedis,Cryptophycophyta incertae sedis,Leucocryptos,Leucocryptos marina,Kathablepharids,None
Chromista,Cryptophycophyta incertae sedis,Cryptophycophyta incertae sedis,Leucocryptos,Leucocryptos sp.,Kathablepharids,None
Chromista,Ochrophyta,Fragilariophyceae,Licmophora,Licmophora sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Limnothrix,Limnothrix redekei,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Limnothrix,Limnothrix sp.,Cyanobacteria,None
Unknown,Unknown,Unknown,Unknown,Little green algal balls,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Luticola,Luticola goeppertiana,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Lyngbya,Lyngbya sp.,Cyanobacteria,None
Chromista,Ochrophyta,Synurophyceae,Mallomonas,Mallomonas sp.,Synurophytes,None
Bacteria,Cyanobacteria,Cyanophyceae,Marssoniella,Marssoniella elegans,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Marssoniella,Marssoniella sp.,Cyanobacteria,None
Chromista,Ochrophyta,Fragilariophyceae,Martyana,Martyana martyi,Pennate Diatoms,Staurosirella martyi
Protozoa,Dinozoa,Dinophyceae,Massartia,Massartia sp.,Dinoflagellates,Katodinium sp.
Chromista,Ochrophyta,Bacillariophyceae,Mastogloia,Mastogloia braunii,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Mastogloia,Mastogloia sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Mayamaea,Mayamaea ingenua,Pennate Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira binderana,Centric Diatoms,Stephanodiscus binderanus
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira distans,Centric Diatoms,Aulacoseira distans
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira granulata,Centric Diatoms,Aulacoseira granulata
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira herzogii,Centric Diatoms,Aulacoseira herzogii
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira islandica,Centric Diatoms,Aulacoseira islandica
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira italica,Centric Diatoms,Aulacoseira italica
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira lineata,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira moniliformis,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira sp. 2,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira sulcata,Centric Diatoms,Paralia sulcata
Chromista,Ochrophyta,Fragilariophyceae,Meridion,Meridion circulare,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Meridion,Meridion sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Merismopedia,Merismopedia sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Merismopedia,Merismopedia tenuissima,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Merismopedia,Merismopedia warmingiana,Cyanobacteria,None
Protozoa,Ciliophora,Kinetofragminophora,Mesodinium,Mesodinium rubrum,Ciliates,Myrionecta rubra
Protozoa,Dinozoa,Dinophyceae,Mesoporos,Mesoporos perforatus,Dinoflagellates,None
Plantae,Chlorophyta,Chlorophyceae,Micractinium,Micractinium pusillum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Micractinium,Micractinium quadrisetum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Micractinium,Micractinium sp.,Green Algae,None
Bacteria,Cyanobacteria,Cyanophyceae,Microcystis,Microcystis aeruginosa,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Microcystis,Microcystis flosaquae,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Microcystis,Microcystis sp.,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Microspora,Microspora sp.,Green Algae,None
Protozoa,Euglenozoa,Euglenophyceae,Monomorphina,Monomorphina pyrum,Euglenoids,None
Protozoa,Euglenozoa,Euglenophyceae,Monomorphina,Monomorphina sp.,Euglenoids,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium arcuatum,Green Algae,Ankistrodesmus arcuatus
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium contortum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium convolutum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium griffithii,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium irregulare,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium komarkovae,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium minutum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Monoraphidium,Monoraphidium tortile,Green Algae,None
Plantae,Chlorophyta,Ulvophyceae,Monostroma,Monostroma sp.,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Mougeotia,Mougeotia sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Mucidosphaerium,Mucidosphaerium sp.,Green Algae,None
Bacteria,Cyanobacteria,Cyanophyceae,Myxobaktron,Myxobaktron sp.,Cyanobacteria,None
Unknown,Unknown,Unknown flagellates,Unknown flagellates,Nanoflagellates,Unknown Flagellates,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Navicula,Navicula amphiceropsis,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Navicula,Navicula antonii,Pennate Diatoms,None
