Region,Region Abbreviation,Year,Season,Month,SampleDate,SampleTime,StationCode,Factor,Taxon,Algal Type,Genus,Species,Unit Abundance,Total Cells Counted,GALD 1,Group Code,Biovolume (individual cell),Biovolume per mL
Low Salinity Zone,LSZ,2018,Fall,Sep,9/13/2018,7:45,EZ2,459.97,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,5.6,i,76.35,35120.13
Low Salinity Zone,LSZ,2018,Fall,Sep,9/13/2018,7:45,EZ2,459.97,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,409,826,0.8,c,0.18,68388.23
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,9:50,D41A,109.52,cf. Chlorella sp.,Green Alga,Chlorella,sp.,2,2,2.8,i,7.24,1585.41
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,9:50,D41A,109.52,cf. Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,9.3,i,337.38,36948.77
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,9:50,D41A,109.52,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,404,826,0.8,c,0.18,16282.91
Low Salinity Zone,LSZ,2018,Fall,Sep,9/14/2018,8:35,EZ2 SJR,383.31,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,16.7,i,30.14,11554.24
Low Salinity Zone,LSZ,2018,Fall,Sep,9/14/2018,8:35,EZ2 SJR,383.31,cf. Chlorella sp.,Green Alga,Chlorella,sp.,3,3,2.8,i,8.18,9407.78
Low Salinity Zone,LSZ,2018,Fall,Sep,9/14/2018,8:35,EZ2 SJR,383.31,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,429,869,0.8,c,0.18,59956.99
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,11:40,NZ002,383.31,Chlorella sp.,Green Alga,Chlorella,sp.,9,9,3.7,i,9.20,31747.41
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,11:40,NZ002,383.31,cf. Ochromonas sp.,Chrysophyte,Ochromonas,sp.,1,1,6.5,i,122.78,47061.47
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,11:40,NZ002,383.31,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,438,895,0.8,c,0.18,61750.87
Grizzly.Suisun Bay,GSB,2018,Fall,Sep,9/19/2018,15:40,NZ032,328.55,Chlorella sp.,Green Alga,Chlorella,sp.,1,1,2.8,i,11.49,3776.36
Grizzly.Suisun Bay,GSB,2018,Fall,Sep,9/19/2018,15:40,NZ032,328.55,Monoraphidium minutum,Green Alga,Monoraphidium,minutum,1,1,6.5,i,2.76,905.73
Grizzly.Suisun Bay,GSB,2018,Fall,Sep,9/19/2018,15:40,NZ032,328.55,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,2,2,22.2,i,1742.60,1145061.06
Grizzly.Suisun Bay,GSB,2018,Fall,Sep,9/19/2018,15:40,NZ032,328.55,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,418,844,0.8,c,0.18,49913.23
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,11:55,NZ004,287.48,Chlamydomonas sp.,Green Alga,Chlamydomonas,sp.,1,1,7.4,i,160.56,46159.23
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,11:55,NZ004,287.48,Chlorella sp.,Green Alga,Chlorella,sp.,7,7,3.7,i,11.49,23130.19
San Pablo Bay,SPB,2018,Fall,Sep,9/20/2018,11:55,NZ004,287.48,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,442,891,0.8,c,0.18,46106.17
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,3,3,8.3,i,181.61,64623.42
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,2,2,16.7,i,37.92,8995.63
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,Thalassiosira sp.,Centric Diatom,Thalassiosira,sp.,2,2,27.8,i,7890.83,1871912.68
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,cf. Chlorella sp.,Green Alga,Chlorella,sp.,5,5,1.9,i,2.57,1525.63
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,cf. Hemiselmis sp.,Cryptophyte,Hemiselmis,sp.,1,1,4.6,i,21.68,2571.18
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,9.3,i,314.74,37332.07
Northern Interior Delta,NID,2018,Fall,Oct,10/12/2018,9:25,NZ068,118.61,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,390,824,0.8,c,0.18,17592.71
Confluence,CON,2018,Fall,Oct,10/12/2018,6:15,D4,160.98,cf. Chlorella sp.,Green Alga,Chlorella,sp.,1,1,1.9,i,3.59,578.12
Confluence,CON,2018,Fall,Oct,10/12/2018,6:15,D4,160.98,Chlorella sp.,Green Alga,Chlorella,sp.,1,1,2,i,4.19,674.29
Confluence,CON,2018,Fall,Oct,10/12/2018,6:15,D4,160.98,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,8.7,i,271.47,43700.46
Confluence,CON,2018,Fall,Oct,10/12/2018,6:15,D4,160.98,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,8,i,206.09,33175.08
Confluence,CON,2018,Fall,Oct,10/12/2018,6:15,D4,160.98,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,407,816,0.8,c,0.18,23644.02
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,cf. Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,1,1,18.5,i,374.29,64885.92
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,1,1,10.2,i,141.56,24539.72
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,13,13,9.3,i,133.97,301932.21
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Navicula sp.,Pennate Diatom,Navicula,sp.,3,3,37,i,743.32,386582.91
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Nitzschia incerta,Pennate Diatom,Nitzschia,incerta,3,3,84.2,i,657.71,342058.51
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Nitzschia inconspicua,Pennate Diatom,Nitzschia,inconspicua,2,2,9.3,i,20.98,7272.71
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,31.5,i,136.71,23699.74
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Odontidium mesodon,Pennate Diatom,Odontidium,mesodon,1,1,13,i,796.39,138060.95
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Plagiotropis lepidoptera,Pennate Diatom,Plagiotropis,lepidoptera,1,1,78.6,i,10515.47,1822938.78
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Planothidium sp.,Pennate Diatom,Planothidium,sp.,2,2,18.7,i,176.83,61309.95
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Seminavis sp.,Pennate Diatom,Seminavis,sp.,1,1,26.8,i,188.43,32665.24
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Skeletonema sp.,Centric Diatom,Skeletonema,sp.,5,7,13.9,c,228.00,276683.94
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,cf. Chlorella sp.,Green Alga,Chlorella,sp.,13,13,2.8,i,4.85,10928.05
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Monoraphidium convolutum,Green Alga,Monoraphidium,convolutum,1,1,27.8,i,24.60,4264.55
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Monoraphidium minutum,Green Alga,Monoraphidium,minutum,1,1,9.3,i,28.05,4862.36
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,cf. Rusalka fusiformis,Green Alga,Rusalka,fusiformis,1,1,14.8,i,150.80,26141.72
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,cf. Hemiselmis sp.,Cryptophyte,Hemiselmis,sp.,1,1,4.6,i,23.15,4012.57
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,2,2,9.3,i,271.67,94191.51
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,cf. Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,1,11,4.6,f,49.46,94316.32
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Chroococcus sp.,Cyanobacterium,Chroococcus,sp.,4,8,3.7,c,12.77,17710.29
Southern Interior Delta,SID,2018,Fall,Oct,10/11/2018,11:00,C10A,173.36,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,342,694,0.8,c,0.18,21655.86
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,3,3,19.7,i,438.49,98819.42
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,6.8,i,134.37,10094.26
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,cf. Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,2,2,9.3,i,24.47,3676.76
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Skeletonema cf. costatum,Centric Diatom,Skeletonema,costatum,4,4,4.6,c,28.32,8511.16
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,cf. Chlorella sp.,Green Alga,Chlorella,sp.,16,16,1.9,i,2.14,2577.77
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Cryptomonas erosa,Cryptophyte,Cryptomonas,erosa,2,2,14.8,i,506.98,76169.99
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,cf. Hemiselmis sp.,Cryptophyte,Hemiselmis,sp.,2,2,5.6,i,19.29,2898.73
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Plagioselmis lacustris,Cryptophyte,Plagioselmis,lacustris,1,1,11.1,i,596.74,44828.21
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,8,8,10.5,i,323.52,194425.06
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,3,3,7.4,i,112.82,25426.22
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,369,746,0.8,c,0.18,10087.34
Central Delta,CED,2018,Fall,Oct,10/15/2018,12:20,D28A,75.12,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,8,8,3.7,i,17.16,10311.07
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,10:50,EZ2 SJR,160.98,Skeletonema cf. costatum,Centric Diatom,Skeletonema,costatum,2,2,5.6,c,25.33,8156.22
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,10:50,EZ2 SJR,160.98,cf. Chlorella sp.,Green Alga,Chlorella,sp.,8,8,1.9,i,2.57,3312.79
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,10:50,EZ2 SJR,160.98,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,8,i,211.11,33984.23
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,10:50,EZ2 SJR,160.98,Chroococcus sp.,Cyanobacterium,Chroococcus,sp.,1,2,2.8,c,11.49,3700.51
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,10:50,EZ2 SJR,160.98,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,400,810,0.8,c,0.18,23470.17
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,10:50,EZ2 SJR,160.98,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,1,4,5.6,c,50.96,32816.36
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,9:45,EZ6 SJR,321.95,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,32.7,i,114.45,36847.20
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,9:45,EZ6 SJR,321.95,cf. Chlorella sp.,Green Alga,Chlorella,sp.,1,1,1.9,i,3.59,1156.24
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,9:45,EZ6 SJR,321.95,cf. Hemiselmis sp.,Cryptophyte,Hemiselmis,sp.,2,2,4.3,i,30.82,19846.72
Low Salinity Zone,LSZ,2018,Fall,Oct,10/15/2018,9:45,EZ6 SJR,321.95,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,411,830,0.8,c,0.18,48099.36
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,1,1,22.2,i,838.66,111179.67
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Navicula cf. rhynchotella,Pennate Diatom,Navicula,rhynchotella,1,1,44.4,i,1491.81,197765.75
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Nitzschia inconspicua,Pennate Diatom,Nitzschia,inconspicua,1,1,11.1,i,29.53,3914.19
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,17.6,i,27.46,3639.78
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,cf. Chlorella sp.,Green Alga,Chlorella,sp.,5,5,2.1,i,2.57,1705.11
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,3,3,9.3,i,294.76,117226.86
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,2,2,7.4,i,170.60,45232.07
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Chroococcus sp.,Cyanobacterium,Chroococcus,sp.,1,2,3.7,c,26.52,7031.88
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,385,780,0.8,c,0.18,18612.51
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,3,3,4.6,i,33.51,13327.15
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,sp.,1,6,3.7,f,2.35,1872.26
Central Delta,CED,2018,Fall,Oct,10/15/2018,11:40,D19,132.57,Snowella sp.,Cyanobacterium,Snowella,sp.,2,12,0.8,c,0.27,426.47
Confluence,CON,2018,Fall,Oct,10/17/2018,10:40,D10,346.72,Skeletonema cf. costatum,Centric Diatom,Skeletonema,costatum,3,3,4.3,c,32.45,33757.94
Confluence,CON,2018,Fall,Oct,10/17/2018,10:40,D10,346.72,cf. Chlorella sp.,Green Alga,Chlorella,sp.,1,1,1.9,i,3.59,1245.18
Confluence,CON,2018,Fall,Oct,10/17/2018,10:40,D10,346.72,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,21,21,6.1,i,20.88,152051.12
Confluence,CON,2018,Fall,Oct,10/17/2018,10:40,D10,346.72,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,378,760,0.8,c,0.18,47430.69
Confluence,CON,2018,Fall,Oct,10/17/2018,10:40,D10,346.72,Snowella sp.,Cyanobacterium,Snowella,sp.,1,5,0.8,c,0.27,464.74
Confluence,CON,2018,Fall,Oct,10/17/2018,10:40,D10,346.72,cf. Synechococcus sp.,Cyanobacterium,Synechococcus,sp.,1,1,5.6,i,91.95,31881.28
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,1,1,18.5,i,310.79,58368.36
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Entomoneis sp.,Pennate Diatom,Entomoneis,sp.,1,1,35.2,i,5114.51,960526.59
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,2,2,16.7,i,38.38,14414.35
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,10,10,8.3,i,22.30,41878.49
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,2,2,7.4,i,186.37,70002.01
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,398,806,0.8,c,0.18,27246.64
Low Salinity Zone,LSZ,2018,Fall,Oct,10/17/2018,7:15,EZ6,187.80,Snowella sp.,Cyanobacterium,Snowella,sp.,3,16,0.9,c,0.27,805.55
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,Entomoneis sp.,Pennate Diatom,Entomoneis,sp.,1,1,43.5,i,3741.73,602325.02
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,Gyrosigma cf. macrum alt.,Pennate Diatom,Gyrosigma,macrum alt. ,1,1,137,i,1419.32,228475.18
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,cf. Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,11.1,i,10.55,1697.48
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,cf. Chlorella sp.,Green Alga,Chlorella,sp.,2,2,1.9,i,2.14,690.47
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,7,7,5.8,i,10.96,12353.50
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,cf. Chroococcus sp.,Cyanobacterium,Chroococcus,sp.,1,2,3.7,c,26.52,8538.71
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,411,828,0.8,c,0.18,23991.73
Confluence,CON,2018,Fall,Oct,10/15/2018,9:45,D12,160.98,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,1,1,3.7,i,26.52,4269.35
San Pablo Bay,SPB,2018,Fall,Oct,10/18/2018,13:05,D6,173.36,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,46,46,5.6,i,11.55,92067.86
San Pablo Bay,SPB,2018,Fall,Oct,10/18/2018,13:05,D6,173.36,Plagioselmis lacustris,Cryptophyte,Plagioselmis,lacustris,1,1,13,i,876.03,151867.04
San Pablo Bay,SPB,2018,Fall,Oct,10/18/2018,13:05,D6,173.36,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,10.2,i,430.35,74605.20
San Pablo Bay,SPB,2018,Fall,Oct,10/18/2018,13:05,D6,173.36,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,352,710,0.8,c,0.18,22155.13
San Pablo Bay,SPB,2018,Fall,Oct,10/18/2018,13:05,D6,173.36,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,1,1,3.7,i,26.52,4597.77
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,Seminavis sp.,Pennate Diatom,Seminavis,sp.,1,1,29.6,i,237.33,41143.10
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,cf. Chlorella sp.,Green Alga,Chlorella,sp.,7,7,1.9,i,2.57,3121.67
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,3,3,5,i,5.89,3063.48
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,Ochromonas sp.,Chrysophyte,Ochromonas,sp.,1,1,4.6,i,50.96,8835.17
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,11.1,i,538.68,93384.34
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,384,774,0.8,c,0.18,24152.21
Low Salinity Zone,LSZ,2018,Fall,Oct,10/12/2018,8:35,EZ2,173.36,Snowella sp.,Cyanobacterium,Snowella,sp.,2,11,0.8,c,0.27,511.22
Confluence,CON,2018,Fall,Oct,10/12/2018,7:50,D22,204.88,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,1,1,18.5,i,107.52,22028.61
Confluence,CON,2018,Fall,Oct,10/12/2018,7:50,D22,204.88,Planothidium frequentissimum,Pennate Diatom,Planothidium,frequentissimum,1,1,8,i,57.81,11842.99
Confluence,CON,2018,Fall,Oct,10/12/2018,7:50,D22,204.88,cf. Chlorella sp.,Green Alga,Chlorella,sp.,2,2,1.9,i,3.59,1471.58
Confluence,CON,2018,Fall,Oct,10/12/2018,7:50,D22,204.88,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,2,2,5.6,i,22.99,9419.47
Confluence,CON,2018,Fall,Oct,10/12/2018,7:50,D22,204.88,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,7.4,i,159.13,32602.34
Confluence,CON,2018,Fall,Oct,10/12/2018,7:50,D22,204.88,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,423,848,0.8,c,0.18,31272.49
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,cf. Chlorella sp.,Green Alga,Chlorella,sp.,7,7,1.9,i,1.44,1888.80
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,7,7,8.3,i,10.14,13328.29
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,Hemiselmis sp.,Cryptophyte,Hemiselmis,sp.,1,1,3.7,i,6.99,1313.45
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,Plagioselmis lacustris,Cryptophyte,Plagioselmis,lacustris,2,2,11.7,i,619.99,232874.30
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,8.3,i,227.25,42677.65
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,5.6,i,76.35,14339.46
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,388,784,0.8,c,0.18,26502.94
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:20,NZ325,187.80,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,2,2,3.7,i,26.52,9961.83
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:50,NZ004,250.41,cf. Chlorella sp.,Green Alga,Chlorella,sp.,2,2,1.3,i,1.15,576.11
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:50,NZ004,250.41,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,14,14,7.4,i,11.53,40421.05
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:50,NZ004,250.41,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,7.4,i,159.13,39847.30
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:50,NZ004,250.41,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,380,768,0.8,c,0.18,34616.08
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:50,NZ004,250.41,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,3,3,5.6,i,41.63,31272.97
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,cf. Chlorella sp.,Green Alga,Chlorella,sp.,3,3,1.9,i,2.57,1739.21
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,8,8,7.4,i,8.47,15277.80
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,Hemiselmis sp.,Cryptophyte,Hemiselmis,sp.,1,1,3.7,i,15.19,3422.97
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,Plagioselmis lacustris,Cryptophyte,Plagioselmis,lacustris,2,2,13,i,822.94,370923.75
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,5,5,8.3,i,229.05,258098.16
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,7.4,i,159.13,35862.57
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,413,828,0.8,c,0.18,33588.42
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,10:30,NZ002,225.37,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,1,1,4.6,i,50.96,11485.73
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,9:35,D41,160.98,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,2,2,8.8,i,243.28,78325.57
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,9:35,D41,160.98,cf. Chlorella sp.,Green Alga,Chlorella,sp.,5,5,2.4,i,3.05,2457.79
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,9:35,D41,160.98,Coccomyxa sp.,Green Alga,Coccomyxa,sp.,10,10,8,i,10.69,17204.52
San Pablo Bay,SPB,2018,Fall,Oct,10/19/2018,9:35,D41,160.98,Plagioselmis lacustris,Cryptophyte,Plagioselmis,lacustris,3,3,11,i,476.25,229990.95
