"","Station","Date","Time","SampleDescription","WindDirection","TotAlkalinity","DissAmmonia","DissBromide","DissCalcium","DissChloride","Chla","DissNitrateNitrite","DOC","TOC","DON","Pheophytin","TotPhos","DissSilica","TDS","TSS","VSS","TKN","DissOrthophos","TotAmmonia","TotChloride","TON","SpCndBottom","SpCndSurface","FieldNotes","north_lat","west_long","Microcystis","DOpercentBottom","DOBottom","DOpercentSurface","DOSurface","Secchi","WTBottom","AirTemp","WTSurface","TurbidityBottom","TurbiditySurface","Depth","Weather","WindVelocity","pHBottom","pHSurface","LightExtinction","river_km","location","loc_num"
"62","EZ2",2019-09-06,"10:45","",NA,57,NA,1.74,21.4,528,2.56,0.234,1.7,1.7,0.22,1.4,0.093,14.1,1120,36,7,0.42,0.08,NA,NA,NA,2071,1913,"Ended D10 tow at EZ2, samples collected at the end of the tow, used the same secchi reading as D10",38.0473,-121.8948,2,93.4,8.14,94.8,8.27,32,21.82,64.9,21.84,35.9,27.5,43.7,"Sunny, ripples to small waves with no white caps",23.6,7.69,7.71,NA,68.33047485,"joined",3
"63","EZ2",2019-10-07,"13:20","",NA,60,NA,1.2,18,380,1.82,0.2,1.6,1.7,NA,0.5,0.074,15,810,8,NA,NA,0.067,NA,NA,NA,2104,1526,"Microcystis not visible on the surface, but present in tows; passed through D4 during the tow",38.06452,-121.8448,2,91.1,8.45,93.2,8.57,60,18.67,76.5,19.17,13,9.6,36.5,"Sunny, no waves/flat",5.6,7.65,7.69,NA,72.9991684,"joined",3
"64","EZ2",2019-11-06,"13:45","",NA,52,NA,2,17,320,2.74,0.33,1.6,1.6,NA,0.57,0.068,14,720,23,4.8,0.19,0.058,NA,NA,NA,1928,1533,"Located near Manzo Ranch fish release site; Microcystis not visible on the surface of the water but present in the tow",38.0721,-121.7759,1,86,8.66,86.9,8.75,40,14.79,70,14.79,12,15.7,35.5,"partly cloudy, ripples to small waves, no white caps and no rain",10.5,7.48,7.51,NA,79.38600922,"sac",2
"65","EZ2",2019-12-05,"13:45","",NA,61,0.38,1.3,19,390,0.76,0.34,2,2,NA,1.18,NA,16,810,15,2.4,0.47,0.063,NA,NA,NA,1634,1497,"Passed through EZ2 during D22 tow",38.08959,-121.73796,1,87,9.65,88.4,9.78,48,10.53,51.4,10.68,16.2,11.4,32.5,"Cloudy, no waves/flat",8.4,7.53,7.7,NA,83.17990875,"sac",2
"66","EZ2",2020-01-21,"13:10","",NA,78,0.13,1.9,23,400,1.73,0.44,0.87,0.98,NA,0.59,0.072,19,830,13,NA,0.39,0.06,NA,NA,NA,1930,1513,"Located just upstream of channel markers 13 and 14",38.077759,-121.76523,1,91.5,10.5,92.3,10.57,64,9.04,51.8,9.19,17.1,11.2,33.8,"Cloudy, ripples to small waves with no white caps",11.4,7.79,7.8,NA,80.48802185,"sac",2
"67","EZ2",2020-02-18,"13:30","",NA,97,0.16,1.4,20,330,2.39,0.45,0.75,0.91,NA,0.63,0.13,20,680,25,NA,0.36,0.056,NA,NA,NA,2040,1412,NA,38.060079,-121.80036,1,94.8,10.3,96.3,10.42,40,11.36,58.3,11.62,24.8,20.1,38.7,"Sunny, ripples to small waves with no white caps",9.2,7.71,7.87,NA,76.82834625,"sac",2
"68","EZ2",2020-03-04,"11:50","",NA,84,0.23,NA,19,180,4.33,0.43,1,1,NA,0.68,0.08,18,430,11,NA,0.34,0.096,NA,NA,NA,1827,902,"Located in between the two sets of overhead power lines",38.07368,-121.773799,1,96,10.02,99.5,10.33,68,13.15,64.2,13.55,12.6,9.4,31.8,"Sunny, no waves/flat",5.5,7.8,7.92,NA,79.52933502,"sac",2
"69","EZ2",2020-06-16,"14:45","",NA,66,NA,1.64,22,484,1.96,0.36,2,1.9,0.2,1.32,0.1,14.2,1010,15.9,3,0.3,0.086,NA,NA,NA,2146,1812,"Microcystis observed in zooplankton nets, but not visible on the water surface.",38.06143,-121.81368,2,94.4,8.38,96.3,8.51,40,20.91,70,21.17,18.2,17.6,36.1,"Sunny, moderate waves with few white caps",23.6,8.02,7.98,NA,75.7783432,"joined",3
"70","EZ2",2020-07-14,"12:25","",NA,59,NA,1.57,22,473,2.41,0.24,1.7,1.6,0.25,1.42,0.09,14.7,1050,20.4,3,0.311,0.069,NA,NA,NA,2223,1859,NA,38.06696,-121.783843,2,95.2,8.15,96.7,8.24,60,22.75,73.9,23.06,18.7,13.4,32.8,"sunny; moderate waves, few white caps; no rain",19,7.76,7.8,NA,78.54498291,"sac",2
"71","EZ2",2020-09-10,"10:15","",NA,77,0.06,1.06,20,321.5,3.1,0.24,2.1,2.1,0.12,2.15,0.08,15.3,720,14,NA,0.3,0.081,NA,NA,NA,2166,1413,NA,38.077275,-121.765405,2,88.5,7.82,92,8.13,68,21.12,62.2,21.24,21.7,10,30.5,"overcast; rippples to small waves, no white caps; no rain",6.1,7.91,8.01,NA,80.35808563,"sac",2
"72","EZ2",2020-10-09,"13:05","",NA,68,NA,1.07,20,315,2.61,0.3,1.7,1.7,0.16,0.95,0.09,16.3,767,7.8,NA,0.2,0.086,NA,NA,NA,1952,1383,"Just downstream of Three-Mile Slough Bridge. Bottom readings taken at 26 ft. Secchi measurement taken post-tow.",38.104166,-121.720519,2,91.4,8.23,94,8.4,120,20.23,68.8,20.66,7.8,6.7,30.8,"partly cloudy; ripples to small waves, no white caps; no rain",7.2,7.75,7.83,NA,85.32604218,"sac",2
"73","EZ2",2020-11-09,"13:15","",NA,63,0.08,1.03,17,283,2.38,0.28,1.8,2,0.2,1.22,0.08,14.2,647,13.2,NA,0.3,0.083,NA,NA,NA,2120,1167,"Located on the Sac River just upstream of channel markers 23 and 24. Microcystis not visible on the surface but present in zooplankton samples.",38.126833,-121.697266,2,89.6,9.03,91.2,9.26,72,14.76,54,14.53,25.4,8.9,35,"partly cloudy; ripples to small waves, no white caps; no rain",14.8,7.63,7.82,NA,88.55485535,"sac",2
"74","EZ2",2021-03-08,"13:35","",NA,93.6,0.088,1.166,25,334.4,5.75,0.51,3,3,0.29,0.76,0.098,20.6,856,20,2.6,0.419,0.086,NA,NA,NA,2008,1531,"Located across from the barge loading",38.09604,-121.7322,1,96,10.13,98.3,10.29,52,12.65,52.3,13.08,19.4,16.7,33.1,"Sunny, no waves/flat",14.8,7.9,7.96,NA,84.03844452,"sac",2
"75","EZ2",2021-04-06,"12:15","",NA,83.1,0.114,1.528,26.8,436.85,9.78,0.411,2.8,2.8,0.26,2.03,0.093,17.3,994,35,6.4,0.485,0.093,NA,NA,NA,2288,1862,"Passed through EZ2 during D22 zooplankton tow. Sample water collected at the beginning of the tow.",38.08507,-121.74816,1,96.1,9.64,98.7,9.78,42,14.91,60.8,15.55,26,23.9,29.2,"Sunny, ripples to small waves with no white caps",13.2,7.97,8,NA,82.16007233,"sac",2
"76","EZ2",2021-05-06,"14:20","",NA,80.6,0.05,1.28,23.9,384,2.36,0.301,2.2,2.2,0.18,2.29,0.092,14.6,899,27.5,2.5,0.29,0.07,NA,NA,NA,1793,1651,"Located at channel marker 19.",38.11237,-121.710003,1,94.1,8.71,96.2,8.84,36,18.86,68.2,19.23,34.2,20.4,31.5,"Sunny, ripples to small waves with no white caps",23.8,7.97,7.98,NA,86.75173187,"sac",2
"77","EZ2",2021-06-04,"13:00","",NA,70.4,0.05,1.11,19.8,298,2.03,0.239,1.9,1.8,0.21,0.78,0.09,16.1,688,14.8,2.5,0.216,0.095,NA,NA,NA,2213,1267,"Located a quarter mile upstream of channel markers 21 and 22.",38.119466,-121.702505,1,94.7,8.39,96,8.47,76,20.99,77.2,21.35,15.6,10.9,31.5,"Sunny, ripples to small waves, no rain",23.2,7.93,7.91,NA,87.58304596,"sac",2
"78","EZ2",2021-07-19,"14:00","",NA,65.9,0.05,NA,18,331,2.83,0.05,2,1.9,0.19,0.98,0.075,12.8,730,10.3,2.5,0.207,0.074,NA,NA,NA,2181,1406,"Located 300 yards downstream of channel marker 25",38.131068,-121.69534,2,95,8.12,99.1,8.44,76,22.84,89.6,23.19,9.7,8.6,31.2,"Sunny, ripples to small waves with no white caps",11.1,7.86,7.86,NA,89.02214813,"sac",2
"79","EZ2",2021-08-17,"14:15","",NA,65.9,0.05,NA,17,212,3.62,0.076,1.8,1.9,0.15,0.91,0.07,14.8,516,7.4,2.5,0.213,0.073,NA,NA,NA,1934,1132,"tow ended adjacent to NZ068",38.128043,-121.693155,2,96.9,8.31,96.4,8.3,80,22.65,78.4,22.65,5,4.3,13.5,"sunny; ripples to small waves, no white caps; no rain",20.9,7.98,8.11,NA,88.94104767,"sac",2
"80","EZ2",2021-09-14,"12:35","",NA,79.6,0.05,NA,19.7,295,2.06,0.094,1.9,1.9,0.24,0.66,0.06,15.9,725,8,2.5,0.207,0.067,NA,NA,NA,1838,1602,"Located just downstream of channel marker 24",38.122918,-121.69766,2,92.5,7.96,93.3,8.02,116,22.54,86.7,22.66,9.2,7.2,27.9,"Sunny; No waves, flat; No rain",2.5,7.95,7.96,NA,88.25146484,"sac",2
"81","EZ2",2021-10-22,"8:40","",NA,72,0.05,NA,20,378,2.04,0.132,1.6,1.5,0.15,1.44,0.054,15.3,794,16.1,2.5,0.168,0.053,NA,NA,NA,1920,1545,"Located right near the boat launch at Sandy Beach. Passed through NZ068 during tow. Microcystis not visible on the surface of the water but present in the zooplankton samples.",38.139115,-121.691355,2,92.2,8.94,93.7,9.11,64,16.53,53.2,16.53,14.9,10.8,25.9,"Overcast; ripples to small waves, no white caps; no rain",15.5,7.92,7.96,NA,89.98394775,"sac",2
"82","EZ2SJR",2014-06-04,"9:50","",NA,NA,0.03,NA,23,380,2.14,0.47,3.1,3.1,0.2,1.04,0.11,14.8,872,10,2,0.5,0.07,NA,NA,NA,NA,1620,NA,38.0753,-121.6777,NA,NA,NA,NA,8.05,52,NA,NA,21.5,NA,7.1,39.2,"Mostly sunny, warm and clear with light winds",6,NA,7.8,NA,90.31000519,"sjr",1
"83","EZ2SJR",2014-07-02,"7:35","",NA,NA,NA,NA,21,429,3.25,0.35,2.4,2.4,0.3,0.45,0.11,13.1,908,9,2,0.4,0.08,NA,NA,NA,NA,1723,NA,38.0701,-121.6769,NA,NA,NA,NA,8,80,NA,NA,22.6,NA,10.2,39.8,"Mostly sunny and clear with medium wind, mc=3",11,NA,7.8,NA,89.91345215,"sjr",1
"84","EZ2SJR",2014-08-14,"8:45","",NA,NA,NA,NA,22,474,3.35,0.21,2,2.1,0.3,0.63,0.11,13.1,1031,9,3,0.3,0.07,NA,NA,NA,NA,1809,"microcystis (3). Added lat/long.",38.0541,-121.6885,NA,NA,NA,NA,7.95,72,NA,NA,22.6,NA,5.6,38,"partly cloudy and cool with medium winds (13-14 mph)",NA,NA,7.9,NA,87.94261932,"sjr",1
"85","EZ2SJR",2014-09-15,"10:15","",NA,NA,NA,NA,22,446,5.88,0.25,2.4,2.5,NA,1.51,0.1,14.7,988,11,2,0.2,0.08,NA,NA,NA,NA,1820,"microcystis. added lat/long",38.0576,-121.6815,NA,NA,NA,NA,8,100,NA,NA,22.1,NA,8.1,46.4,"mostly sunny, clear, warm, stong wind",20,NA,7.87,NA,88.6844101,"sjr",1
"86","EZ2SJR",2014-10-01,"11:40","",NA,NA,0.02,NA,24,237,6.16,0.27,2.3,2.4,0.2,1.04,0.11,16.4,1008,8,2,0.3,0.09,NA,NA,NA,NA,1884,NA,38.0688,-121.6778,NA,NA,NA,NA,7.85,92,NA,NA,21.4,NA,6.7,32.6,"Sunny, clear, and warm with medium winds (12-15 mph); MC=3",NA,NA,7.9,NA,89.74394226,"sjr",1
"87","EZ2SJR",2014-11-12,"10:20","",NA,NA,0.05,NA,23,503,2.69,0.51,2.1,2.2,0.3,0.75,0.1,16.2,1210,6,1,0.3,0.09,NA,NA,NA,NA,1981,"mc=2.
added lat and long",38.0563,-121.6841,NA,NA,NA,NA,8.3,120,NA,NA,17.5,NA,5.5,41.1,"Overcast and cool with medium winds (7-8 mph)",NA,NA,7.6,NA,88.50737762,"sjr",1
"88","EZ2SJR",2015-04-09,"7:55","",NA,NA,0.05,NA,27,393,7.69,0.42,3.5,3.8,0.3,3.73,0.12,12.5,966,23,2,0.7,0.06,NA,NA,NA,NA,1777,NA,38.0482,-121.6932,NA,NA,NA,NA,8.4,44,NA,NA,16.4,NA,21.8,38.3,NA,NA,NA,7.92,NA,87.32294464,"sjr",1
"89","EZ2SJR",2015-06-08,"9:35","",NA,NA,0.04,NA,25,503,1.42,0.58,2.6,2.6,0.2,NA,0.12,14.5,1058,10,2,0.4,0.08,NA,NA,NA,NA,1949,NA,38.0695,-121.6769,NA,NA,NA,NA,7.85,70,NA,NA,21.62,NA,11.1,37.5,"Very warm, sunny, clear, approx. 80-90-degrees F, no winds",NA,NA,7.75,NA,89.74394226,"sjr",1
"90","EZ2SJR",2015-07-08,"10:15","",NA,NA,0.02,NA,24,511,4.43,0.45,2.6,2.7,0.2,1.17,0.11,13.6,1073,17,4,0.4,0.08,NA,NA,NA,NA,1909,NA,38.0969,-121.6691,NA,NA,NA,NA,8,56,NA,NA,22.72,NA,10.9,39.4,"sunny, clear, wind",17,NA,7.88,NA,92.90493011,"sjr",1
"91","EZ2SJR",2015-08-19,"8:51","",NA,NA,0.01,NA,22,498,2.67,0.27,2.3,2.3,0.3,0.66,0.1,11.9,1089,9,2,0.4,0.06,NA,NA,NA,NA,1919,NA,38.0969,-121.6691,2.5,NA,NA,NA,7.6,88,NA,NA,22.31,NA,8,45.1,NA,NA,NA,7.88,NA,92.90493011,"sjr",1
"92","EZ2SJR",2015-09-17,"8:50","",NA,NA,0.02,NA,23,457,3.78,0.33,2.4,2.4,0.2,1.31,0.1,13.8,991,11,3,0.3,0.08,NA,NA,NA,NA,1796,NA,38.0871,-121.6463,3,NA,NA,NA,7.65,80,NA,NA,21.8,NA,7.7,59.5,"Partly cloudy and warm with a light breeze",NA,NA,7.9,NA,94.80206299,"sjr",1
"93","EZ2SJR",2015-11-02,"10:42","",NA,NA,0.04,NA,24,562,1.79,0.47,2.1,2.4,0.2,0.61,0.09,13.8,1178,12,2,0.3,0.09,NA,NA,NA,NA,2148,NA,38.067,-121.6767,1,NA,NA,NA,8.25,84,NA,NA,19.14,NA,9,37,"cloudy, light winds, ~60 F",NA,NA,7.85,NA,89.57873535,"sjr",1
"94","EZ2SJR",2015-12-02,"10:45","",NA,NA,0.08,NA,21,436,13.46,0.62,2.3,2.5,0.2,1.37,0.11,11.8,958,18,4,0.4,0.05,NA,NA,NA,NA,1721,NA,38.0969,-121.6691,1,NA,NA,NA,10.7,76,NA,NA,11.07,NA,10,35,"overcast",5,NA,7.8,NA,92.90493011,"sjr",1
"95","EZ2SJR",2016-01-04,"13:48","",NA,NA,0.13,NA,20,291,3.38,0.58,3.5,3.7,0.3,1.07,0.1,18,658,19,2,0.7,0.04,NA,NA,NA,NA,1227,NA,38.0691,-121.6783,1,NA,NA,NA,10.3,44,NA,52,8.69,NA,20.9,33.7,"cloudy",8,NA,7.79,NA,89.74394226,"sjr",1
"96","EZ2SJR",2016-08-08,"8:30","",NA,NA,0.06,NA,19,490,3.69,0.21,1.8,1.9,NA,2.47,0.09,10.2,1041,21,3,0.3,0.05,NA,NA,NA,NA,1905,"EZ2 location was at the end of the D12 tow. updated long with (-) and removed (-) from lat.",38.0227,-121.7988,2,NA,NA,NA,8.25,44,NA,NA,21.35,NA,19.4,41,"clear, sunny, ~72 deg F, winds less than 15 mph",NA,NA,7.71,NA,77.46056366,"sjr",1
"97","EZ2SJR",2016-10-20,"8:15","",NA,NA,0.05,NA,21,500,1.44,0.35,1.8,2,0.2,NA,0.09,13.8,1067,10,1,0.3,0.08,NA,NA,NA,NA,1915,NA,38.0479,-121.6937,2,NA,NA,NA,8.7,116,NA,62,17.7,NA,7.7,40.6,"Partly cloudy, cool",5.2,NA,7.7,NA,87.32294464,"sjr",1
"98","EZ2SJR",2016-11-03,"7:35","",NA,NA,0.07,NA,22,496,1.38,0.42,1.9,1.9,0.2,NA,0.09,14.6,1083,6,NA,0.3,0.08,NA,NA,NA,NA,1928,"updated long with (-)",38.0565,-121.685,1,NA,NA,NA,8.54,156,NA,52.7,17.27,NA,5.3,50.6,"Sunny, Ripples to small waves with no white caps, No rain",5.4,NA,7.54,NA,88.38410187,"sjr",1
"99","EZ2SJR",2016-12-08,"10:04","",NA,NA,0.13,NA,25,464,2.15,0.57,2.6,2.6,0.3,0.69,0.08,19.4,1030,18,4,0.4,0.08,NA,NA,NA,NA,1833,"updated long with (-)",38.0499,-121.6928,1,NA,NA,NA,10.19,80,NA,NA,10.69,NA,11.2,40.2,NA,NA,NA,7.69,NA,87.42950439,"sjr",1
"100","EZ2SJR",2017-12-11,"12:00","",NA,NA,0.2,NA,11,405,1.42,0.45,2.6,2.6,0.2,0.94,0.07,8.9,872,16,2,0.5,0.07,NA,NA,NA,2113,1588,"Located at channel marker's 15 and 16, just upstream of Antioch bridge. updated long with (-)",38.0279,-121.7481,1,NA,9.66,NA,9.68,72,10.89,51.8,10.77,16.8,11.4,41.1,"Partly cloudy, ripples to small waves and no rain",3.3,7.52,7.57,NA,82.11314392,"sjr",1
"101","EZ2SJR",2018-01-08,"11:00","",NA,NA,0.15,NA,25,518,1.09,0.48,2.9,2.3,0.2,NA,0.07,17.5,1095,10,2,0.4,0.06,NA,NA,NA,2010,1992,"quarter of a mile upstream of Light 23",38.0472,-121.6944,1,NA,10.1,NA,10.17,124,9.91,48.7,9.91,9.5,8.6,40.3,"Foggy, ripples to small waves with no white caps and medium rain",7.6,7.52,7.52,NA,87.0823288,"sjr",1
"102","EZ2SJR",2018-07-19,"9:40","",NA,NA,0.07,NA,19,410,4.33,0.28,2.1,2.3,0.2,2.08,0.09,13.5,894,20,2,0.4,0.08,NA,NA,NA,2115,1532,"100 yards up stream of overhead powerlines",38.0262,-121.7792,2,NA,8.37,NA,8.38,48,21.94,63.7,21.67,18.6,17.8,42.3,"Partially cloudy, ripples to small waves with no white caps, no rain",24.3,7.84,7.84,NA,79.2900238,"sjr",1
"103","EZ2SJR",2018-08-03,"8:25","",NA,NA,0.1,NA,23,516,2.71,0.23,2,2,NA,1.2,0.078,13,1110,14,2,0.2,0.07,NA,NA,NA,2065,1997,"located at D12",38.0213,-121.8064,2,NA,8.35,NA,8.34,64,21.52,61.9,21.54,13.5,11.5,37.6,"Overcast, ripples to small waves with no white caps",12.5,7.77,7.6,NA,76.75691223,"sjr",1
"104","EZ2SJR",2018-09-14,"8:35","",NA,NA,0.03,NA,25,520,1.66,0.189,2,2,0.2,0.85,0.09,13.6,1120,5,1,0.2,0.076,NA,NA,NA,2000,1919,NA,38.0363,-121.706,2,NA,8.39,NA,8.43,120,20.17,58.6,20.2,6.4,5.1,43.9,"Partially cloudy, no waves/flat and no rain",16.5,7.93,7.95,NA,85.95425415,"sjr",1
"105","EZ2SJR",2018-10-15,"10:50","",NA,NA,0.04,NA,22.5,440,NA,0.27,2,2,0.12,NA,0.08,13.7,1110,6,1,0.2,0.078,NA,NA,NA,1856,1786,"Near powerline at Jersey Point",38.0523,-121.69015,3,NA,8.93,NA,9.01,140,17.83,67.3,17.84,4,3.6,46.3,"Sunny, ripples to small waves with no white caps",13.8,7.87,7.92,NA,87.80934143,"sjr",1
"106","EZ2SJR",2018-12-12,"10:00","",NA,NA,0.137,NA,24.8,480,0.77,0.575,2.6,2.6,0.3,NA,0.08,16.4,1040,6,1,0.38,0.08,NA,NA,NA,2040,1984,NA,38.0476,-121.6935,1,NA,9.22,NA,9.24,128,11.44,46.2,11.46,4.7,4.2,36.2,"Partly cloudy, Ripples to small waves with no white caps, No rain",20,7.87,7.82,NA,87.2698288,"sjr",1
"107","EZ2SJR",2019-08-06,"8:30","",NA,NA,NA,NA,21.4,510,2.56,0.197,1.8,1.8,0.16,1.56,0.064,12.4,1080,13,1,0.252,0.063,NA,NA,NA,1854,1705,"Passed through EZ2-SJR during the D12 tow. EZ2-SJR will be used as the duplicate sample for D12.",38.022825,-121.7934383,2,92.3,7.84,92.4,7.86,60,23.22,63,23.17,9.5,9.2,40.4,"Sunny sky; No waves, flat; No rain",14,7.6,7.6,NA,77.98556519,"sjr",1
"108","EZ2SJR",2019-12-04,"11:10","",NA,54,0.21,1.4,20,430,1.51,0.37,1.7,2.2,NA,3.71,NA,13,950,19,3.4,0.33,0.05,NA,NA,NA,1997,1721,NA,38.048365,-121.69404,1,90.9,9.95,91.7,10.06,68,11.04,47.8,11.01,19.6,17.5,39.9,"Cloudy, no waves/flat, light rain",6.8,7.62,7.66,NA,87.32294464,"sjr",1
"109","EZ2SJR",2020-02-13,"7:50","",NA,80,0.14,0.87,20,270,2.42,0.46,1.4,1.4,NA,1.49,0.1,19,580,32,NA,0.45,0.054,NA,NA,NA,1801,1189,"Same as D12",38.021948,-121.807064,1,93.1,10.3,93.4,10.38,28,10.6,42.4,10.51,45.6,23.5,39.4,"Sky sunny; No waves, flat; No rain",5.4,7.63,7.46,NA,76.73921204,"sjr",1
"110","EZ2SJR",2020-06-10,"7:05","",NA,66,0.05,1.65,22,470,1.61,0.37,2.2,2.2,0.2,0.94,0.1,13.6,1030,14.8,2.5,0.3,0.089,NA,NA,NA,2137,1846,"EZ2-SJR located at the end of the D12 tow. Used same secchi reading as D12.",38.023519,-121.792511,2,90.5,8.02,91.3,8.08,48,20.97,67.6,21.05,14.1,12,40.7,"partly cloudy; ripples to small waves, no white caps; no rain",12.4,7.73,7.76,NA,77.98556519,"sjr",1
"111","EZ2SJR",2020-07-09,"7:05","",NA,61,NA,1.68,23,512,2.6,0.23,2,1.9,0.2,0.85,0.08,13.3,1120,22,4,0.3,0.076,NA,NA,NA,2030,2022,"Much microcystis present in zooplankton tow. Less visible at water surface.",38.029741,-121.734071,3,94,8.09,95,8.18,96,22.53,61.7,22.53,8.8,7.9,40,"sunny; ripples to small waves, no white caps; no rain",12.2,7.92,7.91,NA,83.38605499,"sjr",1
"112","EZ2SJR",2020-08-10,"9:15","",NA,63,NA,1.67,23,515,3.73,0.07,2.2,2,0.1,0.73,0.078,12.4,1080,7.1,NA,0.3,0.064,NA,NA,NA,2086,1934,NA,38.029611,-121.73094,2,96.2,8.25,97,8.31,120,22.7,66,22.81,6.2,6,38.1,"sunny; ripples to small waves, no white caps; no rain",25,7.95,8,NA,83.4631424,"sjr",1
"113","EZ2SJR",2020-09-08,"8:30","",NA,71,NA,1.73,24,527,5.47,0.14,1.8,1.8,0.2,1.42,0.88,12.6,1180,7,NA,0.2,0.074,NA,NA,NA,2093,2116,"located 100 yards upstream of channel marker 19",38.03732,-121.705785,3,98.3,8.5,98.2,8.5,120,22.24,75.4,22.25,5.7,4.8,11.2,"overcast; moderate waves, few white caps; no rain",26.9,7.92,7.93,NA,85.95425415,"sjr",1
"114","EZ2SJR",2020-10-07,"10:15","",NA,74,NA,1.149,21,343,3.11,0.219,1.9,1.9,0.19,1.03,0.08,13.9,881,3.9,NA,0.3,0.079,NA,NA,NA,1968,1513,"Located at the intersection of the San Joaquin River and False River near Bradford Island.",38.057063,-121.682638,3,92.3,8.07,92.8,8.12,176,21.71,62.2,21.76,3.9,3.5,42,"sunny; ripples to small waves, no white caps; no rain",15.7,7.86,7.84,NA,88.50737762,"sjr",1
"115","EZ2SJR",2020-11-05,"10:10","",NA,66,NA,1.643,22,470.69,2.31,0.26,1.8,1.7,0.2,0.89,0.08,12.2,1040,4.6,NA,0.218,0.078,NA,NA,NA,1985,1884,"located near the mouth of False River",38.057883,-121.681983,2,92.4,8.9,92.9,8.95,160,16.85,66.6,16.86,4.3,4,48.9,"sunny, no waves/flat and no rain",1.3,7.77,7.73,NA,88.82557678,"sjr",1
"116","EZ2SJR",2020-12-04,"10:10","",NA,68,0.07,1.944,24,522,1.94,0.34,2,2,0.13,1.03,0.07,13.8,1140,7.2,NA,0.219,0.073,NA,NA,NA,2054,2047,"Located on the SJR at the mouth of the False River. Followed behind a large cargo ship for a while, which likely explains how homogenous the water was. MC not visible on the surface, but small amount was present in the zoop samples.",38.06115,-121.678678,2,92.2,9.99,92.4,10,136,11.5,48.9,11.51,6.2,6,41,"sunny; ripples to small waves, no white caps; no rain",7,7.81,7.81,NA,89.08213043,"sjr",1
"117","EZ2SJR",2021-03-04,"8:55","",NA,90,0.076,0.752,22.3,238.9,4.09,0.632,3.8,3.5,0.37,0.77,0.072,19.7,652,11.1,2.5,0.479,0.084,NA,NA,NA,1861,1165,"Located 400 yards downstream of channel marker 17A",38.030686,-121.731283,1,92.8,9.92,93.2,9.99,76,12.1,43.9,12.1,15.8,10.2,42.3,"Sunny, ripples to small waves with no white caps, no rain",5.2,7.82,7.87,NA,83.49855804,"sjr",1
"118","EZ2SJR",2021-04-02,"8:10","",NA,84.7,0.139,1.472,24.5,431.34,4.77,0.442,3,2.9,0.13,1.28,0.102,15.7,954,30.3,5.8,0.451,0.091,NA,NA,NA,1883,1834,"Located at channel marker 17A just upstream of the Antioch bridge.",38.032085,-121.72593,1,95.2,9.55,96.5,9.67,38,14.98,53.1,15.02,26.1,19,45.6,"Sunny, ripples to small waves with no white caps",21.7,7.81,7.8,NA,84.07666779,"sjr",1
"119","EZ2SJR",2021-05-04,"11:10","",NA,85.4,0.05,0.8006,20.1,224.33,1.33,0.253,2.8,2.8,0.24,1.05,0.067,12,555,5.7,2.5,0.252,0.071,NA,NA,NA,2041,1479,"located about half a mile downstream of Jersey Point",38.031206,-121.729148,1,92.9,8.66,96.2,8.87,76,18.48,73.2,19.09,12.3,8.7,42.7,"sunny; no waves, flat; no rain",9.4,7.84,7.91,NA,83.68605804,"sjr",1
"120","EZ2SJR",2021-06-02,"11:30","",NA,74.6,0.05,1.47,23,401,1.68,0.233,2.3,2.3,0.19,0.5,0.084,13.3,873,7.6,2.5,0.19,0.09,NA,NA,NA,2075,1728,"half-mile upstream of False River",38.068776,-121.676246,1,94.9,8.4,96.6,8.54,96,21.01,68.4,21.17,7.9,7.1,40.7,"sunny; ripples to small waves, no white caps; no rain",18.6,7.91,7.92,NA,89.88582611,"sjr",1
"121","EZ2SJR",2021-07-15,"9:35","",NA,69.2,0.05,NA,24,484,5.83,0.111,2.2,2.2,0.17,1.04,0.081,12,1062,6.3,2.5,0.254,0.081,NA,NA,NA,2193,2102,"Located a quarter mile upstream of channel marker 27. Passed through D16 during tow. Secchi reading taken after tow.",38.07761,-121.67781,4,96.5,8.36,97.7,8.44,120,22.16,63.5,22.36,6.3,4.8,38.1,"Sunny; Ripples to small waves, no white caps; No rain",16.3,8.03,8.06,NA,90.53500366,"sjr",1
"122","EZ2SJR",2021-08-13,"9:30","",NA,67.2,0.05,NA,19.4,305,6.32,0.078,2,2.3,0.17,1.76,0.078,12.8,722,8.4,2.5,0.244,0.08,NA,NA,NA,2104,1493,"Located near navigational marker 24",38.05285,-121.69022,2,95.4,8.24,96.1,8.29,104,22.29,67.3,22.48,6.2,3.6,40.4,"Sunny, ripples to small waves with no white caps, no rain",26.9,8.06,8.06,NA,87.80934143,"sjr",1
"123","EZ2SJR",2021-09-13,"9:40","",NA,75.3,0.05,NA,21.9,405,2.23,0.083,2.1,2,0.21,0.93,0.071,13.4,913,7.3,2.5,0.219,0.084,NA,NA,NA,2059,1764,"Located 100 yards downstream of channel marker 21",38.040093,-121.701038,2,93.1,8.03,94.2,8.11,100,22.38,72.3,22.55,7.1,5.5,35.4,"Sunny, ripples to small waves, no white caps, no rain",10.2,7.98,8.02,NA,86.39798737,"sjr",1
