ID,Date,Time,FieldNotes,Weather,AirTemp,WindVelocity,Chla_Sign,Chla_Value,Pheophytin_Sign,Pheophytin_Value,TotAlkalinity_Sign,TotAlkalinity_Value,DissAmmonia_Sign,DissAmmonia_Value,DissBromide_Sign,DissBromide_Value,DissCalcium_Sign,DissCalcium_Value,DissChloride_Sign,DissChloride_Value,DissNitrateNitrite_Sign,DissNitrateNitrite_Value,DOC_Sign,DOC_Value,TOC_Sign,TOC_Value,DON_Sign,DON_Value,DissOrthophos_Sign,DissOrthophos_Value,TotPhos_Sign,TotPhos_Value,DissSilica_Sign,DissSilica_Value,TDS_Sign,TDS_Value,TSS_Sign,TSS_Value,VSS_Sign,VSS_Value,TKN_Sign,TKN_Value,Depth,Secchi,Microcystis,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,pHBottom
MD10A_10,10/4/2023,10:55:00,NA,"sunny, no waves, flat, no rain",73.8,1.3,=,5.15,=,0.74,=,54.9,<,0.05,=,NA,=,10.4,=,9.6,<,0.05,=,3.1,=,3.1,=,0.15,=,0.059,=,0.06,=,13.5,=,92,=,2.7,<,2.5,=,0.225,17.1,242,2,168,7.73,87.3,21.33,0.7,7.48,167,7.55,84.6,20.91,0.9,7.46
MD10A_11,11/6/2023,14:20:00,NA,"partly cloudy, no waves, flat, no rain",64.8,11.6,=,2.08,=,0.57,=,53.3,<,0.05,=,NA,=,12.1,=,24.3,=,0.208,=,3.4,=,3.4,=,0.16,=,0.052,=,0.07,=,11.2,=,126,<,2.5,<,2.5,=,0.245,17.7,280,1,218,8.56,88.8,17.09,1,7.47,220,8.39,86.9,17,0.9,7.27
NZ068_4,4/14/2023,12:15:00,NA,"sunny; ripples to small waves, no white caps; no rain",57.2,5.4,=,4.14,=,1.14,=,70.6,<,0.05,=,NA,=,13.9,=,6.37,=,0.214,=,2.6,=,2.5,<,0.1,<,0.05,=,0.046,=,16.3,=,112,=,15.6,=,2.6,=,0.158,20,52,1,176,10.01,99,14.84,10.6,7.9,179,10.08,98.3,14.2,13.6,7.94
NZ068_5,5/15/2023,14:00:00,NA,"sunny; ripples to small waves, no white caps; no rain",71.2,14.8,=,3.24,=,0.6,=,49.3,<,0.05,=,NA,=,9.89,=,3.58,=,0.169,=,2.3,=,2,=,0.12,<,0.05,=,0.031,=,15.7,=,80,=,6.8,<,2.5,=,0.21,18,66,1,123,9.78,102.5,17.61,5.4,8.11,117,9.7,101.1,17.3,5.7,7.95
NZ068_6,6/12/2023,12:35:00,NA,"Cloudy, Ripples to small waves, no white caps, No rain",64.6,10.5,=,1.39,<,0.5,=,44.3,<,0.05,=,NA,=,8.55,=,3.53,=,0.124,=,1.7,=,1.7,=,0.17,<,0.05,=,0.036,=,14,=,70,=,4.2,<,2.5,=,0.208,17.7,93,1,115,9.47,99.9,17.91,4.3,7.64,112,9.44,98.7,17.46,4.5,7.63
NZ068_7,7/12/2023,13:40:00,NA,"Sunny, Ripples to small waves, no white caps, No rain",80.8,9.1,=,1.96,=,0.65,=,48.8,<,0.05,=,NA,=,9.48,=,7.35,=,0.115,=,2.4,=,2.2,=,0.13,=,0.05,=,0.046,=,14.2,=,84,=,6.2,<,2.5,=,0.192,18.7,92,1,142,8.27,95.1,22.27,4.2,7.71,141,8.28,94.9,22.12,5.3,7.72
NZ068_8,8/10/2023,14:20:00,NA,"Sunny, ripples to small waves, no whitecaps, no rain",79.9,12.1,=,2.28,<,0.5,=,48.8,<,0.05,=,NA,=,9.12,=,4.3,=,0.114,=,2.3,=,2.1,=,0.12,<,0.05,=,0.043,=,14,=,80,=,3.3,<,2.5,=,0.141,22,144,1,121,8.35,98,23.36,2.7,7.69,123,8.35,97,22.78,3.7,7.66
NZ068_9,9/7/2023,14:00:00,No horizontal sonde measurements recorded,"Sunny, ripples to small waves with no white caps, no rain",78.1,11.2,=,1.37,<,0.5,=,61.5,<,0.05,=,NA,=,11.5,=,7.19,=,0.15,=,2.4,=,2.3,=,0.15,=,0.054,=,0.036,=,17.1,=,98,=,3.3,<,2.5,=,0.217,19.4,156,1,162,8.53,96.2,21.28,2.8,7.71,184,8.48,95,20.95,3.1,7.62
NZ068_10,10/5/2023,11:55:00,NA,"Sunny, no waves, flat, no rain",77.9,5.1,=,1.37,<,0.5,=,52.7,<,0.05,=,NA,=,9.68,=,15.4,=,0.169,=,2.3,=,2.2,<,0.1,<,0.05,=,0.034,=,14.6,=,103,<,2.5,<,2.5,=,0.122,22.3,192,1,183,8.86,96.3,19.35,1.4,7.76,146,8.82,94.6,18.75,2.1,7.63
NZ068_11,11/7/2023,14:55:00,NA,"Sunny, ripples to small waves no whitecaps, no rain",59.2,16.6,=,1.64,<,0.5,=,55.7,<,0.05,=,NA,=,10.7,=,10.8,=,0.213,=,2.2,=,2.3,=,0.13,=,0.063,=,0.054,=,15.6,=,101,=,3,<,2.5,=,0.131,17.7,204,1,160,9.34,93.9,15.65,7.2,7.94,159,9.74,97.9,15.6,2.3,7.63
P8_4,4/13/2023,12:10:00,NA,"Sunny, moderate waves with few white caps, no rain",57.9,16,=,3.25,=,0.94,=,40.8,<,0.05,=,NA,=,9.51,=,12,=,0.138,=,3.7,=,3.6,=,0.19,=,0.066,=,0.091,=,9.74,=,94,=,11.1,<,2.5,=,0.285,36.4,56,1,149,9.56,95.7,15.42,10.2,7.48,152,9.31,93,15.27,13.3,7.35
P8_5,5/12/2023,13:00:00,NA,"Sunny, no waves/flat, no rain",74.1,8.5,=,3.31,=,1.48,=,32.6,<,0.05,=,NA,=,7.1,=,10.6,=,0.112,=,3.2,=,3.2,=,0.22,=,0.078,=,0.102,=,9.82,=,74,=,18.5,=,3,=,0.333,36.7,76,1,115,9.22,96.5,17.54,10.3,7.55,111,9.11,94.4,17.03,21.5,7.34
P8_6,6/9/2023,10:50:00,NA,"partly cloudy, no waves, flat, no rain",63.3,16.3,=,4.96,=,1.7,=,26.2,<,0.05,=,NA,=,5.71,=,5.21,=,0.117,=,3,=,2.7,=,0.27,=,0.082,=,0.105,=,9.2,=,53,=,8.8,<,2.5,=,0.376,38.4,74,1,88,8.28,91.3,20.08,7.5,7.3,88,7.96,86.8,19.56,14.9,7.16
P8_7,7/11/2023,14:35:00,NA,"sunny, ripples to small waves, no white caps, no rain",85.8,8.1,=,10.1,=,2.83,=,35.1,<,0.05,=,NA,=,9.33,=,15.4,=,0.364,=,3.4,=,2.9,=,0.17,=,0.092,=,0.115,=,10.1,=,93,=,10.5,<,2.5,=,0.384,36.1,72,1,155,7.36,88.7,24.7,6.9,7.38,157,6.48,75.5,22.92,11.5,7.13
P8_8,8/9/2023,14:30:00,NA,"Sunny, ripples to small waves, no whitecaps, no rain",78.8,1.5,=,7.26,=,0.95,=,53.6,=,0.116,=,NA,=,13.4,=,41.1,=,0.409,=,3.7,=,3.6,=,0.21,=,0.133,=,0.147,=,11.1,=,180,=,5.7,<,2.5,=,0.475,37.4,96,1,321,7.35,91,26.19,3.4,7.38,319,6.38,77.5,25.13,7.4,7.19
P8_9,9/6/2023,13:10:00,NA,"Sunny, ripples to small waves with no white caps, no rain",77.2,8.6,=,2.35,=,1.74,=,48.7,=,0.152,=,NA,=,12.6,=,36.1,=,0.723,=,3.5,=,3.3,=,0.19,=,0.094,=,0.121,=,11.9,=,152,=,15.2,=,2.9,=,0.465,37.7,84,2,270,6.16,72.1,23.16,9.2,7.34,259,5.83,67.1,22.23,21.6,7.14
P8_10,10/4/2023,12:30:00,NA,"sunny, ripples to small waves, no white caps, no rain",78.1,5.1,=,3.49,=,0.68,=,61.9,<,0.05,=,NA,=,17.4,=,75.7,=,1.26,=,3.5,=,3.6,=,0.27,=,0.119,=,0.126,=,11.8,=,264,=,7.7,<,2.5,=,0.354,37.4,84,1,491,6.85,79.6,22.8,5.3,7.33,494,6.42,73.2,21.77,12.6,7.25
P8_11,11/6/2023,16:00:00,NA,"partly cloudy, no waves, flat, no rain",63.3,5.5,=,1.69,=,0.84,=,54.6,=,0.074,=,NA,=,14.1,=,44.7,=,0.947,=,3.5,=,3.3,=,0.17,=,0.078,=,0.102,=,11.4,=,190,=,12.5,<,2.5,=,0.334,38.4,75,1,335,8.13,82.3,15.95,8.8,7.33,324,8.05,81,15.63,19.7,7.28
