ID,Date,Time,SampleDescription,Flag,FlagDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla_Sign,Chla_Value,Pheophytin_Sign,Pheophytin_Value,TotAlkalinity_Sign,TotAlkalinity_Value,TotAmmonia_Sign,TotAmmonia_Value,DissAmmonia_Sign,DissAmmonia_Value,DissBromide_Sign,DissBromide_Value,DissCalcium_Sign,DissCalcium_Value,TotChloride_Sign,TotChloride_Value,DissChloride_Sign,DissChloride_Value,DissNitrateNitrite_Sign,DissNitrateNitrite_Value,DOC_Sign,DOC_Value,TOC_Sign,TOC_Value,DON_Sign,DON_Value,TON_Sign,TON_Value,DissOrthophos_Sign,DissOrthophos_Value,TotPhos_Sign,TotPhos_Value,DissSilica_Sign,DissSilica_Value,TDS_Sign,TDS_Value,TSS_Sign,TSS_Value,VSS_Sign,VSS_Value,TKN_Sign,TKN_Value,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,TurbiditySurface_NTU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,TurbidityBottom_NTU,pHBottom
D4_7,2023-07-12,12:05:00,NA,NA,NA,NA,"Sunny, large waves, frequent white caps, no rain",67.8,22.6,NA,NA,NA,=,4.01,=,2.16,=,44.9,=,NA,<,0.05,=,NA,=,14.5,=,NA,=,219,=,0.106,=,2.6,=,2.5,=,0.22,=,NA,=,0.065,=,0.08,=,12.6,=,478,=,23.3,=,3.3,=,0.283,38.1,44,1,NA,908,8.25,92.6,20.88,14.8,NA,7.58,932,8.42,94.2,20.74,21.2,NA,7.63
D4_8,2023-08-10,12:40:00,NA,NA,NA,NA,"Sunny, ripples to small waves, no whitecaps, no rain",70.9,13.3,NA,NA,NA,=,2.78,=,1.68,=,51.4,=,NA,<,0.05,=,NA,=,26,=,NA,=,811,=,0.086,=,2.2,=,2.2,=,0.11,=,NA,=,0.058,=,0.073,=,11.7,=,1560,=,26.5,=,4,=,0.198,31.2,48,1,NA,2950,8.11,94.4,22.47,16.9,NA,7.61,2950,8.09,94,22.37,25.6,NA,7.62
D4_9,2023-09-07,11:25:00,NA,NA,NA,NA,"Sunny, moderate waves with few white caps, no rain",62.6,18.9,NA,NA,NA,=,1.5,=,0.89,=,58.8,=,NA,<,0.05,=,NA,=,25.7,=,NA,=,778,=,0.114,=,2.3,=,2.4,=,0.2,=,NA,=,0.069,=,0.082,=,13.9,=,1440,=,18.6,=,2.7,=,0.243,34.1,60,2,NA,2800,8.11,93.2,21.77,12.1,NA,7.6,2854,8.06,92.4,21.71,15.7,NA,7.64
D4_10,2023-10-05,09:45:00,NA,NA,NA,NA,"Sunny, ripples to small waves, no whitecaps, no rain",72.7,7.6,NA,NA,NA,=,1.25,=,1.04,=,63.5,=,NA,<,0.05,=,NA,=,26.3,=,NA,=,697,=,0.166,=,2,=,2,=,0.15,=,NA,=,0.069,=,0.077,=,14.6,=,1380,=,26.9,=,3.3,=,0.197,32.2,42,1,NA,2641,8.19,90.7,19.93,18,NA,7.59,2690,8.2,90.7,19.87,22.9,NA,7.54
D4_11,2023-11-07,12:20:00,NA,NA,NA,MC seen in sample,"Sunny, ripples to small waves no whitecaps, no rain",58.1,10.8,NA,NA,NA,=,1.05,=,0.51,=,63.8,=,NA,=,0.071,=,NA,=,49.9,=,NA,=,2100,=,0.203,=,2.1,=,2.4,<,0.1,=,NA,=,0.077,=,0.08,=,13,=,3820,=,19.1,=,2.7,=,0.208,33.5,64,2,NA,6807,8.72,91.9,16.77,10.8,NA,7.56,7177,8.6,90.4,16.61,21.8,NA,7.54
MD10A_4,2023-04-13,10:40:00,NA,NA,NA,NA,"Sunny, ripples to small waves with no white caps, no rain",55.2,12.2,NA,NA,NA,=,1.44,=,0.73,=,54.2,=,NA,<,0.05,=,NA,=,12.9,=,NA,=,16.5,=,0.176,=,4.4,=,4.5,=,0.27,=,NA,=,0.093,=,0.109,=,7.94,=,112,=,3,<,2.5,=,0.332,13.5,106,1,NA,193,9.42,95.8,16.15,5,NA,7.43,192,9.26,94.4,16.25,4.9,NA,7.37
MD10A_5,2023-05-12,11:15:00,NA,NA,NA,NA,"Sunny, no waves/flat, no rain",69.1,10.5,NA,NA,NA,=,1.01,=,0.52,=,45.2,=,NA,<,0.05,=,NA,=,9.61,=,NA,=,12.6,=,0.116,=,3.6,=,3.9,=,0.26,=,NA,=,0.109,=,0.115,=,8.67,=,91,=,2.7,<,2.5,=,0.291,18.4,188,1,NA,151,9.15,98.8,19.07,3.6,NA,7.6,151,8.97,95.7,18.46,4.2,NA,7.52
MD10A_6,2023-06-09,09:15:00,NA,NA,NA,"small green, spherical/round algae present in the zooplankton samples","partly cloudy, no waves, flat, no rain",60.1,7.6,NA,NA,NA,=,1.33,=,0.81,=,40.9,=,NA,<,0.05,=,NA,=,8.75,=,NA,=,11,=,0.063,=,3.6,=,3.6,=,0.21,=,NA,=,0.139,=,0.148,=,9.27,=,78,=,3.4,<,2.5,=,0.29,19,152,1,NA,139,7.82,88.4,21.37,3.8,NA,7.45,139,7.29,82.5,21.43,3.8,NA,7.27
MD10A_7,2023-07-11,12:55:00,NA,NA,NA,NA,"sunny, ripples to small waves, no white caps, no rain",82.4,6.4,NA,NA,NA,=,2.86,=,0.76,=,47.1,=,NA,<,0.05,=,NA,=,11.2,=,NA,=,16,<,0.05,=,4.3,=,3.7,=,0.27,=,NA,=,0.111,=,0.111,=,11,=,102,=,3,<,2.5,=,0.33,17.1,136,1,NA,169,6.64,81.5,25.73,1.3,NA,7.22,169,6.33,76.5,24.9,1.7,NA,7.21
MD10A_8,2023-08-09,12:50:00,NA,NA,NA,NA,"Sunny, no waves, flat, no rain",74.7,3.5,NA,NA,NA,=,2.56,=,0.9,=,45.4,=,NA,<,0.05,=,NA,=,9.61,=,NA,=,10.4,<,0.05,=,3.5,=,3.3,=,0.15,=,NA,=,0.08,=,0.074,=,11.9,=,86,=,2.7,<,2.5,=,0.212,12.5,155,1,NA,144,6.56,81.1,26.18,1.4,NA,7.5,143,6.27,77.4,26.07,1.4,NA,7.19
MD10A_9,2023-09-06,11:20:00,NA,NA,NA,NA,"Sunny, ripples to small waves with no white caps, no rain",70.9,9.4,NA,NA,NA,=,5.81,=,1.84,=,53.8,=,NA,<,0.05,=,NA,=,10.2,=,NA,=,9.86,<,0.05,=,3.6,=,3.7,=,0.16,=,NA,=,0.068,=,0.081,=,13.7,=,94,=,3.3,<,2.5,=,0.246,17.4,204,2,NA,154,7.09,83.9,23.78,2.3,NA,7.16,154,6.77,79.7,23.52,2.7,NA,7.05
MD10A_10,2023-10-04,10:55:00,NA,NA,NA,NA,"sunny, no waves, flat, no rain",73.8,1.3,NA,NA,NA,=,5.15,=,0.74,=,54.9,=,NA,<,0.05,=,NA,=,10.4,=,NA,=,9.6,<,0.05,=,3.1,=,3.1,=,0.15,=,NA,=,0.059,=,0.06,=,13.5,=,92,=,2.7,<,2.5,=,0.225,17.1,242,2,NA,168,7.73,87.3,21.33,0.7,NA,7.48,167,7.55,84.6,20.91,0.9,NA,7.46
MD10A_11,2023-11-06,14:20:00,NA,NA,NA,NA,"partly cloudy, no waves, flat, no rain",64.8,11.6,NA,NA,NA,=,2.08,=,0.57,=,53.3,=,NA,<,0.05,=,NA,=,12.1,=,NA,=,24.3,=,0.208,=,3.4,=,3.4,=,0.16,=,NA,=,0.052,=,0.07,=,11.2,=,126,<,2.5,<,2.5,=,0.245,17.7,280,1,NA,218,8.56,88.8,17.09,1,NA,7.47,220,8.39,86.9,17,0.9,NA,7.27
NZ068_4,2023-04-14,12:15:00,NA,NA,NA,NA,"sunny; ripples to small waves, no white caps; no rain",57.2,5.4,NA,NA,NA,=,4.14,=,1.14,=,70.6,=,NA,<,0.05,=,NA,=,13.9,=,NA,=,6.37,=,0.214,=,2.6,=,2.5,<,0.1,=,NA,<,0.05,=,0.046,=,16.3,=,112,=,15.6,=,2.6,=,0.158,20,52,1,NA,176,10.01,99,14.84,10.6,NA,7.9,179,10.08,98.3,14.2,13.6,NA,7.94
NZ068_5,2023-05-15,14:00:00,NA,NA,NA,NA,"sunny; ripples to small waves, no white caps; no rain",71.2,14.8,NA,NA,NA,=,3.24,=,0.6,=,49.3,=,NA,<,0.05,=,NA,=,9.89,=,NA,=,3.58,=,0.169,=,2.3,=,2,=,0.12,=,NA,<,0.05,=,0.031,=,15.7,=,80,=,6.8,<,2.5,=,0.21,18,66,1,NA,123,9.78,102.5,17.61,5.4,NA,8.11,117,9.7,101.1,17.3,5.7,NA,7.95
NZ068_6,2023-06-12,12:35:00,NA,NA,NA,NA,"Cloudy, Ripples to small waves, no white caps, No rain",64.6,10.5,NA,NA,NA,=,1.39,<,0.5,=,44.3,=,NA,<,0.05,=,NA,=,8.55,=,NA,=,3.53,=,0.124,=,1.7,=,1.7,=,0.17,=,NA,<,0.05,=,0.036,=,14,=,70,=,4.2,<,2.5,=,0.208,17.7,93,1,NA,115,9.47,99.9,17.91,4.3,NA,7.64,112,9.44,98.7,17.46,4.5,NA,7.63
NZ068_7,2023-07-12,13:40:00,NA,NA,NA,NA,"Sunny, Ripples to small waves, no white caps, No rain",80.8,9.1,NA,NA,NA,=,1.96,=,0.65,=,48.8,=,NA,<,0.05,=,NA,=,9.48,=,NA,=,7.35,=,0.115,=,2.4,=,2.2,=,0.13,=,NA,=,0.05,=,0.046,=,14.2,=,84,=,6.2,<,2.5,=,0.192,18.7,92,1,NA,142,8.27,95.1,22.27,4.2,NA,7.71,141,8.28,94.9,22.12,5.3,NA,7.72
NZ068_8,2023-08-10,14:20:00,NA,NA,NA,NA,"Sunny, ripples to small waves, no whitecaps, no rain",79.9,12.1,NA,NA,NA,=,2.28,<,0.5,=,48.8,=,NA,<,0.05,=,NA,=,9.12,=,NA,=,4.3,=,0.114,=,2.3,=,2.1,=,0.12,=,NA,<,0.05,=,0.043,=,14,=,80,=,3.3,<,2.5,=,0.141,22,144,1,NA,121,8.35,98,23.36,2.7,NA,7.69,123,8.35,97,22.78,3.7,NA,7.66
NZ068_9,2023-09-07,14:00:00,NA,NA,NA,No horizontal sonde measurements recorded,"Sunny, ripples to small waves with no white caps, no rain",78.1,11.2,NA,NA,NA,=,1.37,<,0.5,=,61.5,=,NA,<,0.05,=,NA,=,11.5,=,NA,=,7.19,=,0.15,=,2.4,=,2.3,=,0.15,=,NA,=,0.054,=,0.036,=,17.1,=,98,=,3.3,<,2.5,=,0.217,19.4,156,1,NA,162,8.53,96.2,21.28,2.8,NA,7.71,184,8.48,95,20.95,3.1,NA,7.62
NZ068_10,2023-10-05,11:55:00,NA,NA,NA,NA,"Sunny, no waves, flat, no rain",77.9,5.1,NA,NA,NA,=,1.37,<,0.5,=,52.7,=,NA,<,0.05,=,NA,=,9.68,=,NA,=,15.4,=,0.169,=,2.3,=,2.2,<,0.1,=,NA,<,0.05,=,0.034,=,14.6,=,103,<,2.5,<,2.5,=,0.122,22.3,192,1,NA,183,8.86,96.3,19.35,1.4,NA,7.76,146,8.82,94.6,18.75,2.1,NA,7.63
NZ068_11,2023-11-07,14:55:00,NA,NA,NA,NA,"Sunny, ripples to small waves no whitecaps, no rain",59.2,16.6,NA,NA,NA,=,1.64,<,0.5,=,55.7,=,NA,<,0.05,=,NA,=,10.7,=,NA,=,10.8,=,0.213,=,2.2,=,2.3,=,0.13,=,NA,=,0.063,=,0.054,=,15.6,=,101,=,3,<,2.5,=,0.131,17.7,204,1,NA,160,9.34,93.9,15.65,7.2,NA,7.94,159,9.74,97.9,15.6,2.3,NA,7.63
P8_4,2023-04-13,12:10:00,NA,NA,NA,NA,"Sunny, moderate waves with few white caps, no rain",57.9,16,NA,NA,NA,=,3.25,=,0.94,=,40.8,=,NA,<,0.05,=,NA,=,9.51,=,NA,=,12,=,0.138,=,3.7,=,3.6,=,0.19,=,NA,=,0.066,=,0.091,=,9.74,=,94,=,11.1,<,2.5,=,0.285,36.4,56,1,NA,149,9.56,95.7,15.42,10.2,NA,7.48,152,9.31,93,15.27,13.3,NA,7.35
P8_5,2023-05-12,13:00:00,NA,NA,NA,NA,"Sunny, no waves/flat, no rain",74.1,8.5,NA,NA,NA,=,3.31,=,1.48,=,32.6,=,NA,<,0.05,=,NA,=,7.1,=,NA,=,10.6,=,0.112,=,3.2,=,3.2,=,0.22,=,NA,=,0.078,=,0.102,=,9.82,=,74,=,18.5,=,3,=,0.333,36.7,76,1,NA,115,9.22,96.5,17.54,10.3,NA,7.55,111,9.11,94.4,17.03,21.5,NA,7.34
P8_6,2023-06-09,10:50:00,NA,NA,NA,NA,"partly cloudy, no waves, flat, no rain",63.3,16.3,NA,NA,NA,=,4.96,=,1.7,=,26.2,=,NA,<,0.05,=,NA,=,5.71,=,NA,=,5.21,=,0.117,=,3,=,2.7,=,0.27,=,NA,=,0.082,=,0.105,=,9.2,=,53,=,8.8,<,2.5,=,0.376,38.4,74,1,NA,88,8.28,91.3,20.08,7.5,NA,7.3,88,7.96,86.8,19.56,14.9,NA,7.16
P8_7,2023-07-11,14:35:00,NA,NA,NA,NA,"sunny, ripples to small waves, no white caps, no rain",85.8,8.1,NA,NA,NA,=,10.1,=,2.83,=,35.1,=,NA,<,0.05,=,NA,=,9.33,=,NA,=,15.4,=,0.364,=,3.4,=,2.9,=,0.17,=,NA,=,0.092,=,0.115,=,10.1,=,93,=,10.5,<,2.5,=,0.384,36.1,72,1,NA,155,7.36,88.7,24.7,6.9,NA,7.38,157,6.48,75.5,22.92,11.5,NA,7.13
P8_8,2023-08-09,14:30:00,NA,NA,NA,NA,"Sunny, ripples to small waves, no whitecaps, no rain",78.8,1.5,NA,NA,NA,=,7.26,=,0.95,=,53.6,=,NA,=,0.116,=,NA,=,13.4,=,NA,=,41.1,=,0.409,=,3.7,=,3.6,=,0.21,=,NA,=,0.133,=,0.147,=,11.1,=,180,=,5.7,<,2.5,=,0.475,37.4,96,1,NA,321,7.35,91,26.19,3.4,NA,7.38,319,6.38,77.5,25.13,7.4,NA,7.19
P8_9,2023-09-06,13:10:00,NA,NA,NA,NA,"Sunny, ripples to small waves with no white caps, no rain",77.2,8.6,NA,NA,NA,=,2.35,=,1.74,=,48.7,=,NA,=,0.152,=,NA,=,12.6,=,NA,=,36.1,=,0.723,=,3.5,=,3.3,=,0.19,=,NA,=,0.094,=,0.121,=,11.9,=,152,=,15.2,=,2.9,=,0.465,37.7,84,2,NA,270,6.16,72.1,23.16,9.2,NA,7.34,259,5.83,67.1,22.23,21.6,NA,7.14
P8_10,2023-10-04,12:30:00,NA,NA,NA,NA,"sunny, ripples to small waves, no white caps, no rain",78.1,5.1,NA,NA,NA,=,3.49,=,0.68,=,61.9,=,NA,<,0.05,=,NA,=,17.4,=,NA,=,75.7,=,1.26,=,3.5,=,3.6,=,0.27,=,NA,=,0.119,=,0.126,=,11.8,=,264,=,7.7,<,2.5,=,0.354,37.4,84,1,NA,491,6.85,79.6,22.8,5.3,NA,7.33,494,6.42,73.2,21.77,12.6,NA,7.25
P8_11,2023-11-06,16:00:00,NA,NA,NA,NA,"partly cloudy, no waves, flat, no rain",63.3,5.5,NA,NA,NA,=,1.69,=,0.84,=,54.6,=,NA,=,0.074,=,NA,=,14.1,=,NA,=,44.7,=,0.947,=,3.5,=,3.3,=,0.17,=,NA,=,0.078,=,0.102,=,11.4,=,190,=,12.5,<,2.5,=,0.334,38.4,75,1,NA,335,8.13,82.3,15.95,8.8,NA,7.33,324,8.05,81,15.63,19.7,NA,7.28
