MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (ft.),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,7,2.9,,,f,BSA.04-07,AB,Low sediment and detritus.,cylinder,6.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,9:15,E0422B0679,D16,3,58,5,8.62%,0.0697,314.159,0.4182,6,150.24,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,61.1,,,i,BSA.04-08,BB,,elliptic prism,16157.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,9:15,E0422B0679,D16,3,58,5,8.62%,0.0697,314.159,0.4182,6,150.24,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,5.6,,,i,BSA.04-08,BB,,sphere,91.95,,,,,,,,,
Phyto,4/21/2022,9:15,E0422B0679,D16,3,58,5,8.62%,0.0697,314.159,0.4182,6,150.24,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,428,878,0.8,0.8,0.8,c,BSA.04-08,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/26/2022,11:05,E0422B0808,D6,3,63,3,4.76%,0.0683,314.159,3.415,50,30.66,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,17,17,11.1,,,i,BSA.04-09,AB,Low sediment.,cylinder,345.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,11:05,E0422B0808,D6,3,63,3,4.76%,0.0683,314.159,3.415,50,30.66,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,9.5,,,i,BSA.04-09,AB,Low sediment.,cone + half sphere,194.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,11:05,E0422B0808,D6,3,63,3,4.76%,0.0683,314.159,3.415,50,30.66,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,2,2,13.5,,,i,BSA.04-09,AB,Low sediment.,cone + half sphere,814.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,11:05,E0422B0808,D6,3,63,3,4.76%,0.0683,314.159,3.415,50,30.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,310,620,0.8,0.8,0.8,c,BSA.04-09,AB,Low sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,8,8,5.6,,,i,BSA.04-10,BB,,cylinder,68.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,475,Gyrosigma acuminatum,Diatom,Gyrosigma,acuminatum,,1,1,75.9,,,i,BSA.04-10,BB,,prism on parallelogram,4156.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,8.3,,,i,BSA.04-10,BB,,cylinder + 2 half spheres,204.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,1.9,,,i,BSA.04-10,BB,,sphere,3.59,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,1305,cf. Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,1,2,5.6,,,i,BSA.04-10,BB,,prolate spheroid,77.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,19,19,9.3,,,i,BSA.04-10,BB,,cone + half sphere,251.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,2,2,13,,,i,BSA.04-10,BB,,cone + half sphere,902.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,9:05,E0422B0716,MD10A,3,62,6,9.68%,0.0697,314.159,1.9516,28,26.83,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,372,762,0.8,0.8,0.8,c,BSA.04-10,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/26/2022,11:55,E0422B0809,D8,3,63,2,3.17%,0.0683,314.159,1.2294,18,127.77,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,7,7,25.9,,,i,BSA.04-11,CB,,cylinder,713.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,11:55,E0422B0809,D8,3,63,2,3.17%,0.0683,314.159,1.2294,18,127.77,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,802,0.8,0.8,0.8,c,BSA.04-11,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,16,16,5.6,,,i,BSA.04-12,BB,,cylinder,91.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,8.3,,,i,BSA.04-12,BB,,sphere,299.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5.6,,,i,BSA.04-12,BB,,ellipsoid,10.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,11.1,,,i,BSA.04-12,BB,,2 cones,9.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,8,8,29.6,,,i,BSA.04-12,BB,,prolate spheroid,1337.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,20,20,10.2,,,i,BSA.04-12,BB,,cone + half sphere,292.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1842,Plagioselmis sp.,Soft Body,Plagioselmis,sp.,,1,1,5.6,,,i,BSA.04-12,BB,,cone + half sphere,76.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,10:45,E0422B0717,P8,3,61,6,9.84%,0.0697,314.159,1.7425,25,30.05,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,369,768,0.8,0.8,0.8,c,BSA.04-12,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/27/2022,10:45,E0422B0850,D7,3,62,2,3.23%,0.0697,314.159,0.4879,7,321.95,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,413,826,0.8,0.8,0.8,c,BSA.04-13,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,16.2,,,i,BSA.04-14,AB,Moderate sediment and detritus.,elliptic prism,229.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,13.1,,,i,BSA.04-14,AB,Moderate sediment and detritus.,cylinder,631.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18.5,,,i,BSA.04-14,AB,Moderate sediment and detritus.,prism on parallelogram,46.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,923,Staurosira cf. venter,Diatom,Staurosira,venter,,1,1,10.6,,,i,BSA.04-14,AB,Moderate sediment and detritus.,elliptic prism,324.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,943,cf. Stephanodiscus sp.,Diatom,Stephanodiscus,sp.,,1,1,18,,,i,BSA.04-14,AB,Moderate sediment and detritus.,cylinder,2570.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,11.1,,,i,BSA.04-14,AB,Moderate sediment and detritus.,cone + half sphere,265.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/26/2022,12:35,E0422B0810,D10,3,64,3,4.69%,0.0683,314.159,2.3905,35,43.81,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,396,792,0.8,0.8,0.8,c,BSA.04-14,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/25/2022,11:10,E0422B0742,D4,3,59,5,8.47%,0.0697,314.159,0.3485,5,180.29,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,20.4,,,i,BSA.04-15,BB,,elliptic prism,583.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0742,D4,3,59,5,8.47%,0.0697,314.159,0.3485,5,180.29,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,2,2,9.3,,,i,BSA.04-15,BB,,2 cones,38.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0742,D4,3,59,5,8.47%,0.0697,314.159,0.3485,5,180.29,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,22.2,,,i,BSA.04-15,BB,,prolate spheroid,2546.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0742,D4,3,59,5,8.47%,0.0697,314.159,0.3485,5,180.29,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,1,1,13,,,i,BSA.04-15,BB,,cone + half sphere,902.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0742,D4,3,59,5,8.47%,0.0697,314.159,0.3485,5,180.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,471,970,0.8,0.8,0.8,c,BSA.04-15,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/25/2022,11:10,E0422B0742,D4,3,59,5,8.47%,0.0697,314.159,0.3485,5,180.29,1709,cf. Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,17,2.8,,,f,BSA.04-15,BB,,cylinder,1.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,13,,,i,BSA.04-16,AB,,elliptic prism,294.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,169,Cyclostephanos sp.,Diatom,Cyclostephanos,sp.,,3,3,9.3,,,i,BSA.04-16,AB,,cylinder,159.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,14.8,,,i,BSA.04-16,AB,,elliptic prism,182.26,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,16.7,,,i,BSA.04-16,AB,,prism on parallelogram,114.31,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,7.4,,,i,BSA.04-16,AB,,2 cones,13.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,5,5,13,,,i,BSA.04-16,AB,,cone + half sphere,598.98,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:55,E0422B0744,NZ068,3,61,5,8.20%,0.0683,314.159,1.2294,18,51.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,806,0.8,0.8,0.8,c,BSA.04-16,AB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/25/2022,12:00,E0422B0743,D22,3,62,3,4.84%,0.0697,314.159,0.4182,6,250.41,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,14.8,,,i,BSA.04-17,BB,,cylinder,636.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0743,D22,3,62,3,4.84%,0.0697,314.159,0.4182,6,250.41,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,2,2,20.4,,,i,BSA.04-17,BB,,elliptic prism,877.37,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0743,D22,3,62,3,4.84%,0.0697,314.159,0.4182,6,250.41,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,51.9,,,i,BSA.04-17,BB,,elliptic prism,5650.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0743,D22,3,62,3,4.84%,0.0697,314.159,0.4182,6,250.41,425,cf. Gomphoneis sp.,Diatom,Gomphoneis,sp.,,1,1,14.8,,,i,BSA.04-17,BB,,elliptic prism,574.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0743,D22,3,62,3,4.84%,0.0697,314.159,0.4182,6,250.41,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,416,844,0.8,0.8,0.8,c,BSA.04-17,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/28/2022,12:40,E0422B0899,D41,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,24.1,,,i,BSA.04-18,CB,,elliptic prism,693.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,12:40,E0422B0899,D41,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,7,7,11.1,,,i,BSA.04-18,CB,,cylinder,238.33,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,12:40,E0422B0899,D41,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,27.3,,,i,BSA.04-18,CB,,gomphonemoid,357.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,12:40,E0422B0899,D41,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,20.4,,,i,BSA.04-18,CB,,prism on parallelogram,314.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,12:40,E0422B0899,D41,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,10,10,11.1,,,i,BSA.04-18,CB,,cone + half sphere,378.14,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,12:40,E0422B0899,D41,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,393,786,0.8,0.8,0.8,c,BSA.04-18,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/27/2022,13:05,E0422B0852,NZ032,3,61,6,9.84%,0.0697,314.159,0.4182,6,125.2,88,Aulacoseira alpigena,Diatom,Aulacoseira,alpigena,,1,1,7.4,,,i,BSA.04-19,BB,,cylinder,245.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,13:05,E0422B0852,NZ032,3,61,6,9.84%,0.0697,314.159,0.4182,6,125.2,1892,Cylindrotheca closterium,Diatom,Cylindrotheca,closterium,,1,1,22.8,,,i,BSA.04-19,BB,,prolate spheroid + 2 cylinders,148.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,13:05,E0422B0852,NZ032,3,61,6,9.84%,0.0697,314.159,0.4182,6,125.2,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,14.8,,,i,BSA.04-19,BB,,2 cones,6.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,13:05,E0422B0852,NZ032,3,61,6,9.84%,0.0697,314.159,0.4182,6,125.2,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,834,0.8,0.8,0.8,c,BSA.04-19,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,14.8,,,i,BSA.04-20,CB,,cylinder,485.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,3,3,68.5,,,i,BSA.04-20,CB,,elliptic prism,2595.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,631,Navicula sp.,Diatom,Navicula,sp.,,3,3,18.5,,,i,BSA.04-20,CB,,elliptic prism,212.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14.8,,,i,BSA.04-20,CB,,prism on parallelogram,95.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,16.7,,,i,BSA.04-20,CB,,cylinder,1818.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,387,774,0.8,0.8,0.8,c,BSA.04-20,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/27/2022,12:00,E0422B0851,NZS42,3,61,1,1.64%,0.0683,314.159,1.2294,18,255.54,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,14,2,,,f,BSA.04-20,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,14:00,E0422B0902,NZ004,1,61,2,3.28%,0.0697,314.159,3.485,50,45.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,14.8,,,i,BSA.04-21,BB,Cannot meet tally in 50 fields.,cylinder,1273.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,14:00,E0422B0902,NZ004,1,61,2,3.28%,0.0697,314.159,3.485,50,45.07,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,55.6,,,i,BSA.04-21,BB,Cannot meet tally in 50 fields.,cylinder,53900.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,14:00,E0422B0902,NZ004,1,61,2,3.28%,0.0697,314.159,3.485,50,45.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,10.2,,,i,BSA.04-21,BB,Cannot meet tally in 50 fields.,cone + half sphere,387.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,14:00,E0422B0902,NZ004,1,61,2,3.28%,0.0697,314.159,3.485,50,45.07,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,374,770,0.8,0.8,0.8,c,BSA.04-21,BB,Cannot meet tally in 50 fields.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
