MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,,1,1,75.9,,,i,BSA.03-07,CB,,prism on parallelogram,491.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,27.8,,,i,BSA.03-07,CB,,prism on parallelogram,120.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,16.7,,,i,BSA.03-07,CB,,cylinder + 2 half spheres,179.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,4,7.4,,,i,BSA.03-07,CB,,prolate spheroid,12.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,3,3,5.6,,,i,BSA.03-07,CB,,cylinder + 2 cones,18.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,7,7,27.8,,,i,BSA.03-07,CB,,2 cones,44.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.03-07,CB,,cone + half sphere,337.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,368,736,0.8,0.8,0.8,c,BSA.03-07,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,4,46,2,,,f,BSA.03-07,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,4,4,24.5,,,i,BSA.03-08,AB,Moderate detritus.,elliptic prism,384.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,31,31,14.6,,,i,BSA.03-08,AB,Moderate detritus.,cylinder,491.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,29.6,,,i,BSA.03-08,AB,Moderate detritus.,elliptic prism,813.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,664,Nitzschia cf. acicularis,Diatom,Nitzschia,acicularis,,1,1,29.6,,,i,BSA.03-08,AB,Moderate detritus.,prism on parallelogram,65.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,57.4,,,i,BSA.03-08,AB,Moderate detritus.,prism on parallelogram,330.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,921,cf. Staurosira sp.,Diatom,Staurosira,sp.,,1,1,16.7,,,i,BSA.03-08,AB,Moderate detritus.,elliptic prism,121.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,33,33,11.8,,,i,BSA.03-08,AB,Moderate detritus.,cone + half sphere,458.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,12,12,6.1,,,i,BSA.03-08,AB,Moderate detritus.,cone + half sphere,72.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,10:25,E0322B0508,D26,3,58,7,12.07%,0.0683,314.159,2.8686,42,15.65,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,316,632,0.8,0.8,0.8,c,BSA.03-08,AB,Moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,24.1,,,i,BSA.03-09,CB,,elliptic prism,1232.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,13,13,9.3,,,i,BSA.03-09,CB,,cylinder,216.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,33.3,,,i,BSA.03-09,CB,,prism on parallelogram,200.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,16.7,,,i,BSA.03-09,CB,,cylinder + 2 half spheres,179.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,40.7,,,i,BSA.03-09,CB,,cylinder,26410.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,24.1,,,i,BSA.03-09,CB,,prolate spheroid,1398.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,15,15,9.3,,,i,BSA.03-09,CB,,cone + half sphere,292.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,365,730,0.8,0.8,0.8,c,BSA.03-09,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/10/2022,12:00,E0322B0473,D19,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,16,2,,,f,BSA.03-09,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/15/2022,14:05,E0322B0603,D10,3,60,2,3.33%,0.0683,314.159,2.049,30,76.66,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,7,7,9.5,,,i,BSA.03-10,AB,Moderate sediment and detritus.,cylinder,115.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/15/2022,14:05,E0322B0603,D10,3,60,2,3.33%,0.0683,314.159,2.049,30,76.66,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,13,13,48.6,,,i,BSA.03-10,AB,Moderate sediment and detritus.,elliptic prism,3650.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/15/2022,14:05,E0322B0603,D10,3,60,2,3.33%,0.0683,314.159,2.049,30,76.66,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,14.1,,,i,BSA.03-10,AB,Moderate sediment and detritus.,elliptic prism,44.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/15/2022,14:05,E0322B0603,D10,3,60,2,3.33%,0.0683,314.159,2.049,30,76.66,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,3,3,55.6,,,i,BSA.03-10,AB,Moderate sediment and detritus.,prism on parallelogram,124.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/15/2022,14:05,E0322B0603,D10,3,60,2,3.33%,0.0683,314.159,2.049,30,76.66,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.5,,,i,BSA.03-10,AB,Moderate sediment and detritus.,cone + half sphere,333.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/15/2022,14:05,E0322B0603,D10,3,60,2,3.33%,0.0683,314.159,2.049,30,76.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,390,780,0.8,0.8,0.8,c,BSA.03-10,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/10/2022,9:45,E0322B0471,D12,3,58,3,5.17%,0.0683,314.159,1.366,20,76.66,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,13,,,i,BSA.03-11,CB,,cylinder,730.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,9:45,E0322B0471,D12,3,58,3,5.17%,0.0683,314.159,1.366,20,76.66,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,8,8,55.6,,,i,BSA.03-11,CB,,elliptic prism,3622.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,9:45,E0322B0471,D12,3,58,3,5.17%,0.0683,314.159,1.366,20,76.66,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,,1,1,74.1,,,i,BSA.03-11,CB,,prism on parallelogram,507.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,9:45,E0322B0471,D12,3,58,3,5.17%,0.0683,314.159,1.366,20,76.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,395,790,0.8,0.8,0.8,c,BSA.03-11,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/16/2022,11:15,E0322B0643,D7,3,62,3,4.84%,0.0683,314.159,1.5026,22,69.69,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,23,23,9.7,,,i,BSA.03-12,AB,Moderate sediment and detritus.,cylinder,136.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/16/2022,11:15,E0322B0643,D7,3,62,3,4.84%,0.0683,314.159,1.5026,22,69.69,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,6,6,55.8,,,i,BSA.03-12,AB,Moderate sediment and detritus.,elliptic prism,6364.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/16/2022,11:15,E0322B0643,D7,3,62,3,4.84%,0.0683,314.159,1.5026,22,69.69,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,10.8,,,i,BSA.03-12,AB,Moderate sediment and detritus.,cone + half sphere,438.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/16/2022,11:15,E0322B0643,D7,3,62,3,4.84%,0.0683,314.159,1.5026,22,69.69,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,387,774,0.8,0.8,0.8,c,BSA.03-12,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/17/2022,10:45,E0322B0648,D41A,3,63,2,3.17%,0.0683,314.159,1.366,20,114.99,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,16.7,,,i,BSA.03-13,CB,,elliptic prism,378.14,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/17/2022,10:45,E0322B0648,D41A,3,63,2,3.17%,0.0683,314.159,1.366,20,114.99,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,14.8,,,i,BSA.03-13,CB,,cylinder,347.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/17/2022,10:45,E0322B0648,D41A,3,63,2,3.17%,0.0683,314.159,1.366,20,114.99,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,35.2,,,i,BSA.03-13,CB,,elliptic prism,378.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/17/2022,10:45,E0322B0648,D41A,3,63,2,3.17%,0.0683,314.159,1.366,20,114.99,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.7,,,i,BSA.03-13,CB,,sphere,26.52,,,,,,,,,
Phyto,3/17/2022,10:45,E0322B0648,D41A,3,63,2,3.17%,0.0683,314.159,1.366,20,114.99,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,11.1,,,i,BSA.03-13,CB,,cone + half sphere,337.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/17/2022,10:45,E0322B0648,D41A,3,63,2,3.17%,0.0683,314.159,1.366,20,114.99,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,400,800,0.8,0.8,0.8,c,BSA.03-13,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/14/2022,12:50,E0322B0535,D4,3,56,5,8.93%,0.0683,314.159,1.6392,24,38.33,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,9,,,i,BSA.03-14,AB,Moderate sediment and detritus.,cylinder,166.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,12:50,E0322B0535,D4,3,56,5,8.93%,0.0683,314.159,1.6392,24,38.33,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,16,16,63.2,,,i,BSA.03-14,AB,Moderate sediment and detritus.,elliptic prism,9415.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,12:50,E0322B0535,D4,3,56,5,8.93%,0.0683,314.159,1.6392,24,38.33,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18.5,,,i,BSA.03-14,AB,Moderate sediment and detritus.,prism on parallelogram,118.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,12:50,E0322B0535,D4,3,56,5,8.93%,0.0683,314.159,1.6392,24,38.33,1704,Monoraphidium cf. minutum,Soft Body,Monoraphidium,minutum,,1,1,9,,,i,BSA.03-14,AB,Moderate sediment and detritus.,2 cones,29.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,12:50,E0322B0535,D4,3,56,5,8.93%,0.0683,314.159,1.6392,24,38.33,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,26,26,13,,,i,BSA.03-14,AB,Moderate sediment and detritus.,cone + half sphere,296.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,12:50,E0322B0535,D4,3,56,5,8.93%,0.0683,314.159,1.6392,24,38.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,367,734,0.8,0.8,0.8,c,BSA.03-14,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,2,2,9.3,,,i,BSA.03-15,CB,,elliptic prism,85.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,18.5,,,i,BSA.03-15,CB,,elliptic prism,297.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,7.4,,,i,BSA.03-15,CB,,cylinder,116.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,2,2,61.1,,,i,BSA.03-15,CB,,elliptic prism,8126.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,481,Gyrosigma sp.,Diatom,Gyrosigma,sp.,,1,1,96.7,,,i,BSA.03-15,CB,,prism on parallelogram,10060.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,74.1,,,i,BSA.03-15,CB,,prism on parallelogram,396.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,956,cf. Surirella sp.,Diatom,Surirella,sp.,,1,1,18.5,,,i,BSA.03-15,CB,,elliptic prism,887.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,35.2,,,i,BSA.03-15,CB,,cylinder,17127.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,20.4,,,i,BSA.03-15,CB,,2 cones,38.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,7,7,9.3,,,i,BSA.03-15,CB,,cone + half sphere,223.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,376,752,0.8,0.8,0.8,c,BSA.03-15,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/14/2022,14:25,E0322B0536,D22,3,58,4,6.90%,0.0683,314.159,1.1611,17,67.64,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,10,2,,,f,BSA.03-15,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,15:20,E0322B0537,NZ068,3,57,6,10.53%,0.0683,314.159,2.3905,35,21.9,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.03-16,AB,Moderate sediment.,elliptic prism,75.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,15:20,E0322B0537,NZ068,3,57,6,10.53%,0.0683,314.159,2.3905,35,21.9,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,9,9,11,,,i,BSA.03-16,AB,Moderate sediment.,cylinder,248.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,15:20,E0322B0537,NZ068,3,57,6,10.53%,0.0683,314.159,2.3905,35,21.9,923,Staurosira cf. venter,Diatom,Staurosira,venter,,3,3,14.1,,,i,BSA.03-16,AB,Moderate sediment.,elliptic prism,98.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,15:20,E0322B0537,NZ068,3,57,6,10.53%,0.0683,314.159,2.3905,35,21.9,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,33,33,13,,,i,BSA.03-16,AB,Moderate sediment.,cone + half sphere,303.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/14/2022,15:20,E0322B0537,NZ068,3,57,6,10.53%,0.0683,314.159,2.3905,35,21.9,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,358,716,0.8,0.8,0.8,c,BSA.03-16,AB,Moderate sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/16/2022,12:35,E0322B0644,NZS42,3,58,1,1.72%,0.0683,314.159,2.732,40,114.99,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,7,7,10.4,,,i,BSA.03-17,AB,High sediment.,cylinder,189.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
