MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,GALD,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Organisms per mL,Total Cells Counted,Number of cells per unit
Phyto,2014-06-04T00:00:00Z,10:40:00,D19,63,2,3.17%,0.0697,314.159,0.976450986,14,160.87,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,300,c,NA,BSA.06-08,KS,Low sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,677,0.85,NA
Phyto,2014-06-04T00:00:00Z,10:40:00,D19,63,2,3.17%,0.0697,314.159,0.976450986,14,160.87,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,NA,119,i,NA,BSA.06-08,KS,Low sediment and detritus.,sphere,2.93,1.81,2.72,2.62,4.52,2.09,3.14,1.68,2.62,1.34,NA,119,5.12,NA
Phyto,2014-06-04T00:00:00Z,10:40:00,D19,63,2,3.17%,0.0697,314.159,0.976450986,14,160.87,1681,Chroococcus planctonicus,Soft Body,Chroococcus,planctonicus,NA,1,c,NA,BSA.06-08,KS,Low sediment and detritus.,sphere,26.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.7,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,8,i,NA,BSA.06-05,KS,Fragment. Low sediment and detritus. Many fragmented diatoms.,cylinder,91.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5.6,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,3,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,elliptic prism,608.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18.7,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,4,i,NA,BSA.06-05,KS,Fragment. Low sediment and detritus. Many fragmented diatoms.,elliptic prism,364.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11.2,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,3,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,cylinder,163.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.5,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,911,Staurosira construens,Diatom,Staurosira,construens,NA,1,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,elliptic prism,213.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.1,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,NA,2,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,2 cones,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.6,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,11,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,cone + half sphere,337.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9.3,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,305,c,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,665,0.9,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,NA,10,c,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,sphere,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1.9,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1642,Komma caudata,Soft Body,Komma,caudata,NA,1,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,cone + half sphere,164.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,NA,53,i,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,sphere,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,5.6,NA
Phyto,2014-06-04T00:00:00Z,11:55:00,D28A,63,5,7.94%,0.0697,314.159,1.185690483,17,52.99,1681,Chroococcus planctonicus,Soft Body,Chroococcus,planctonicus,NA,4,c,NA,BSA.06-05,KS,Low sediment and detritus. Many fragmented diatoms.,sphere,33.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,NA,9,i,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,cylinder,3310.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,33.6,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,15,i,NA,BSA.06-02,KS,Fragment. Low sediment and moderate detritus. Many fragmented diatoms.,cylinder,184.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,7.5,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,2,i,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,cylinder,163.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.5,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,631,Navicula sp.,Diatom,Navicula,sp.,NA,1,i,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,elliptic prism,255.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18.7,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,976,Synedra ulna,Diatom,Synedra,ulna,NA,1,i,NA,BSA.06-02,KS,Fragment. Low sediment and moderate detritus. Many fragmented diatoms.,box,120.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.2,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,NA,2,i,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,2 cones,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.5,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,1,i,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,cone + half sphere,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.3,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,321,c,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,733,0.85,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,NA,53,i,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,sphere,220.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,7.5,NA
Phyto,2014-06-05T00:00:00Z,8:15:00,D26,61,3,4.92%,0.0697,314.159,0.69746499,10,150.14,1681,Chroococcus cf. planctonicus,Soft Body,Chroococcus,planctonicus,NA,1,c,NA,BSA.06-02,KS,Low sediment and moderate detritus. Many fragmented diatoms.,sphere,54.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.7,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,17,i,NA,BSA.06-11,KS,Fragment. Low sediment and detritus.,cylinder,551.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11.2,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,i,NA,BSA.06-11,KS,Fragment. Low sediment and detritus.,elliptic prism,143.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.3,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,3,i,NA,BSA.06-11,KS,Low sediment and detritus.,elliptic prism,662.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18.7,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,464,Gomphonema sp.,Diatom,Gomphonema,sp.,NA,1,i,NA,BSA.06-11,KS,Low sediment and detritus.,gomphonemoid,108.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,540,Melosira varians,Diatom,Melosira,varians,NA,1,i,NA,BSA.06-11,KS,Low sediment and detritus.,cylinder,4145.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18.7,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,NA,3,i,NA,BSA.06-11,KS,Low sediment and detritus.,sphere,26.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.7,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,NA,1,i,NA,BSA.06-11,KS,Low sediment and detritus.,2 cones,17.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.3,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1346,Cryptomonas erosa,Soft Body,Cryptomonas,erosa,NA,7,i,NA,BSA.06-11,KS,Low sediment and detritus.,prolate spheroid,385.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13.1,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,4,i,NA,BSA.06-11,KS,Low sediment and detritus.,cone + half sphere,337.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9.3,NA
Phyto,2014-06-05T00:00:00Z,9:20:00,MD10A,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,365,c,NA,BSA.06-11,KS,Low sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,1244,0.85,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,1,i,NA,BSA.06-13,KS,Fragment. Moderate sediment and detritus.,cylinder,184.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,i,NA,BSA.06-13,KS,Fragment. Moderate sediment and detritus.,elliptic prism,488.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,2,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,elliptic prism,784.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20.6,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,3,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,cylinder,163.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.5,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,NA,2,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,cylinder,380.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.3,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,NA,6,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,2 cones,17.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.3,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,NA,1,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,prolate spheroid,220.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,NA,2,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,ellipsoid,53.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.5,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,7,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,cone + half sphere,337.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9.3,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,NA,17,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,cone + half sphere,1325.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,331,c,NA,BSA.06-13,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,825,0.85,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,NA,16,c,NA,BSA.06-13,KS,Moderate sediment and detritus.,sphere,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5.6,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1627,Peridinium sp.,Soft Body,Peridinium,sp.,NA,1,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,ellipsoid,1842.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18.7,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1684,Chlamydomonas gloeopara,Soft Body,Chlamydomonas,gloeopara,NA,1,i,NA,BSA.06-13,KS,Moderate sediment and detritus.,sphere,53.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-05T00:00:00Z,10:45:00,P8,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1685,Aphanizomenon cf. yezoense,Soft Body,Aphanizomenon,yezoense,NA,2,f,NA,BSA.06-13,KS,Moderate sediment and detritus.,cylinder,39.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,3.7,NA
Phyto,2014-06-06T00:00:00Z,9:40:00,D4,62,3,4.84%,0.0697,314.159,1.185690483,17,88.32,984,Thalassionema sp.,Diatom,Thalassionema,sp.,NA,1,i,NA,BSA.06-09,KS,Fragment. Low sediment. Moderate detritus.,box,102.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-06T00:00:00Z,9:40:00,D4,62,3,4.84%,0.0697,314.159,1.185690483,17,88.32,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,NA,1,i,NA,BSA.06-09,KS,Low sediment. Moderate detritus.,ellipsoid,40.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.6,NA
Phyto,2014-06-06T00:00:00Z,9:40:00,D4,62,3,4.84%,0.0697,314.159,1.185690483,17,88.32,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,364,c,NA,BSA.06-09,KS,Low sediment. Moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,860,0.85,NA
Phyto,2014-06-06T00:00:00Z,9:40:00,D4,62,3,4.84%,0.0697,314.159,1.185690483,17,88.32,1646,Coscinodiscus sp.,Diatom,Coscinodiscus,sp.,NA,1,i,NA,BSA.06-09,KS,Fragment. Low sediment. Moderate detritus.,cylinder,3478.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24.3,NA
Phyto,2014-06-06T00:00:00Z,9:40:00,D4,62,3,4.84%,0.0697,314.159,1.185690483,17,88.32,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,NA,57,i,NA,BSA.06-09,KS,Low sediment. Moderate detritus.,sphere,54.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,4.7,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,1,i,NA,BSA.06-10,KS,Fragment. Low sediment and moderate detritus.,cylinder,184.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,NA,1,i,NA,BSA.06-10,KS,Low sediment and moderate detritus.,cylinder,150.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,1020,cf. Carteria sp.,Soft Body,Carteria,sp.,NA,1,i,NA,BSA.06-10,KS,Low sediment and moderate detritus.,sphere,329.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.2,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,1,i,NA,BSA.06-10,KS,Low sediment and moderate detritus.,cone + half sphere,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.3,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,343,c,NA,BSA.06-10,KS,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,840,0.9,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,NA,28,i,NA,BSA.06-10,KS,Low sediment and moderate detritus.,sphere,26.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3.7,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,1646,Coscinodiscus sp.,Diatom,Coscinodiscus,sp.,NA,1,i,NA,BSA.06-10,KS,Fragment. Low sediment and moderate detritus.,cylinder,1866.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20.6,NA
Phyto,2014-06-06T00:00:00Z,8:20:00,D8,60,3,5.00%,0.0697,314.159,0.836957988,12,125.12,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,NA,51,i,NA,BSA.06-10,KS,Low sediment and moderate detritus.,sphere,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,5.6,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,elliptic prism,976.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22.4,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,5,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,cylinder,163.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.5,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,NA,4,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,box,432.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13.1,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,874,Rhoicosphenia abbreviata,Diatom,Rhoicosphenia,abbreviata,NA,1,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,gomphonemoid,132.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.1,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,949,Surirella bifrons,Diatom,Surirella,bifrons,NA,1,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,elliptic prism,25564.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,119.6,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,976,Synedra ulna,Diatom,Synedra,ulna,NA,5,i,NA,BSA.06-12,KS,Fragment. Low sediment and moderate detritus.,box,91.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.6,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,NA,2,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,cylinder,64.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.7,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,NA,2,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,2 cones,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.7,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,2,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,cone + half sphere,178.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.3,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,NA,1,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,cone + half sphere,581.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.2,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,389,c,NA,BSA.06-12,KS,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38,NA,861,0.9,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,NA,1,c,NA,BSA.06-12,KS,Low sediment and moderate detritus.,sphere,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.9,NA
Phyto,2014-06-06T00:00:00Z,10:50:00,EZ2,62,2,3.23%,0.0697,314.159,1.046197485,15,150.14,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,NA,4,i,NA,BSA.06-12,KS,Low sediment and moderate detritus.,sphere,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.6,NA
