comments,key_word_qc,quality_check,key_word_detritus,debris
Cannot meet tally in 50 fields.,,,,
High sediment and moderate detritus. Many broken diatoms.,,,,
High sediment and detritus. Many broken diatoms.,,,,
Moderate sediment and high detitus. Many broken diatoms.,,,,
Moderate sediment and high detritus. Many broken diatoms.,,,,
Low sediment. Many broken diatoms.,,,,
Low sediment and detritus. Many broken diatoms.,,,,
Moderate sediment and detritus. Many broken diatoms.,,,,
Low sediment and moderate detritus. Many broken diatoms.,,,,
Many broken diatoms.,,,,
Many broken diatoms. Girdle view.,,,,
Moderate detritus. Fragment.,,,,
High sediment.,,,,
Low sediment and high detritus.,,,,
High sediment and low detritus.,,,,
High sediment and moderate detritus.,,,,
Low sediment and low detritus.,,,,
Low sediment and detritus.,,,,
Low detritus.,,,,
Low sediment.,,,,
Moderate sediment and detritus.,,,,
Moderate sediment and low detritus.,,,,
Low sediment and moderate detritus.,,,,
Moderate detritus.,,,,
Girdle view.,,,,
High fungus abundance.,fungus,PoorlyPreserved,,
High levels of fungus.,fungus,PoorlyPreserved,,
