SampleID,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType,Genus,Units.per.mL,BV.um3.per.mL
2018-10-15-D12-Regular,2018-10-15,Fall,Oct,D12,Confluence,CON,Regular,Eucapsis,66162.78,23992.459199999998
2018-10-15-D12-Regular,2018-10-15,Fall,Oct,D12,Confluence,CON,Regular,Gyrosigma,160.98,228482.13359999997
2018-10-15-D12-Regular,2018-10-15,Fall,Oct,D12,Confluence,CON,Regular,Microcystis,160.98,4269.1896
2018-10-15-D12-Regular,2018-10-15,Fall,Oct,D12,Confluence,CON,Regular,Nitzschia,160.98,1698.339
2018-10-15-D12-Surface,2018-10-15,Fall,Oct,D12,Confluence,CON,Surface,Chlorella,511.08,5872.3092
2018-10-15-D12-Surface,2018-10-15,Fall,Oct,D12,Confluence,CON,Surface,Chroococcus,3577.56,191486.3436
2018-10-15-D12-Surface,2018-10-15,Fall,Oct,D12,Confluence,CON,Surface,Eucapsis,200854.44,74331.4752
2018-10-15-D12-Surface,2018-10-15,Fall,Oct,D12,Confluence,CON,Surface,Nitzschia,511.08,96553.23359999999
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Chlorella,662.8499999999999,1703.5244999999998
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Chroococcus,132.57,7031.5127999999995
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Cocconeis,132.57,111181.15619999998
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Eucapsis,51039.45,18612.828
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Microcystis,397.71,13327.2621
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Navicula,132.57,197769.2517
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Nitzschia,265.14,7555.1643
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Plagioselmis,662.8499999999999,162461.8836
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Pseudanabaena,132.57,1869.237
2018-10-15-D19-Regular,2018-10-15,Fall,Oct,D19,Central Delta,CED,Regular,Snowella,265.14,429.5268
2018-10-15-D19-Surface,2018-10-15,Fall,Oct,D19,Central Delta,CED,Surface,Chlorella,862.44,6244.0656
2018-10-15-D19-Surface,2018-10-15,Fall,Oct,D19,Central Delta,CED,Surface,Cocconeis,143.74,77429.86319999999
2018-10-15-D19-Surface,2018-10-15,Fall,Oct,D19,Central Delta,CED,Surface,Eucapsis,57639.740000000005,21138.404400000003
2018-10-15-D19-Surface,2018-10-15,Fall,Oct,D19,Central Delta,CED,Surface,Plagioselmis,574.96,196838.9934
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Chlorella,1201.92,2572.1088000000004
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Cocconeis,225.36,98818.1064
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Cryptomonas,150.24,76168.67520000001
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Cyclotella,75.12,10093.8744
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Eucapsis,27719.280000000002,10087.1136
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Hemiselmis,150.24,2898.1296
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Microcystis,600.96,10312.473600000001
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Nitzschia,150.24,3676.3728
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Plagioselmis,901.44,264674.8032
2018-10-15-D28A-Regular,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Regular,Skeletonema,300.48,8509.5936
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Chlorella,1303.22,4678.5598
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Cocconeis,76.66,34598.9578
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Cyclotella,76.66,18463.560999999998
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Eucapsis,28977.48,10611.277199999999
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Monoraphidium,76.66,3493.3961999999997
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Plagioselmis,919.92,351227.7558
2018-10-15-D28A-Surface,2018-10-15,Fall,Oct,D28A,Central Delta,CED,Surface,Planothidium,76.66,50899.1736
2018-10-15-EZ2-SJR-Regular,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Regular,Chlorella,1287.84,3309.7487999999994
2018-10-15-EZ2-SJR-Regular,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Regular,Chroococcus,160.98,3699.3203999999996
2018-10-15-EZ2-SJR-Regular,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Regular,Eucapsis,64391.99999999999,23470.883999999995
2018-10-15-EZ2-SJR-Regular,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Regular,Microcystis,160.98,32814.163199999995
2018-10-15-EZ2-SJR-Regular,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Regular,Plagioselmis,160.98,33984.4878
2018-10-15-EZ2-SJR-Regular,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Regular,Skeletonema,321.96,8155.246799999999
2018-10-15-EZ2-SJR-Surface,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Surface,Chlorella,958.25,6937.7300000000005
2018-10-15-EZ2-SJR-Surface,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Surface,Chroococcus,191.65,9766.484
2018-10-15-EZ2-SJR-Surface,2018-10-15,Fall,Oct,EZ2-SJR,NA,NA,Surface,Eucapsis,76468.35,28115.055
2018-10-15-EZ6-SJR-Regular,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Regular,Chlorella,321.95,1155.8004999999998
2018-10-15-EZ6-SJR-Regular,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Regular,Eucapsis,132321.44999999998,48099.33
2018-10-15-EZ6-SJR-Regular,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Regular,Hemiselmis,643.9,19844.998
2018-10-15-EZ6-SJR-Regular,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Regular,Nitzschia,321.95,36847.1775
2018-10-15-EZ6-SJR-Surface,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Surface,Chlorella,383.31,1376.0828999999999
2018-10-15-EZ6-SJR-Surface,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Surface,Cocconeis,383.31,365980.5549
2018-10-15-EZ6-SJR-Surface,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Surface,Cyclotella,766.62,138666.2256
2018-10-15-EZ6-SJR-Surface,2018-10-15,Fall,Oct,EZ6-SJR,NA,NA,Surface,Eucapsis,160223.58,59819.3586
2018-10-16-D16-Regular,2018-10-16,Fall,Oct,D16,Central Delta,CED,Regular,Chlorella,1045.4,14781.956000000002
2018-10-16-D16-Regular,2018-10-16,Fall,Oct,D16,Central Delta,CED,Regular,Coccomyxa,1045.4,17656.806
2018-10-16-D16-Regular,2018-10-16,Fall,Oct,D16,Central Delta,CED,Regular,Eucapsis,89486.24,32779.5624
2018-10-16-D16-Regular,2018-10-16,Fall,Oct,D16,Central Delta,CED,Regular,Plagioselmis,209.08,65805.8392
2018-10-16-D16-Surface,2018-10-16,Fall,Oct,D16,Central Delta,CED,Surface,Chlorella,1811.94,16669.847999999998
2018-10-16-D16-Surface,2018-10-16,Fall,Oct,D16,Central Delta,CED,Surface,Cyclotella,278.76,33102.75
2018-10-16-D16-Surface,2018-10-16,Fall,Oct,D16,Central Delta,CED,Surface,Eucapsis,58400.22,21475.670399999995
2018-10-16-D16-Surface,2018-10-16,Fall,Oct,D16,Central Delta,CED,Surface,Nitzschia,139.38,10684.870799999999
2018-10-16-D16-Surface,2018-10-16,Fall,Oct,D16,Central Delta,CED,Surface,Plagioselmis,278.76,90892.4856
2018-10-16-D26-Regular,2018-10-16,Fall,Oct,D26,Central Delta,CED,Regular,Chlorella,919.92,6660.2208
2018-10-16-D26-Regular,2018-10-16,Fall,Oct,D26,Central Delta,CED,Regular,Coccomyxa,2069.8199999999997,36822.097799999996
2018-10-16-D26-Regular,2018-10-16,Fall,Oct,D26,Central Delta,CED,Regular,Cyclotella,459.96,41916.1548
2018-10-16-D26-Regular,2018-10-16,Fall,Oct,D26,Central Delta,CED,Regular,Eucapsis,94751.76,34938.561599999994
2018-10-16-D26-Regular,2018-10-16,Fall,Oct,D26,Central Delta,CED,Regular,Plagioselmis,459.96,54436.265999999996
2018-10-16-D26-Surface,2018-10-16,Fall,Oct,D26,Central Delta,CED,Surface,Chlorella,1291.2,14835.888
2018-10-16-D26-Surface,2018-10-16,Fall,Oct,D26,Central Delta,CED,Surface,Cyclotella,403.5,29314.275
2018-10-16-D26-Surface,2018-10-16,Fall,Oct,D26,Central Delta,CED,Surface,Eucapsis,31150.2,11359.332
2018-10-16-D26-Surface,2018-10-16,Fall,Oct,D26,Central Delta,CED,Surface,Plagioselmis,484.20000000000005,105482.97
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Achnanthidium,176.91,10651.7511
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Chlorella,707.64,3432.0539999999996
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Chroococcus,1061.46,104208.83550000002
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Coccomyxa,2299.83,35670.3633
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Drepanochloris,176.91,681.1035
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Eucapsis,68641.08,25443.1962
2018-10-16-MD10A-Regular,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Regular,Plagioselmis,176.91,42976.7463
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Aphanizomenon,204.88,749905.8735999999
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Chlorella,6761.04,37726.603200000005
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Chroococcus,5326.88,124241.28080000001
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Cyclotella,409.76,27621.921599999998
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Eucapsis,69249.44,25814.88
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Gloeoactinium,204.88,2401.1936
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Monoraphidium,409.76,3028.1264
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Ochromonas,204.88,28273.44
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Plagioselmis,204.88,176762.2688
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Pseudanabaena,204.88,6687.2832
2018-10-16-MD10A-Surface,2018-10-16,Fall,Oct,MD10A,Southern Interior Delta,SID,Surface,Scenedesmus,204.88,15644.6368
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Achnanthidium,88.38,5239.1664
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Chlorella,5037.66,24432.650999999998
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Chroococcus,1237.32,16664.049
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Coccomyxa,353.52,4769.8686
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Cryptomonas,88.38,74043.8802
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Cyclotella,176.76,12189.369599999998
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Desmodesmus,88.38,18750.7008
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Eucapsis,27221.039999999997,9895.0248
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Lemmermannia,88.38,9375.3504
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Monoraphidium,176.76,6094.684799999999
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Nitzschia,88.38,10671.001199999999
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Plagioselmis,795.42,481313.061
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Skeletonema,441.9,14569.443
2018-10-16-P8-Regular,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Regular,Snowella,176.76,262.4886
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Chlamydomonas,250.41,53129.4897
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Chlorella,5258.61,25504.2585
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Chroococcus,2253.69,20676.3537
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Cryptomonas,250.41,106261.4835
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Cyclotella,500.82,79695.4866
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Eucapsis,93653.34,34526.5308
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Euglena,250.41,1623550.7637
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Kephyrion,250.41,14789.214600000001
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Nitzschia,250.41,31709.418299999998
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Plagioselmis,1252.05,312591.8112
2018-10-16-P8-Surface,2018-10-16,Fall,Oct,P8,Southern Interior Delta,SID,Surface,Skeletonema,500.82,17388.4704
2018-10-17-D10-Regular,2018-10-17,Fall,Oct,D10,Confluence,CON,Regular,Chlorella,346.72,1244.7248
2018-10-17-D10-Regular,2018-10-17,Fall,Oct,D10,Confluence,CON,Regular,Coccomyxa,7281.120000000001,152029.7856
2018-10-17-D10-Regular,2018-10-17,Fall,Oct,D10,Confluence,CON,Regular,Eucapsis,131060.16,47431.295999999995
2018-10-17-D10-Regular,2018-10-17,Fall,Oct,D10,Confluence,CON,Regular,Skeletonema,1040.16,33753.192
2018-10-17-D10-Regular,2018-10-17,Fall,Oct,D10,Confluence,CON,Regular,Snowella,346.72,468.07200000000006
2018-10-17-D10-Regular,2018-10-17,Fall,Oct,D10,Confluence,CON,Regular,Synechococcus,346.72,31880.904000000002
2018-10-17-D10-Surface,2018-10-17,Fall,Oct,D10,Confluence,CON,Surface,Chlorella,1802.92,6472.4828
2018-10-17-D10-Surface,2018-10-17,Fall,Oct,D10,Confluence,CON,Surface,Eucapsis,208687.99000000002,78859.7208
2018-10-17-D10-Surface,2018-10-17,Fall,Oct,D10,Confluence,CON,Surface,Plagioselmis,450.73,34413.235499999995
2018-10-17-D8-Regular,2018-10-17,Fall,Oct,D8,Grizzly.Suisun Bay,GSB,Regular,Chlorella,459.97,12198.404400000001
2018-10-17-D8-Regular,2018-10-17,Fall,Oct,D8,Grizzly.Suisun Bay,GSB,Regular,Coccomyxa,1839.88,30450.014000000003
2018-10-17-D8-Regular,2018-10-17,Fall,Oct,D8,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,194567.31,71700.1236
2018-10-17-D8-Regular,2018-10-17,Fall,Oct,D8,Grizzly.Suisun Bay,GSB,Regular,Plagioselmis,919.94,152986.02200000003
2018-10-17-D8-Surface,2018-10-17,Fall,Oct,D8,Grizzly.Suisun Bay,GSB,Surface,Chlorella,901.46,3236.2414
2018-10-17-D8-Surface,2018-10-17,Fall,Oct,D8,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,197419.74000000002,71557.8948
2018-10-17-EZ2-Surface,2018-10-17,Fall,Oct,EZ2,Low Salinity Zone,LSZ,Surface,Chlorella,1931.6999999999998,6934.803
2018-10-17-EZ2-Surface,2018-10-17,Fall,Oct,EZ2,Low Salinity Zone,LSZ,Surface,Eucapsis,265286.8,98053.092
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Coccomyxa,1878,41879.4
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Cocconeis,187.8,58366.36200000001
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Entomoneis,187.8,960504.9780000001
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Eucapsis,74744.40000000001,27246.023999999998
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Nitzschia,375.6,14415.528000000002
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Plagioselmis,375.6,70000.572
2018-10-17-EZ6-Regular,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Regular,Snowella,563.4000000000001,811.296
2018-10-17-EZ6-Surface,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Surface,Cyclotella,836.3,78035.15299999999
2018-10-17-EZ6-Surface,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Surface,Eucapsis,169768.9,62923.21199999999
2018-10-17-EZ6-Surface,2018-10-17,Fall,Oct,EZ6,Low Salinity Zone,LSZ,Surface,Ochromonas,418.15,141075.447
2018-10-18-D6-Regular,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Regular,Coccomyxa,7974.56,92106.16800000002
2018-10-18-D6-Regular,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Regular,Eucapsis,61022.72,22155.408
2018-10-18-D6-Regular,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Regular,Microcystis,173.36,4597.5072
2018-10-18-D6-Regular,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Regular,Plagioselmis,346.72,226474.0368
2018-10-18-D6-Surface,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Surface,Eucapsis,186602.22,68474.9016
2018-10-18-D6-Surface,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Surface,Plagioselmis,450.73,34413.235499999995
2018-10-18-D6-Surface,2018-10-18,Fall,Oct,D6,San Pablo Bay,SPB,Surface,Teleaulax,901.46,515265.5214
2018-10-18-D7-Regular,2018-10-18,Fall,Oct,D7,Grizzly.Suisun Bay,GSB,Regular,Chlorella,328.55,3775.0395000000003
2018-10-18-D7-Regular,2018-10-18,Fall,Oct,D7,Grizzly.Suisun Bay,GSB,Regular,Coccomyxa,3614.05,78027.3395
2018-10-18-D7-Regular,2018-10-18,Fall,Oct,D7,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,142262.15,52515.432
2018-10-18-D7-Surface,2018-10-18,Fall,Oct,D7,Grizzly.Suisun Bay,GSB,Surface,Chlorella,901.46,3236.2414
2018-10-18-D7-Surface,2018-10-18,Fall,Oct,D7,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,182996.38,66203.2224
2018-10-18-NZ032-Regular,2018-10-18,Fall,Oct,NZ032,Grizzly.Suisun Bay,GSB,Regular,Coccomyxa,862.44,18766.6944
2018-10-18-NZ032-Regular,2018-10-18,Fall,Oct,NZ032,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,117004.36,43259.9904
2018-10-18-NZ032-Surface,2018-10-18,Fall,Oct,NZ032,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,417375.98000000004,152527.032
2018-10-18-NZS42-Regular,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Regular,Chlorella,766.62,2752.1657999999998
2018-10-18-NZS42-Regular,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Regular,Coccomyxa,1533.24,40906.8432
2018-10-18-NZS42-Regular,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,174022.74,64373.0814
2018-10-18-NZS42-Surface,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Surface,Cryptomonas,643.9,387872.48199999996
2018-10-18-NZS42-Surface,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,267862.39999999997,98748.50399999999
2018-10-18-NZS42-Surface,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Surface,Plagioselmis,1287.8,425733.80199999997
2018-10-18-NZS42-Surface,2018-10-18,Fall,Oct,NZS42,Grizzly.Suisun Bay,GSB,Surface,Synedra,643.9,243696.833
2018-10-19-D41-Regular,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Regular,Chlorella,804.9,2454.9449999999997
2018-10-19-D41-Regular,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Regular,Coccomyxa,1609.8,17208.762
2018-10-19-D41-Regular,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Regular,Cyclotella,321.96,78326.4288
2018-10-19-D41-Regular,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Regular,Eucapsis,61816.31999999999,22311.827999999998
2018-10-19-D41-Regular,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Regular,Microcystis,321.96,12488.828399999999
2018-10-19-D41-Regular,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Regular,Plagioselmis,1931.7599999999998,421432.76159999997
2018-10-19-D41-Surface,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Surface,Chlorella,2299.7999999999997,21158.16
2018-10-19-D41-Surface,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Surface,Eucapsis,60254.759999999995,21967.689599999998
2018-10-19-D41-Surface,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Surface,Plagioselmis,1379.88,274390.6712
2018-10-19-D41-Surface,2018-10-19,Fall,Oct,D41,San Pablo Bay,SPB,Surface,Teleaulax,459.96,129727.1184
2018-10-19-D41A-Regular,2018-10-19,Fall,Oct,D41A,San Pablo Bay,SPB,Regular,Chlorella,328.55,8713.146
2018-10-19-D41A-Regular,2018-10-19,Fall,Oct,D41A,San Pablo Bay,SPB,Regular,Coccomyxa,2956.9500000000003,60706.18350000001
2018-10-19-D41A-Regular,2018-10-19,Fall,Oct,D41A,San Pablo Bay,SPB,Regular,Eucapsis,138648.1,51155.235
2018-10-19-D41A-Regular,2018-10-19,Fall,Oct,D41A,San Pablo Bay,SPB,Regular,Plagioselmis,985.6500000000001,197819.95500000002
2018-10-19-D41A-Surface,2018-10-19,Fall,Oct,D41A,San Pablo Bay,SPB,Surface,Eucapsis,234378.56,85998.90239999999
2018-10-19-D41A-Surface,2018-10-19,Fall,Oct,D41A,San Pablo Bay,SPB,Surface,Plagioselmis,563.41,89655.43329999999
2018-10-19-NZ002-Regular,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Regular,Chlorella,676.11,1737.6027
2018-10-19-NZ002-Regular,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Regular,Coccomyxa,1802.96,15271.071200000002
2018-10-19-NZ002-Regular,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Regular,Eucapsis,93077.81,33589.1448
2018-10-19-NZ002-Regular,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Regular,Hemiselmis,225.37,3423.3703
2018-10-19-NZ002-Regular,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Regular,Microcystis,225.37,11484.8552
2018-10-19-NZ002-Regular,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Regular,Plagioselmis,1802.96,664900.0962
2018-10-19-NZ002-Surface,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Surface,Chlorella,1839.8999999999999,16927.079999999998
2018-10-19-NZ002-Surface,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Surface,Chrysochromulina,306.65,10110.250499999998
2018-10-19-NZ002-Surface,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Surface,Cryptomonas,306.65,138038.49749999997
2018-10-19-NZ002-Surface,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Surface,Cyclotella,919.9499999999999,64184.911499999995
2018-10-19-NZ002-Surface,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Surface,Eucapsis,120513.45,44599.176
2018-10-19-NZ002-Surface,2018-10-19,Fall,Oct,NZ002,San Pablo Bay,SPB,Surface,Plagioselmis,1226.6,319253.31499999994
2018-10-19-NZ004-Regular,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Regular,Chlorella,500.82,575.943
2018-10-19-NZ004-Regular,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Regular,Coccomyxa,3505.74,40421.182199999996
2018-10-19-NZ004-Regular,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Regular,Eucapsis,95155.8,34616.678400000004
2018-10-19-NZ004-Regular,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Regular,Microcystis,751.23,31273.704900000004
2018-10-19-NZ004-Regular,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Regular,Plagioselmis,250.41,39847.7433
2018-10-19-NZ004-Surface,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Surface,Eucapsis,138688,50676.5952
2018-10-19-NZ004-Surface,2018-10-19,Fall,Oct,NZ004,San Pablo Bay,SPB,Surface,Plagioselmis,1040.16,144006.68480000002
2018-10-19-NZ325-Regular,2018-10-19,Fall,Oct,NZ325,San Pablo Bay,SPB,Regular,Chlorella,1314.6000000000001,1893.0240000000001
