MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,7/19/2022,10:50,D19 Microcystis Tow,D19,3,65,0.5,0.77%,0.0683,314.159,0.9562,14,657.10,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,2.5,c,BSA.07-08,CB,,sphere,8.18,,,,,,,,,
Phyto,7/19/2022,10:50,D19 Microcystis Tow,D19,3,65,0.5,0.77%,0.0683,314.159,0.9562,14,657.10,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,7,264,9.3,f,BSA.07-08,CB,,sphere,192.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,10:50,D19 Microcystis Tow,D19,3,65,0.5,0.77%,0.0683,314.159,0.9562,14,657.10,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,294,588,0.8,c,BSA.07-08,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/19/2022,10:50,D19 Microcystis Tow,D19,3,65,0.5,0.77%,0.0683,314.159,0.9562,14,657.10,1477,Microcystis sp.,Soft Body,Microcystis,sp.,,53,854,5.6,c,BSA.07-08,CB,,sphere,57.91,,,,,,,,,
Phyto,7/19/2022,10:50,D19 Microcystis Tow,D19,3,65,0.5,0.77%,0.0683,314.159,0.9562,14,657.10,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,3,55,2,f,BSA.07-08,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,10:50,D19 Microcystis Tow,D19,3,65,0.5,0.77%,0.0683,314.159,0.9562,14,657.10,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,3,52,1.9,i,BSA.07-08,CB,,cylinder,5.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,9.5,i,BSA.07-09,AB,Moderate sediment and detritus.,cylinder,141.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,273,Diatoma sp.,Diatom,Diatoma,sp.,,1,1,33.1,i,BSA.07-09,AB,Moderate sediment and detritus.,elliptic prism,1692.90,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,481,Gyrosigma sp.,Diatom,Gyrosigma,sp.,,3,3,144.5,i,BSA.07-09,AB,Moderate sediment and detritus.,prism on parallelogram,1558.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,17.1,i,BSA.07-09,AB,Moderate sediment and detritus.,prism on parallelogram,86.80,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,8,8,9.5,i,BSA.07-09,AB,Moderate sediment and detritus.,cone + half sphere,269.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,11,11,5.6,i,BSA.07-09,AB,Moderate sediment and detritus.,cone + half sphere,64.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/21/2022,10:30,E0722B1473,D4,3,61,3,4.92%,0.0683,314.159,2.6637,39,39.31,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,375,750,0.8,c,BSA.07-09,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,87,i,BSA.07-10,BB,,box,1371.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,27.8,i,BSA.07-10,BB,,elliptic prism,1020.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1892,Cylindrotheca closterium,Diatom,Cylindrotheca,closterium,,1,1,0,i,BSA.07-10,BB,,prolate spheroid + 2 cylinders,90.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14.8,i,BSA.07-10,BB,,prism on parallelogram,64.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,893,cf. Sellaphora sp.,Diatom,Sellaphora,sp.,,1,1,15.8,i,BSA.07-10,BB,,box,734.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,4,4,8.3,i,BSA.07-10,BB,,cylinder + 2 half spheres,120.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2.3,i,BSA.07-10,BB,,sphere,6.37,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,16.7,i,BSA.07-10,BB,,prolate spheroid,945.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,3,3,14.8,i,BSA.07-10,BB,,cone + half sphere,987.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,10.2,i,BSA.07-10,BB,,cone + half sphere,267.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,2.8,c,BSA.07-10,BB,,sphere,11.49,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,394,788,0.8,c,BSA.07-10,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,5.6,i,BSA.07-10,BB,,sphere,91.95,,,,,,,,,
Phyto,7/19/2022,8:20,E0722B1411,D12,3,61,3,4.92%,0.0697,314.159,1.9516,28,53.66,1545,Euglena sp.,Soft Body,Euglena,sp.,,1,1,35.2,i,BSA.07-10,BB,,half ellipsoid + cone on an elliptic base,613.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
