Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
D15,9/21/1988,16:30,,,,73.4,27,248,,,1.08,3.38,,,0.02,,,,,0.27,,,0.3,,,,18,,,,0.4,,48,,,2500,8.4,,20,12,7.9,,,,,,
D15,10/5/1988,16:25,,,,73.4,21,270,,,1.54,3.55,,,0.02,,,,647,0.29,,,0.2,,0.1,0.15,18,,,,0.4,,54,,,2460,8.4,,20,10,8.1,,,,,,
D15,10/20/1988,15:20,,,,82.4,,,,,1.7,2.24,,,0.04,,,,,0.34,,,0.1,,,,17,,,,0.2,,64,,,2970,9.4,,20,7,7.8,,,,,,
D15,11/3/1988,15:05,,,,68,14,225,,,0.93,2.43,,,0.02,,,,696,0.43,,,0.2,,0.05,0.14,17,,,,0.3,,72,,,2440,8.6,,17,7,8,,,,,,
D15,12/7/1988,17:40,,,,57.2,39,,,,0.62,4.13,,,0.1,,,,728,0.49,,,0.3,,0.12,0.16,17,,,,0.6,,,,,2650,9.7,,12,12,7.8,,,,,,
D15,1/19/1989,18:10,,,,48.2,,,,,0.93,0.46,,,0.15,,,,421,0.48,,,0.3,,0.11,0.13,22,,,,0.5,,,,,1740,10.8,,8,9,7.8,,,,,,
D15,2/3/1989,16:15,,,,41,9,203,,,1.39,0.88,,,0.12,,,,1410,0.47,,,0.4,,0.1,0.15,19,,,,0.6,,62,,,4840,10.1,,10,10,7.8,,,,,,
D15,3/30/1989,10:30,,,,62.6,8,315,,,,,,,0.04,,,,33,0.28,,,0.4,,0.06,0.1,16,,,,0.4,,60,,,246,9.3,,15,14,7.5,,,,,,
D15,4/14/1989,12:50,,,,66.2,26,270,,,2.78,1.74,,,0.03,,,,25,0.25,,,0.2,,0.07,0.11,17,,,,0.3,,70,,,238,8.7,,18,11,7.6,,,,,,
D15,5/12/1989,11:35,,,,69.8,8,270,,,10.5,6.41,,,ND,,,,48,0.22,,,0.1,,0.07,0.09,14,,,,0.6,,66,,,316,8.9,,19,14,7.8,,,,,,
D15,5/31/1989,15:40,,,,84.2,,,,,10.5,6.75,,,ND,,,,,0.21,,,ND,,,,15,,,,0.3,,42,,,369,9.2,,20,21,7.9,,,,,,
D15,6/12/1989,13:25,,,,77,14,270,,,15.28,7.29,,,ND,,,,50,0.2,,,ND,,0.07,0.11,14,,,,0.3,,38,,,330,8.8,,20,20,7.8,,,,,,
D15,6/30/1989,17:00,,,,71.6,17,315,,,2.78,3.36,,,0.03,,,,,0.25,,,ND,,,,14,,,,0.4,,32,,,529,8.2,,20,27,,,,,,,
D15,7/13/1989,15:00,,,,82.4,11,248,,,2.32,3.36,,,0.02,,,,183,0.2,,,ND,,0.09,0.12,15,,,,0.1,,42,,,812,8,,22,15,7.7,,,,,,
D15,7/27/1989,15:15,,,,89.6,11,270,,,4.94,1.89,,,0.02,,,,,0.23,,,0.2,,,,15,,,,0.3,,44,,,759,6.7,,24,12,7.8,,,,,,
D15,8/11/1989,15:00,,,,75.2,14,248,,,3.71,1.97,,,0.05,,,,149,0.02,,,0.1,,0.05,0.13,15,,,,0.3,,58,,,676,7.9,,22,11,7.9,,,,,,
D15,8/24/1989,13:30,,,,82.4,4,225,,,4.63,2.08,,,0.02,,,,,0.11,,,ND,,,,14,,,,0.1,,64,,,705,,,22,10,8,,,,,,
D15,9/8/1989,14:25,,,,73.4,29,270,,,3.71,1.62,,,0.03,,,,410,0.22,,,0.2,,0.07,0.12,16,,,,0.3,,70,,,1600,8.3,,21,8,7.6,,,,,,
D15,9/22/1989,13:25,,,,80.6,1,45,,,3.86,0.19,,,0.03,,,,,0.18,,,0.1,,,,14,,,,0.4,,72,,,1000,7.8,,21,7,7.8,,,,,,
D15,10/6/1989,11:55,,,,75.2,6,45,,,3.71,1.74,,,0.02,,,,246,0.31,,,0.2,,0.1,0.13,14,,,,0.4,,66,,,1050,8.1,,20,8,7.8,,,,,,
D15,10/20/1989,12:20,,,,66.2,17,270,,,2.32,1.74,,,0.04,,,,,0.38,,,0.2,,,,14,,,,0.3,,64,,,2710,8,,20,10,7.7,,,,,,
D15,11/9/1989,16:15,,,,66.2,,,,,1.08,1.58,,,0.05,,,,512,0.33,,,0.1,,0.08,0.09,15,,,,0.4,,78,,,2000,8.6,,16,9,7.4,,,,,,
D15,12/7/1989,14:55,,,,50,,,,,1.08,1.24,,,0.11,,,,600,0.35,,,0.3,,0.08,0.08,17,,,,0.5,,124,,,2270,9.3,,13,5,7.6,,,,,,
D15,1/19/1990,14:55,,,,44.6,,,,,0.46,1.16,,,0.12,,,,375,0.27,,,0.2,,0.08,0.11,17,,,,0.4,,46,,,1330,9.9,,10,19,7.6,,,,,,
D15,2/21/1990,13:50,,,,66.2,2,23,,,0.77,1.89,,,0.13,,,,526,0.47,,,0.3,,0.1,0.14,18,,,,0.5,,70,,,2000,10.6,,9,11,7.6,,,,,,
D15,3/22/1990,14:25,,,,69.8,17,315,,,1.08,0.08,,,0.08,,,,541,0.5,,,0.3,,0.1,0.14,18,,,,0.4,,62,,,2050,9.2,,15,10,7.8,,,,,,
D15,4/5/1990,14:45,,,,62.6,27,270,,,2.47,1.24,,,0.06,,,,1100,0.37,,,0.2,,0.05,0.14,17,,,,0.4,,64,,,3900,9,,16,11,7.4,,,,,,
D15,4/19/1990,12:30,,,,64.4,10,270,,,2.16,2.7,,,0.05,,,,,0.45,,,0.3,,,,16,,,,0.4,,76,,,2690,8.7,,18,9,7.8,,,,,,
D15,5/4/1990,14:35,,,,89.6,,,,,6.58,3.29,,,ND,,,,403,0.37,,,0.2,,0.05,0.14,15,,,,0.3,,68,,,1630,8.9,,22,8,7.8,,,,,,
D15,5/31/1990,13:55,,,,64.4,21,270,,,1.24,4.21,,,0.08,,,,,0.37,,,0.2,,,,16,,,,0.4,,40,,,552,8.5,,19,21,7.8,,,,,,
D15,6/19/1990,17:45,,,,89.6,9,270,,,2.47,1.93,,,0.02,,,,76,0.52,,,0.2,,0.1,0.15,17,,,,0.4,,60,,,440,8.1,,22,17,7.9,,,,,,
D15,6/29/1990,12:20,,,,77,17,248,,,2.47,2.62,,,0.01,,,,,0.49,,,0.2,,,,18,,,,0.3,,44,,,616,8.2,,23,17,7.9,,,,,,
D15,7/17/1990,15:55,,,,80.6,23,270,,,4.32,1.47,,,0.02,,,,257,0.43,,,0.2,,0.08,0.14,16,,,,0.3,,50,,,1030,8,,23,14,7.9,,,,,,
D15,7/31/1990,14:10,,,,80.6,7,270,,,4.35,2.92,,,0.02,,,,,0.33,,,0.1,,,,15,,,,0.2,,40,,,1390,8.1,,23,14,7.8,,,,,,
D15,8/24/1990,8:55,,,,69.8,14,225,,,2.95,2.67,,,0.01,,,,292,0.25,,,0.1,,0.09,0.13,15,,,,0.3,,64,,,1200,7.8,,23,12,7.7,,,,,,
D15,8/29/1990,15:55,,,,80.6,29,270,,,3.32,2,,,ND,,,,,0.24,,,0.1,,,,15,,,,0.3,,68,,,1140,9.1,,23,9,7.9,,,,,,
D15,9/12/1990,14:10,,,,82.4,17,225,,,6.56,2.1,,,,,,,292,0.22,,,,,,0.13,17,,,,0.2,,48,,,1180,8.3,,22,12,7.9,,,,,,
D15,9/28/1990,15:15,,,,82.4,11,225,,,1.3,0.94,,,ND,,,,,0.27,,,0.2,,,,17,,,,0.3,,76,,,1990,8,,22,8,7.8,,,,,,
D15,10/25/1990,13:10,,,,77,9,248,,,2.89,,,,0.03,,,,655,0.42,,,0.2,,0.11,0.14,17,,,,0.3,,106,,,2470,8.2,,19,5,7.8,,,,,,
D15,11/9/1990,13:20,,,,69.8,,,,,1.11,1.93,,,0.04,,,,657,0.48,,,0.3,,0.11,,16,,,,0.3,,84,,,2500,9.1,,14,7,7.8,,,,,,
D15,12/12/1990,15:45,,,,53.6,,,,,2.02,,,,0.08,,,,1300,0.45,,,ND,,0.11,0.14,17,,,,0.3,,132,,,4380,9,,11,7,7.5,,,,,,
D15,1/10/1991,15:15,,,,53.6,,,,,1.02,0.94,,,0.14,,,,876,0.43,,,0.3,,0.1,0.14,18,,,,0.6,,110,,,3190,10.6,,7,6,7.6,,,,,,
D15,2/22/1991,14:05,,,,60.8,11,225,,,1.37,1.98,,,0.15,,,,818,0.6,,,0.3,,0.12,0.14,18,,,,0.5,,80,,,2960,9.5,,14,11,7.7,,,,,,
D15,3/8/1991,13:35,,,,59,,,,,1.31,3.27,,,0.15,,,,274,0.6,,,0.3,,0.11,0.17,11,,,,0.7,,42,,,1230,8.4,,13,26,7.8,,,,,,
D15,3/26/1991,16:00,,,,42.8,4,135,,,0.9,1.91,,,0.09,,,,,0.74,,,0.4,,,,17,,,,0.7,,38,,,709,9.6,,12,28,7.7,,,,,,
D15,4/10/1991,15:10,,,,59,24,315,,,2.25,0.02,,,0.1,,,,57,0.7,,,0.5,,0.09,0.15,17,,,,0.7,,42,,,380,8.9,,15,22,7.7,,,,,,
D15,4/24/1991,15:55,,,,59,13,203,,,2.44,1.06,,,0.06,,,,,0.61,,,0.4,,,,16,,,,0.6,,50,,,670,9.1,,16,19,7.8,,,,,,
D15,5/8/1991,15:00,,,,64.4,35,270,,,4.96,2.32,,,0.03,,,,196,0.62,,,0.3,,0.12,0.16,18,,,,0.4,,46,,,899,9.2,,18,17,8.1,,,,,,
D15,5/22/1991,14:05,,,,73.4,9,270,,,15.04,4.81,,,ND,,,,,0.5,,,0.2,,,,15,,,,0.4,,44,,,1410,9.3,,18,16,7.8,,,,,,
D15,6/7/1991,16:30,,,,82.4,17,293,,,3.63,2.73,,,0.06,,,,179,0.48,,,0.3,,0.14,0.17,14,,,,0.4,,42,,,830,8.7,,20,19,8,,,,,,
D15,6/21/1991,15:25,,,,71.6,29,180,,,3.13,2.18,,,0.03,,,,,0.42,,,0.4,,,,15,,,,0.6,,48,,,1120,8.3,,21,17,8.4,,,,,,
D15,7/9/1991,17:15,,,,73.4,17,225,,,2.22,1.93,,,0.02,,,,335,0.45,,,0.2,,0.12,0.19,16,,,,0.3,,48,,,1300,8.3,,22,15,7.8,,,,,,
D15,8/5/1991,12:05,,,,73.4,5,248,,,2.16,1.42,,,0.07,,,,190,0.41,,,0.1,,0.16,0.17,16,,,,0.3,,54,,,924,8.3,,22,13,7.9,,,,,,
D15,8/23/1991,17:15,,,,82.4,4,270,,,2.69,1.84,,,0.02,,,,,0.34,,,0.4,,,,16,,,,0.5,,64,,,1230,7.6,,22,16,8,,,,,,
D15,9/5/1991,16:35,,,,80.6,23,225,,,6.62,3.94,,,ND,,,,618,0.29,,,0.2,,0.11,0.16,14,,,,0.3,,42,,,2310,8.4,,23,17,8,,,,,,
D15,9/19/1991,16:25,,,,73.4,25,248,,,1.9,1.85,,,0.04,,,,,0.31,,,0.2,,,,12,,,,0.4,,48,,,2430,8.3,,21,13,8,,,,,,
D15,10/3/1991,16:15,,,,87.8,4,180,,,2.49,1.98,,,0.04,,,,263,0.33,,,0.2,,0.14,0.15,15,,,,0.3,,56,,,1150,8.1,,22,11,7.8,,,,,,
D15,10/17/1991,14:05,,,,71.6,23,270,,,1.74,1.65,,,0.02,,,,,0.37,,,0.1,,,,14,,,,0.3,,56,,,2950,8,,21,12,7.8,,,,,,
D15,11/20/1991,17:55,,,,50,4,,,,0.82,0.66,,,0.07,,,,776,0.49,,,0.2,,0.12,0.14,14,,,,0.4,,,,,2410,9.7,,14,6,7.8,,,,,,
D15,12/13/1991,13:55,,,,37.4,11,90,,,0.77,0.71,,,0.12,,,,619,0.45,,,0.2,,0.12,0.14,17,,,,0.4,,124,,,2340,10.7,,10,5,7.8,,,,,,
D15,1/16/1992,17:15,,,,37.4,,,,,,,,,0.16,,,,398,0.5,,,0.3,,0.1,0.14,19,,,,0.5,,80,,,1630,10.7,,8,6,7.8,,,,,,
D15,2/28/1992,16:10,,,,62.6,,,,,0.99,0.89,,,0.14,,,,54,0.93,,,0.6,,0.09,0.15,18,,,,0.8,,44,,,365,8.4,,14,24,7.4,,,,,,
D15,3/13/1992,14:15,,,,62.6,11,248,,,2.35,0.27,,,0.1,,,,62,0.76,,,0.4,,0.09,0.15,17,,,,0.6,,60,,,414,8.5,,16,15,7.5,,,,,,
D15,3/27/1992,14:00,,,,69.8,15,270,,,1.51,0.22,,,0.08,,,,,0.55,,,0.3,,,,19,,,,0.6,,52,,,431,8.3,,17,15,7.6,,,,,,
D15,4/10/1992,12:50,,,,69.8,6,270,,,3.21,1.51,,,0.06,,,,88,0.51,,,0.3,,0.09,0.14,17,,,,0.5,,70,,,539,9.1,,18,15,7.8,,,,,,
D15,4/24/1992,13:15,,,,71.6,,,,,16.21,5.6,,,0.02,,,,,0.46,,,0.2,,,,17,,,,0.4,,54,,,315,9.8,,19,18,8.1,,,,,,
D15,5/12/1992,16:35,,,,66.2,31,248,,,18.74,10.48,,,0.01,,,,240,0.24,,,0.4,,0.08,0.15,11,,,,0.5,,38,,,1050,8.9,,21,20,8.2,,,,,,
D15,5/27/1992,16:35,,,,78.8,21,248,,,5.6,4.9,,,0.03,,,,,0.36,,,0.2,,,,8.4,,,,0.4,,52,,,1390,8.3,,22,18,7.9,,,,,,
D15,6/10/1992,15:35,,,,75.2,27,225,,,3.44,2.67,,,0.04,,,,399,0.39,,,0.3,,0.12,0.16,10,,,,0.4,,42,,,1590,8,,22,14,8,,,,,,
D15,6/24/1992,15:15,,,,80.6,17,225,,,3.2,3.4,,,0.04,,,,,0.4,,,0.2,,,,11,,,,0.4,,60,,,1060,,,23,13,8,,,,,,
D15,7/9/1992,16:00,,,,87.8,19,270,,,2.25,2.99,,,0.02,,,,437,0.43,,,0.3,,0.1,0.14,12,,,,0.4,,60,,,1570,8.3,,23,10,7.9,,,,,,
D15,7/24/1992,14:25,,,,89.6,6,270,,,3.18,1.49,,,0.01,,,,,0.42,,,0.2,,,,12,,,,0.3,,70,,,1690,8.4,,24,9,7.9,,,,,,
D15,8/7/1992,15:05,,,,82.4,21,225,,,2.76,0.93,,,0.02,,,,495,0.35,,,0.3,,0.11,0.14,13,,,,0.3,,60,,,1800,8.2,,23,11,7.9,,,,,,
D15,8/26/1992,18:40,,,,75.2,17,248,,,2.32,2.32,,,0.01,,,,,0.29,,,0.2,,,,13,,,,0.3,,60,,,2050,8,,23,11,7.9,,,,,,
D15,9/8/1992,18:10,,,,78.8,11,293,,,2.27,2.07,,,0.02,,,,443,0.31,,,ND,,0.1,0.13,14,,,,0.2,,64,,,1590,8.5,,22,10,7.9,,,,,,
D15,9/22/1992,16:10,,,,69.8,23,248,,,2.01,3.15,,,0.02,,,,,0.33,,,0.2,,,,14,,,,0.3,,70,,,2220,8.4,,21,10,8,,,,,,
D15,10/6/1992,15:30,,,,80.6,7,,,,2.64,1.02,,,0.03,,,,562,0.36,,,0.2,,0.11,0.13,15,,,,0.2,,76,,,2150,8.2,,21,7,7.8,,,,,,
D15,10/21/1992,15:55,,,,69.8,17,225,,,1.3,1.95,,,0.02,,,,,0.4,,,0.1,,,,16,,,,0.2,,68,,,2350,8.5,,20,8,7.9,,,,,,
D15,11/4/1992,15:30,,,,73.4,7,315,,,1.54,1.7,,,0.06,,,,457,0.27,,,0.4,,0.11,0.13,16,,,,0.5,,80,,,1760,8.6,,18,7,7.8,,,,,,
D15,12/4/1992,13:50,,,,62.6,30,,,,0.4,0.99,,,0.08,,,,1380,0.57,,,0.2,,0.12,0.14,16,,,,0.3,,124,,,4890,10.2,,12,5,7.6,,,,,,
D15,1/20/1993,15:40,,,,,35,135,,,0.45,1.75,,,0.15,,,,31,1.2,,,0.6,,0.08,0.19,16,,,,0.9,,18,,,250,10.2,,9,56,7.8,,,,,,
D15,2/17/1993,14:20,,,,51.8,48,135,,,0.29,0.75,,,0.11,,,,26,0.87,,,0.3,,0.07,0.13,17,,,,0.6,,34,,,269,9.8,,12,29,8.2,,,,,,
D15,3/17/1993,15:30,,,,62.6,29,135,,,,,,,0.08,,,,25,0.68,,,0.5,,0.08,0.18,16,,,,0.7,,48,,,286,9,,16,14,7.8,,,,,,
D15,4/15/1993,13:30,,,,69.8,24,315,,,2.41,1.69,,,0.02,,,,11,0.25,,,0.2,,0.03,0.04,17,,,,0.3,,80,,,177,10,,16,9,7.9,,,,,,
D15,5/18/1993,18:05,,,,71.6,29,315,,,43.95,7.33,,,ND,,,,16,0.06,,,0.2,,0.01,0.08,8.2,,,,0.6,,54,,,191,11.5,,20,13,8.6,,,,,,
D15,6/15/1993,17:25,,,,75.2,27,293,,,24.39,4.73,,,ND,,,,8,0.05,,,0.2,,0.02,0.08,7.4,,,,0.4,,60,,,142,10.3,,21,12,8.1,,,,,,
D15,7/14/1993,15:20,,,,78.8,27,225,,,6.16,3.43,,,0.02,,,,21,0.17,,,0.1,,0.05,0.08,10,,,,0.2,,40,,,188,8.6,,22,15,8,,,,,,
D15,7/28/1993,15:45,,,,71.6,24,225,,,,,,,0.02,,,,,0.18,,,0.1,,,,12,,,,0.3,,56,,,293,8.3,,22,18,,,,,,,
D15,8/11/1993,14:15,,,,77,8,225,,,4.82,2.28,,,0.01,,,,30,0.18,,,ND,,0.05,0.05,14,,,,0.2,,68,,,219,9,,22,12,7.9,,,,,,
D15,9/10/1993,14:05,,,,82.4,20,270,,,3.21,1.54,,,0.02,,,,81,0.21,,,ND,,0.04,0.06,17,,,,0.2,,60,,,421,8.2,,23,10,8,,,,,,
D15,10/12/1993,17:00,,,,69.8,7,225,,,0.97,2.7,,,0.04,,,,233,0.3,,,0.1,,0.06,0.08,17,,,,0.3,,64,,,1020,8.7,,19,10,7.8,,,,,,
D15,11/10/1993,15:05,,,,66.2,4,90,,,0.99,0.8,,,0.05,,,,684,0.35,,,0.2,,0.06,0.08,17,,,,0.4,,100,,,1350,8.9,,17,5,7.5,,,,,,
D15,12/8/1993,14:00,,,,55.4,40,135,,,0.65,1.09,,,0.12,,,,868,0.36,,,0.2,,0.06,0.06,16,,,,0.4,,88,,,3330,9.9,,12,5,7.6,,,,,,
D15,1/7/1994,16:00,,,,44.6,,,,,0.46,1.02,,,0.13,,,,80,0.33,,,0.2,,0.06,0.08,18,,,,0.4,,100,,,461,10.6,,9,7,7.6,,,,,,
D15,2/7/1994,16:55,,,,48.2,8,135,,,1.05,1.32,,,0.11,,,,182,0.5,,,0.2,,0.07,0.07,19,,,,0.4,,80,,,840,9.9,,11,7,7.4,,,,,,
D15,3/8/1994,16:30,,,,68,4,270,,,1.25,1.56,,,0.08,,,,36,0.59,,,0.3,,0.06,0.1,19,,,,0.5,,80,,,318,9.6,,16,13,7.5,,,,,,
D15,4/4/1994,11:00,,,,69.8,23,338,,,2.02,1.09,,,0.04,,,,51,0.56,,,0.3,,0.07,0.1,18,,,,0.4,,80,,,380,9.4,,16,7,7.7,,,,,,
D15,5/6/1994,15:20,,,,62.6,4,,,,2.52,1.91,,,0.04,,,,72,0.5,,,0.2,,0.06,0.11,15,,,,0.3,,85,,,454,8.9,,18,10,,,,,,,
D15,6/20/1994,17:05,,,,69.8,23,225,,,2.11,2.67,,,0.06,,,,184,0.37,,,0.2,,0.08,0.14,8.7,,,,0.4,,40,,,918,7.2,,22,30,,,,,,,
D15,6/29/1994,9:30,,,,73.4,17,270,,,,,,,0.05,,,,,0.47,,,0.2,,,,11,,,,0.4,,50,,,1390,7.5,,22,17,,,,,,,
D15,7/19/1994,16:10,,,,71.6,29,225,,,2.11,1.36,,,0.03,,,,447,0.37,,,ND,,0.08,0.12,14,,,,0.2,,48,,,1560,8.2,,22,18,7.7,,,,,,
D15,7/29/1994,12:15,,,,75.2,17,248,,,2.16,1.08,,,0.02,,,,,0.29,,,0.1,,,,16,,,,0.2,,80,,,1050,8.3,,22,7,8.2,,,,,,
D15,8/17/1994,16:30,,,,86,25,270,,,,,,,0.01,,,,546,0.22,,,ND,,0.08,0.08,15,,,,0.2,,80,,,2061,8.2,,24,8,7.9,,,,,,
D15,9/14/1994,15:00,,,,78.8,8,225,,,1.96,0.97,,,0.03,,,,546,0.15,,,0.2,,0.07,0.1,17,,,,0.3,,80,,,2050,8.4,,22,7,7.6,,,,,,
D15,9/28/1994,14:20,,,,71.6,4,270,,,2.28,0.61,,,0.04,,,,,0.19,,,0.2,,,,18,,,,0.2,,92,,,917,8.8,,22,7,7.9,,,,,,
D15,10/27/1994,13:20,,,,68,17,225,,,0.8,0.24,,,0.06,,,,514,0.3,,,0.1,,0.08,0.08,17,,,,0.2,,84,,,1645,9.6,,18,5,7.7,,,,,,
D15,11/30/1994,17:00,,,,51.8,,,,,0.39,0.76,,,0.12,,,,700,0.45,,,0.2,,0.09,0.12,18,,,,0.4,,100,,,2730,10.7,,11,,7.2,,,,,,
D15,12/15/1994,17:30,,,,48.2,,,,,0.29,1.34,,,0.16,,,,267,0.56,,,0.5,,0.08,0.14,19,,,,0.8,,,,,1160,10.4,,10,9,7.2,,,,,,
D15,1/24/1995,10:38,,,,51.8,23,,,,0.15,1.06,,,0.08,,,,15,0.57,,,0.4,,0.06,0.17,16,,,,0.6,,20,,,174,10.3,,11,68,7.3,,,,,,
D15,2/7/1995,11:10,,,,53.6,6,135,,,0.2,0.24,,,0.1,,,,12,0.61,,,0.4,,0.09,0.15,17,,,,0.6,,40,,,173,9.6,,12,30,,,,,,,
D15,3/23/1995,9:55,,,,50,18,135,,,0.29,0.93,,,0.12,,,,24,0.69,,,0.4,,0.1,0.13,15,,,,0.5,,38,,,242,10,,12,22,7,,,,,,
D15,4/20/1995,10:45,,,,57.2,25,270,,,1.78,1.19,,,0.06,,,,13,0.21,,,0.2,,0.05,0.1,14,,,,0.3,,46,,,168,9.7,,14,13,6.4,,,,,,
D15,5/8/1995,10:15,,,,59,12,225,,,0.82,1.28,,,0.04,,,,9,0.18,,,0.2,,0.05,0.08,13,,,,0.2,,68,,,130,10.1,,16,9,7,,,,,,
D15,6/19/1995,9:20,,,,62.6,14,270,,,1.19,1.05,,,0.04,,,,8,0.16,,,ND,,0.04,0.08,12,,,,0.2,,64,,,118,9.4,,19,21,7.1,,,,,,
D15,7/3/1995,8:05,,,,60.8,25,270,,,2.78,2.44,,,0.01,,,,7,0.14,,,ND,,0.04,0.08,14,,,,0.2,,64,,,113,8.3,,20,9,7.5,,,,,,
D15,8/16/1995,9:05,,,,77,18,225,,,3.24,3.08,,,0.01,,,,17,0.17,,,ND,,0.04,0.08,14,,,,0.2,,60,,,158,7.8,,23,12,7.5,,,,,,
D15,9/14/1995,9:00,,,,71.6,18,270,,,2.5,1.57,,,0.02,,,,7,0.16,,,0.1,,0.04,0.07,16,,,,0.2,,84,,,140,8.5,,21,7,7.7,,,,,,
D15,10/13/1995,8:35,,,,62.6,4,315,,,1.47,0.76,,,0.03,,,,8,0.25,,,ND,,0.04,0.07,15,,,,0.2,,106,,,156,9,,18,6,7.4,,,,,,
D15,11/13/1995,9:50,,,,64.4,,,,,1.39,0.71,,,0.02,,,,44,0.36,,,,,0.04,0.11,15,,,,0.3,,100,,,273,9.3,,16,6,7.4,,,,,,
D15,12/15/1995,10:45,,,,51.8,7,135,,,0.74,1.27,,,0.08,,,,26,0.42,,,0.2,,0.05,0.09,17,,,,0.5,,52,,,225,9.7,,14,11,7.6,,,,,,
D16,1/7/1975,16:00,,,,55.4,1,,,,1.11,0.6,,0.09,,,,12,,,,,0.2,0.2,0.07,0.1,17.6,,,,0.3,,53,,1.54,185,11.3,,7,13,7.6,,,,,,
D16,2/5/1975,15:00,,,,53.6,4,,,,1.98,1.36,,0.09,,,,14,,,,,0.3,0.4,0.07,0.12,19.2,,,,0.5,,41,,1.31,193,11,,8,21,7.3,,,,,,
D16,3/19/1975,11:00,,,,55.4,12,,,,1.42,1.08,,0.03,,,,17,,0.36,,,0.3,0.3,0.07,0.09,18,,,,0.3,,23,,0.95,218,9.7,,11,48,7.6,,,,,,
D16,4/2/1975,12:00,,,,60.8,8,,,,1.36,0.91,,0.01,,,,10,,0.26,,,0.2,0.3,0.05,0.12,16,,,,0.3,,18,,0.79,153,10.2,,11,56,7.7,,,,,,
D16,4/22/1975,17:00,,,,53.6,10,,,,3.09,1.43,,,,,,9,,0.24,,,0.1,0.2,0.05,0.12,16,,,,0.2,,46,,1.64,162,10,,14,18,7.9,,,,,,
D16,5/7/1975,17:00,,,,68,12,,,,6.79,3.16,,0.01,,,,6,,0.14,,,0.1,0.2,0.05,0.07,15,,,,0.2,,48,,1.77,134,9.9,,15,14,7.8,,,,,,
D16,5/21/1975,16:00,,,,73.4,10,,,,8.03,4.01,,,,,,9,,0.09,,,0.2,0.2,0.04,0.07,14,,,,0.2,,43,,1.51,132,9,,17,16,7.9,,,,,,
D16,6/4/1975,15:00,,,,93.2,5,,,,,,,,,,,11,,0.15,,,0.2,0.2,0.05,0.08,13,,,,0.2,,51,,1.64,156,8.5,,21,14,7.8,,,,,,
D16,6/18/1975,15:00,,,,75.2,9,,,,5.56,4.28,,,,,,11,,0.18,,,0.1,0.2,0.05,0.08,14,,,,0.2,,36,,1.61,139,8.4,,20,17,7.4,,,,,,
D16,7/2/1975,14:00,,,,69.8,10,,,,6.02,4.63,,,,,,10,,0.24,,,0.1,0.2,0.05,0.08,15,,,,0.2,,38,,1.51,148,8.6,,20,17,7.8,,,,,,
D16,7/16/1975,14:00,,,,77,6,,,,6.18,3.43,,0.04,,,,10,,0.26,,,0.2,0.6,0.06,0.06,15,,,,0.6,,38,,,157,8.2,,22,14,7.9,,,,,,
D16,8/13/1975,12:00,,,,71.6,10,,,,7.87,4.05,,,,,,28,,0.12,,,0.1,0.2,0.06,0.09,15,,,,0.2,,41,,1.48,225,8.1,,22,16,7.9,,,,,,
D16,8/26/1975,11:00,,,,64.4,8,,,,7.56,4.82,,,,,,27,,0.14,,,0.2,0.2,0.07,0.09,16,,,,0.2,,38,,1.44,231,8.4,,22,16,7.9,,,,,,
D16,9/2/1975,17:00,,,,86,,,,,8.65,4.55,,,,,,28,,0.1,,,0.1,0.2,0.06,0.11,14,,,,0.2,,51,,1.51,233,8.6,,22,14,7.9,,,,,,
D16,9/16/1975,17:00,,,,78.8,9,,,,6.33,2.93,,,,,,16,,0.15,,,0.3,0.4,0.06,0.1,16,,,,0.4,,51,,2.13,203,8.9,,20,10,8,,,,,,
D16,10/15/1975,16:00,,,,75.2,,,,,4.32,3.09,,0.04,,,,10,,0.18,,,0.2,0.2,0.06,0.1,16,,,,0.2,,61,,1.87,151,8.9,,18,10,7.6,,,,,,
D16,10/28/1975,14:00,,,,62.6,,,,,5.25,2.07,,0.17,,,,9,,0.2,,,0.1,0.2,0.06,0.1,15,,,,0.4,,66,,2.1,145,9.8,,15,8,7.6,,,,,,
D16,11/12/1975,15:00,,,,62.6,,,,,,,,0.03,,,,9,,0.21,,,0.1,0.1,0.05,0.08,15,,,,0.1,,69,,2.39,136,10,,13,8,7.5,,,,,,
D16,12/15/1975,17:00,,,,51.8,,,,,1.17,0.31,,0.04,,,,7,,0.17,,,0.1,0.1,0.04,0.1,17,,,,0.1,,86,,,122,11,,10,8,7.4,,,,,,
D16,1/13/1976,16:00,,,,51.8,,,,,1.73,0.36,,0.07,,,,8,,0.24,,,0.2,0.2,0.06,0.1,18,,,,0.3,,15,,2.85,152,11.2,,8,6,7.3,,,,,,
