Station,Date,ResultPrefix_Organic Nitrogen (Total),ResultPrefix_TSS,ResultPrefix_VSS,ResultPrefix_Organic Nitrogen (Dissolved),ResultPrefix_TDS,ResultPrefix_Kjeldahl Nitrogen (Total),ResultPrefix_Pheophytin a,ResultPrefix_Ortho-phosphate (Dissolved),ResultPrefix_Chloride (Total),ResultPrefix_Silica (SiO2) (Dissolved),ResultPrefix_Chlorophyll a,ResultPrefix_Ammonia (Total),ResultPrefix_Nitrite + Nitrate (Dissolved),ResultPrefix_Ammonia (Dissolved),ResultPrefix_Chloride (Dissolved),Result_Organic Nitrogen (Total),Result_TDS,Result_TSS,Result_VSS,Result_Organic Nitrogen (Dissolved),Result_Kjeldahl Nitrogen (Total),Result_Pheophytin a,Result_Ortho-phosphate (Dissolved),Result_Chloride (Total),Result_Silica (SiO2) (Dissolved),Result_Chlorophyll a,Result_Ammonia (Total),Result_Nitrite + Nitrate (Dissolved),Result_Ammonia (Dissolved),Result_Chloride (Dissolved),ReportingLimit_Organic Nitrogen (Total),ReportingLimit_TSS,ReportingLimit_VSS,ReportingLimit_Organic Nitrogen (Dissolved),ReportingLimit_TDS,ReportingLimit_Kjeldahl Nitrogen (Total),ReportingLimit_Pheophytin a,ReportingLimit_Ortho-phosphate (Dissolved),ReportingLimit_Chloride (Total),ReportingLimit_Silica (SiO2) (Dissolved),ReportingLimit_Chlorophyll a,ReportingLimit_Ammonia (Total),ReportingLimit_Nitrite + Nitrate (Dissolved),ReportingLimit_Ammonia (Dissolved),ReportingLimit_Chloride (Dissolved),UnitName_Organic Nitrogen (Total),UnitName_TSS,UnitName_VSS,UnitName_Organic Nitrogen (Dissolved),UnitName_TDS,UnitName_Kjeldahl Nitrogen (Total),UnitName_Pheophytin a,UnitName_Ortho-phosphate (Dissolved),UnitName_Chloride (Total),UnitName_Silica (SiO2) (Dissolved),UnitName_Chlorophyll a,UnitName_Ammonia (Total),UnitName_Nitrite + Nitrate (Dissolved),UnitName_Ammonia (Dissolved),UnitName_Chloride (Dissolved),
P12,8/9/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,1.5,553,51,6,0.5,1.6,27.39,0.18,146,22,68.71,0.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
P8,8/9/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.5,212,25,4,0.5,0.5,11.58,0.16,50,21,18.53,0.01,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
MD7,8/9/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.2,86,10,2,0.2,0.3,3.58,0.08,7,24,4.2,0.06,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
MD6,8/9/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.4,78,13,3,0.2,0.4,6.39,0.07,5,23,8.15,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
C9,8/9/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.4,207,28,4,0.3,0.4,4.6,0.07,70,22,4.57,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D28A,8/9/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.3,249,18,4,0.2,0.3,2.75,0.1,92,23,6.79,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D7,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,1,10400,170,18,0.1,1,12.04,0.02,5460,9.1,31.49,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D16,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.5,410,31,4,0.2,0.5,2.84,0.09,183,23,4.2,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D9,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,1,5750,146,16,0.1,1,16.52,0.06,3030,12,24.7,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D22,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.4,463,67,8,0.2,0.4,5.22,0.1,209,23,5.06,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D19,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.3,284,28,5,0.3,0.3,3.09,0.11,111,22,4.69,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D24,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.3,93,21,4,0.2,0.3,4.29,0.08,10,23,5.8,0.01,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D26,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.4,132,14,3,0.2,0.4,1.54,0.1,33,24,3.83,0.03,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D4,8/10/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.6,3150,103,12,0.1,0.6,14.05,0.08,1680,18,17.91,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D11,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.6,1780,108,12,0.1,0.6,10.19,0.09,936,20,11.12,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D14A,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.3,571,40,6,0.2,0.3,4.45,0.08,260,22,5.56,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D10,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.9,4870,88,11,0.3,0.9,9.26,0.06,2670,13,25.94,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D42,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.7,24100,57,8,0.4,0.7,1.95,0.09,13000,11,2.96,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D8,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.9,8320,97,13,0.4,0.9,12.66,0.05,4570,11,36.43,0.02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D12,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.6,1780,59,8,0.2,0.6,7.1,0.09,948,20,12.35,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D6,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.6,16400,10,3,0.2,0.6,0.52,0.06,9270,10,4.57,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D15,8/11/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.4,604,29,5,0.2,0.4,2.62,0.08,284,22,4.32,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
P10,8/21/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.4,NA,22,4,0.2,0.4,3.49,NA,NA,14,7.53,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
C7,8/21/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,1.1,NA,55,8,0.5,1.1,29.18,NA,NA,18,59.28,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
C10,8/21/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,1.2,NA,85,10,0.4,1.2,21.46,NA,NA,17,58.66,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
C3,8/21/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.3,NA,14,3,0.2,0.4,0.43,NA,NA,17,2.35,0.08,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
MD10,8/21/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.6,NA,30,6,0.3,0.6,7.72,NA,NA,12,19.14,0.02,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
S42,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.7,NA,84,9,0.2,0.7,8.18,NA,NA,0.2,28.41,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
P12,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,1.3,NA,53,6,0.6,1.3,33.96,NA,NA,14,71.63,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
P8,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.7,NA,33,7,0.6,0.7,9.73,NA,NA,2.9,57.43,0.03,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C9,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.5,NA,53,5,0.4,0.5,5.06,NA,NA,15,6.05,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
MD7,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.3,NA,18,4,0.2,0.4,1.36,NA,NA,25,3.46,0.11,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
MD6,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.4,NA,16,4,0.4,0.4,4.72,NA,NA,13,8.52,0.04,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D28A,8/22/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.4,NA,21,4,0.4,0.4,1.73,NA,NA,16,7.9,0.02,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D9,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.8,NA,148,17,0.4,0.9,16.36,NA,NA,4.8,53.11,0.09,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D24,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.2,NA,23,5,0.1,0.3,1.95,NA,NA,18,4.45,0.05,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D26,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.2,NA,16,4,0.2,0.3,0.9,NA,NA,16,4.2,0.06,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D22,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.7,NA,60,9,0.3,0.8,5.06,NA,NA,16,4.57,0.06,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D16,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.3,NA,32,6,0.2,0.3,3.74,NA,NA,15,3.95,0.02,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D19,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.3,NA,34,6,0.2,0.3,3.98,NA,NA,16,4.08,0.02,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D7,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.3,NA,64,9,0.2,0.4,7.56,NA,NA,1.5,19.76,0.07,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D4,8/23/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.4,NA,76,10,0.2,0.4,9.42,NA,NA,11,17.91,0.03,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D11,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.4,NA,74,8,0.2,0.4,5.53,NA,NA,14,7.9,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
D10,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.5,NA,74,10,0.3,0.6,10.81,NA,NA,6.8,43.84,0.06,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D14A,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.4,NA,37,5,0.2,0.4,2.96,NA,NA,15,4.82,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
D12,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.4,NA,57,8,0.2,0.4,5.62,NA,NA,13,10.13,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
D6,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.3,NA,12,4,0.2,0.3,1.33,NA,NA,1.4,2.84,0.04,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D15,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,NA,=,NA,NA,0.3,NA,31,5,0.2,0.3,3.61,NA,NA,16,4.82,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,NA,mg/L as N,NA,NA,
D42,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.1,NA,31,6,0.1,0.3,1.54,NA,NA,2.6,3.09,0.16,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
D8,8/24/1978,=,=,=,=,NA,=,=,NA,NA,=,=,=,=,NA,NA,0.4,NA,57,10,0.3,0.5,7.87,NA,NA,2.9,33.35,0.06,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,NA,NA,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
P10,9/11/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.4,148,24,4,0.3,0.4,3.67,0.06,27,14,4.94,0.04,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C10,9/11/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,1.1,239,86,9,0.5,1.2,15.28,0.08,49,16,27.79,0.12,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C3,9/11/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.2,117,28,2,0.2,0.4,1.51,0.07,9,16,1.73,0.17,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
MD10,9/11/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.4,129,21,4,0.3,0.4,7.87,0.05,13,12,14.82,0.03,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C7,9/11/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.8,260,52,6,0.5,0.9,15.44,0.1,63,17,36.43,0.09,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
P8,9/12/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.9,304,21,3,0.7,0.9,8.03,0.19,84,10,14.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
P12,9/12/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.9,284,58,7,0.5,1,20.84,0.1,65,17,48.17,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
S42,9/12/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.7,7950,102,12,0.3,0.7,9.88,0.04,4030,2.3,25.32,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
D28A,9/12/1978,=,=,=,=,=,=,=,=,=,=,=,NA,=,NA,NA,0.5,248,20,2,0.5,0.5,1.48,0.07,82,17,4.45,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,NA,mg/L as N,NA,NA,
MD7,9/12/1978,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.4,98,15,2,0.3,0.4,0.96,0.05,9,22,2.84,0.01,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
