Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Flag,FlagDescription,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C EPA 415.3 (D) 915 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C EPA 415.3 (T) 914 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L EPA 160.2 64 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L EPA 160.4 72 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,North Latitude Decimal Degrees GPS Location - [1]*,West Longitude Decimal Degrees GPS Location - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,2/8/2022 10:00,E0222B0314,3 Feet,,,,Normal Sample,0,77.9,0.075,N/A,21.6,285,0.6,0.527,3,N/A,2.9,N/A,0.25,2.95,0.085,19.3,"671,674**",25.8,N/A,4.2,N/A,0.344,0.062,0.37,1.53,0.38,1.58,N/A,1996,1213,N/A,N/A,N/A,1,91.8,10.27,94.3,10.55,40,10.1,51.1,10.22,28.3,18.5,40,"Sunny, no waves/flat, no rain",11.2,7.39,7.45
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,3/10/2022 9:45,E0322B0471,3 Feet,,,,Normal Sample,0,77.1,<0.05,N/A,21.7,244,3.04,0.31,2.9,N/A,2.8,N/A,0.25,0.58,0.071,16.1,"577,579**",11.1,N/A,<2.5,N/A,0.276,0.051,1.14,4.65,0.89,3.62,N/A,1255,1059,"EZ2-SJR and EZ6-SJR located farther downstream than D12, sampled as regular Ezs",N/A,N/A,1,96.7,10.25,97.6,10.34,60,12.58,50.7,12.58,11.8,10.6,38.1,"Sunny, ripples to small waves with no white caps, no rain",19.3,7.8,7.76
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,4/21/2022 6:55,E0422B0678,3 Feet,,,,Normal Sample,0,"78.8,79.5**","0.081,0.082**",N/A,49.8,1690,2.97,"0.27,0.275**",2.7,N/A,2.8,N/A,0.2,1.95,0.098,12.1,3350,31.8,N/A,5.3,N/A,0.33,"0.076,0.077**",0.76,3.05,0.74,2.96,N/A,7808,6282,N/A,N/A,N/A,1,92.6,8.89,93.8,9.06,40,16.07,49.6,16.04,36.8,19.5,40.7,"Overcast; Ripples to small waves, no white caps; no rain",10.8,7.58,7.56
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,5/20/2022 6:45,E0522B0938,3 Feet,,,,Normal Sample,0,78,0.078,N/A,54.2,1990,1.52,0.295,2.8,N/A,2.6,N/A,0.18,1.11,0.087,11.8,3860,"20,21.1**",N/A,"3.6,3.6**",N/A,0.347,0.085,0.35,1.33,0.38,1.46,500,9244,7634,N/A,N/A,N/A,1,95.5,8.68,110,10.07,44,18.51,57.4,18.38,23.4,16,37.4,"Partly cloudy, moderate waves/few white caps, no rain",17,7.51,7.75
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,6/21/2022 9:50,E0622B1199,3 Feet,,,,Normal Sample,0,"69.4,70**",<0.05,N/A,43.4,1330,2.08,0.202,N/A,2.6,N/A,2.5,0.16,0.76,0.072,11.8,2600,N/A,8,N/A,<2.5,0.223,0.069,0.45,1.76,0.67,2.62,500,7281,5157,Microcystis not visible on the surface but present in the zooplankton samples,N/A,N/A,2,94.5,8.15,97.6,8.36,68,21.55,81.1,22.22,10.8,7.5,36.7,"Sunny, no waves/flat, no rain",7.5,7.81,7.92
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,7/19/2022 8:20,E0722B1411,3 Feet,,,,Normal Sample,0,61.6,<0.05,N/A,37.9,1220,2.78,0.079,N/A,2.4,N/A,2.1,0.18,1.2,0.081,10.7,2312,N/A,16.7,N/A,3,0.22,0.067,0.49,2.03,0.58,2.41,500,5602,4894,Same as EZ6-SJR,N/A,N/A,3,92.4,7.84,99.2,8.44,56,22.64,61.5,22.63,13.4,10.9,41,"Sunny, moderate waves/few white caps, no rain",19.8,7.83,7.89
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,8/16/2022 7:10,E0822B1735,3 Feet,,,,Normal Sample,0,60.3,<0.05,N/A,43.3,1360,2.27,0.106,N/A,"1.9,2**",N/A,"2,2.1**",0.18,0.83,0.081,10.3,2760,N/A,14.7,N/A,2.8,0.208,0.071,0.46,1.84,0.5,1.98,500,7203,5474,N/A,N/A,N/A,3,92.6,7.87,101.9,8.69,72,22.28,64.4,22.38,14.3,10.5,37.7,"Sunny, ripples to small waves with no white caps, no rain",9.4,7.8,7.93
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,9/14/2022 8:30,E0922B2032,3 Feet,,,,Normal Sample,0,62.5,<0.05,N/A,62.1,2080,2.06,0.144,N/A,2.2,N/A,2,0.11,0.8,0.083,11,3920,N/A,14.6,N/A,3.2,0.145,0.072,0.51,2.19,0.61,2.56,500,9110,7275,sampled about 40 mins off high slack tide due to delays caused by mechanical issues on the vessel. microcystis not visible on the surface but present in the zoop samples,N/A,N/A,2,90.3,7.7,92.2,7.9,80,21.81,61.3,21.86,9.4,8,37.7,"partly cloudy; ripples to small waves, no white caps; no rain",19.1,7.64,7.63
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,10/13/2022 9:00,E1022B2287,3 Feet,,,,Normal Sample,0,65.1,<0.05,N/A,53.5,2010,1.68,0.155,N/A,2.2,N/A,2,0.16,0.64,0.076,10.7,3880,N/A,10.9,N/A,<2.5,0.183,0.068,0.43,1.75,0.41,1.67,500,8684,7092,N/A,N/A,N/A,2,93.3,8.41,95,8.6,76,18.99,57.2,19.1,24.7,7.1,39.4,"Sunny, ripples to small waves with no white caps, no rain",9.6,7.86,7.88
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,11/14/2022 10:15,E1122B2485,3 Feet,,,,Normal Sample,0,65.2,0.072,N/A,43.3,1420,1.11,0.193,N/A,"2,2.1**",N/A,"1.9,2.1**",<0.1,0.51,0.074,11.6,2750,N/A,15.7,N/A,2.8,0.177,0.061,0.33,1.33,0.33,1.32,500,7587,5182,N/A,N/A,N/A,1,90.4,9.16,91.6,9.36,60,13.6,43.5,13.6,21,9.8,41.3,"Sunny, ripples to small waves/no white caps, no rain",6.8,7.44,7.47
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,12/13/2022 9:30,E1222B2733,3 Feet,,,,Normal Sample,0,66.1,"0.084,0.086**",N/A,38.6,1200,1.12,"0.278,0.278**",N/A,"2.4,2.4**",N/A,"2.2,2.5**",0.12,0.97,0.084,13.6,2310,N/A,22.4,N/A,3.7,0.282,"0.062,0.063**",0.35,1.47,0.36,1.5,500,5469,4420,N/A,N/A,N/A,1,91.4,10.08,91.6,10.15,48,10.22,42.6,10.12,21.9,14.9,39.7,"Sunny, ripples to small waves with no white caps, no rain",9.9,7.67,7.71
D16 - San Joaquin River @ Twitchell Island,B9D80581401,1/6/2022 9:15,E0122B0014,3 Feet,,,,Normal Sample,0,65.8,0.059,0.114,15.3,30,0.62,0.821,"5.2,5.3**",N/A,"5,5**",N/A,0.48,1.4,0.098,18.5,174,15.2,N/A,<2.5,N/A,0.545,0.071,0.44,1.74,0.43,1.69,N/A,300,300,N/A,N/A,N/A,1,86.5,10.06,87.1,10.12,60,8.71,44.2,8.75,16.9,15.4,36.4,"foggy; no rain; no waves, flat",2.9,7.17,7.16
D16 - San Joaquin River @ Twitchell Island,B9D80581401,2/8/2022 11:10,E0222B0315,3 Feet,,,,Normal Sample,0,76.2,<0.05,0.12,16.1,29,<0.5,0.447,2.9,N/A,2.9,N/A,0.27,1.74,0.058,18.4,168,5.3,N/A,<2.5,N/A,0.314,0.06,0.34,1.43,0.31,1.31,N/A,300,293,N/A,N/A,N/A,1,94.1,10.64,97.1,10.92,76,9.9,52.9,10.11,9.3,7.2,53.2,"Sunny, no waves/flat, no rain",2.1,7.62,7.75
D16 - San Joaquin River @ Twitchell Island,B9D80581401,3/10/2022 11:00,E0322B0472,3 Feet,,,,Normal Sample,0,76,<0.05,0.1,17.3,30,2.65,0.315,3.3,N/A,3.2,N/A,0.29,1.02,0.05,15.7,161,7.6,N/A,<2.5,N/A,0.307,<0.05,1,4.09,0.91,3.73,N/A,295,290,N/A,N/A,N/A,1,97.5,10.32,98.5,10.42,76,12.76,52,12.8,5,6.1,39,"Sunny, moderate waves with few white caps, no rain",36.7,7.82,7.96
D16 - San Joaquin River @ Twitchell Island,B9D80581401,4/21/2022 9:15,E0422B0679,3 Feet,,,,Normal Sample,0,73.6,<0.05,0.47,16.4,137,2.23,0.243,3.1,N/A,3.1,N/A,0.23,1.5,0.076,13.1,"363,364**",10.5,N/A,<2.5,N/A,0.255,0.069,0.65,2.6,0.62,2.48,N/A,779,697,N/A,N/A,N/A,1,93.9,9.17,95.1,9.28,68,16.39,52.3,16.42,14.6,10.3,50.2,"Cloudy; Ripples to small waves, no white caps; No rain",2,7.88,7.92
D16 - San Joaquin River @ Twitchell Island,B9D80581401,5/20/2022 9:30,E0522B0939,3 Feet,,,,Normal Sample,0,71.3,<0.05,0.897,18.7,260,1.7,0.213,2.9,N/A,2.9,N/A,0.2,1.51,0.076,12.9,576,14.5,N/A,<2.5,N/A,0.246,0.065,0.49,1.91,0.35,1.34,500,1152,1123,N/A,N/A,N/A,1,94.7,8.74,97,8.96,56,19.07,60.8,19.05,14,10.9,35.4,"Sunny, moderate waves/few white caps, no rain",41.9,7.88,8.13
D16 - San Joaquin River @ Twitchell Island,B9D80581401,6/21/2022 12:15,E0622B1200,3 Feet,,,,Normal Sample,0,63.8,<0.05,0.955,18.8,286,1.95,0.164,N/A,2.7,N/A,2.6,0.15,0.76,0.066,12.2,"590,600**",N/A,"4.9,5.2**",N/A,"<2.5,<2.5**",0.188,0.065,0.52,2,0.36,1.37,500,1259,1210,N/A,N/A,N/A,2,95.7,8.31,97.7,8.43,74,22.16,86.5,22.5,7.9,5.9,48.9,"Sunny, no waves/flat, no rain",8.4,8.01,8.24
D16 - San Joaquin River @ Twitchell Island,B9D80581401,7/20/2022 8:20,E0722B1445,3 Feet,,,,Normal Sample,0,57.5,<0.05,0.516,14.1,153,1.69,0.073,N/A,"2.8,2.9**",N/A,"2.6,2.6**",0.14,0.88,0.063,10.9,362,N/A,7.8,N/A,<2.5,0.156,0.051,0.45,1.87,0.43,1.78,500,724,701,N/A,N/A,N/A,3,93.5,7.84,95,7.96,116,24.08,65.7,24.11,6.1,6.1,42,"Sunny, ripples to small waves/no white caps, no rain",12.5,7.98,8.04
D16 - San Joaquin River @ Twitchell Island,B9D80581401,8/17/2022 7:00,E0822B1769,3 Feet,,,,Normal Sample,0,52.8,<0.05,0.549,14.1,162,2.26,0.067,N/A,"2.2,2.3**",N/A,"2.2,2.3**",0.12,1.16,0.059,11.2,381,N/A,8.5,N/A,<2.5,0.158,0.051,0.52,2.06,0.46,1.84,500,783,733,N/A,N/A,N/A,2,93.4,7.9,93.2,7.89,92,23.65,70.2,23.65,7.3,6.2,31.5,"cloudy; ripples to small waves, no white caps; no rain",8.5,7.93,8.06
D16 - San Joaquin River @ Twitchell Island,B9D80581401,9/15/2022 7:15,E0922B2054,3 Feet,,,,Normal Sample,0,53.5,"<0.05,<0.05**",0.677,14.5,205,1.68,"0.082,0.082**",N/A,2.2,N/A,2.2,0.11,0.95,0.06,12.5,450,N/A,8.5,N/A,<2.5,0.138,"0.055,0.056**",0.24,1.08,0.26,1.19,500,899,873,N/A,N/A,N/A,2,91.4,7.83,96.1,8.26,108,22.9,57.2,22.79,6.3,5.8,54.1,"Cloudy, ripples to small waves with no white caps, no rain",13.1,7.76,7.96
D16 - San Joaquin River @ Twitchell Island,B9D80581401,10/13/2022 11:35,E1022B2306,3 Feet,,,,Normal Sample,0,59,<0.05,7.7,20.7,400,2.48,0.109,N/A,2.1,N/A,2,0.14,0.97,0.06,11.8,862,N/A,8.6,N/A,<2.5,0.17,0.054,0.45,1.86,0.36,1.48,500,1621,1618,EZ2-SJR zooplankton tow ended at D16.,N/A,N/A,3,94.8,8.52,96.8,8.7,140,20.32,64.2,20.38,7.5,5.8,42,"Sunny, ripples to small waves with no white caps, no rain",6.6,7.96,8.08
D16 - San Joaquin River @ Twitchell Island,B9D80581401,11/15/2022 10:30,E1122B2519,3 Feet,,,,Normal Sample,0,60.3,"<0.05,<0.05**",0.504,15.5,171,1.22,"0.182,0.182**",N/A,2.3,N/A,2.4,<0.1,<0.5,0.059,12.5,398,N/A,6,N/A,<2.5,0.149,"0.055,0.055**",0.38,1.51,0.36,1.44,500,817,775,N/A,N/A,N/A,1,92.7,9.7,93.5,9.78,136,13.21,52.3,13.24,5,4.6,53.2,"Sunny, ripples to small waves/no white caps, no rain",9.7,7.66,7.74
D16 - San Joaquin River @ Twitchell Island,B9D80581401,12/14/2022 9:30,E1222B2767,3 Feet,,,,Normal Sample,0,62.7,"<0.05,0.05**",0.471,16.3,137,1.21,"0.331,0.331**",N/A,"2.9,3.1**",N/A,"2.9,3.1**",0.16,0.61,"0.066,0.066**",15.3,"348,350**",N/A,6,N/A,<2.5,"0.227,0.254**","0.057,0.057**",0.45,1.86,0.44,1.81,500,745,718,N/A,N/A,N/A,1,90.1,10.16,90.7,10.22,140,9.96,36.7,9.98,7.8,5.4,55.8,"Sunny, no waves/flat, no rain",3.3,7.54,7.53
D19 - Frank's Tract near Russo's Landing,B9D80261369,1/6/2022 10:35,E0122B0015,3 Feet,,,,Normal Sample,0,68.5,"0.116,0.116**",0.241,17.6,67,1.18,"0.907,0.916**","5.4,5.6**",N/A,"5.3,5.4**",N/A,0.51,1.33,0.086,17.9,246,8.2,N/A,<2.5,N/A,0.736,0.068,0.57,2.24,0.53,2.09,N/A,459,458,no zooplankton tow,N/A,N/A,1,84.9,9.78,88.1,10.14,80,9.11,44.8,9.12,10.3,9.9,20,"foggy; no rain; no waves, flat",0.6,7.39,7.51
D19 - Frank's Tract near Russo's Landing,B9D80261369,2/8/2022 12:10,E0222B0316,3 Feet,,,,Normal Sample,0,74.3,"<0.05,<0.05**",0.14,16.7,35.9,1.25,"0.59,0.592**",4,N/A,3.9,N/A,0.32,1.96,0.065,18.7,189,5.8,N/A,<2.5,N/A,0.41,"0.063,0.063**",0.73,2.98,0.48,1.99,N/A,324,323,No zooplankton tow,N/A,N/A,1,92.1,10.26,96.1,10.65,80,10.51,54.5,10.75,6.9,6.6,30.8,"Sunny, no waves/flat, no rain",6.2,7.55,7.7
D19 - Frank's Tract near Russo's Landing,B9D80261369,3/10/2022 12:00,E0322B0473,3 Feet,,,,Normal Sample,0,79,"<0.05,<0.05**",0.108,"18.3,18.4**",30,2.66,"0.353,0.354**",4.3,N/A,4.4,N/A,0.32,1.25,0.049,"15,15.3**",165,5.3,N/A,<2.5,N/A,0.382,"<0.05,<0.05**",1.25,5.11,0.95,3.87,N/A,307,305,No zooplankton tow,N/A,N/A,1,99.8,10.51,103,10.87,120,12.98,54.3,12.9,5,4.6,24,"Sunny, ripples to small waves with no white caps, no rain",29.7,7.88,8
D19 - Frank's Tract near Russo's Landing,B9D80261369,4/21/2022 10:50,E0422B0680,3 Feet,,,,Normal Sample,0,73.5,"<0.05,<0.05**",0.1,"15,15**",30,9.21,"0.123,0.124**",3.9,N/A,3.9,N/A,0.28,1.7,0.056,"9.79,9.96**",160,5.4,N/A,<2.5,N/A,0.311,"<0.05,<0.05**",1.27,5.11,1.76,7.09,N/A,295,286,No zooplankton tow,N/A,N/A,1,98.3,9.54,102.8,9.9,116,16.74,55.8,17.15,4.7,4.4,37.4,"Cloudy; No waves, flat; No rain",2.9,8.14,8.32
D19 - Frank's Tract near Russo's Landing,B9D80261369,5/20/2022 10:45,E0522B0940,3 Feet,,,,Normal Sample,0,67.8,<0.05,0.156,14.3,46,2.47,0.122,3.3,N/A,3.3,N/A,0.19,1.38,0.06,10.4,181,5.2,N/A,<2.5,N/A,0.259,0.05,0.68,2.65,0.74,2.88,500,339,340,No zooplankton tow.,N/A,N/A,1,97.7,9.09,96.3,8.96,80,18.81,64,18.83,5.7,5.4,12.1,"Sunny, moderate waves/few white caps, no rain",35.4,8.31,8.19
D19 - Frank's Tract near Russo's Landing,B9D80261369,6/21/2022 13:45,E0622B1201,3 Feet,,,,Normal Sample,0,67.3,"<0.05,<0.05**",0.426,16.1,129,1.83,"<0.05,<0.05**",N/A,3.3,N/A,3.5,0.14,0.56,0.058,9.16,322,N/A,<2.5,N/A,<2.5,0.213,"0.05,0.051**",0.15,0.53,0.24,0.91,500,643,644,No zooplankton tow,N/A,N/A,1,108.5,9.35,121.5,10.26,160,22.68,89.8,23.76,3.6,2.7,35.1,"Sunny, no waves/flat, no rain",5.9,8.62,9.03
D19 - Frank's Tract near Russo's Landing,B9D80261369,7/19/2022 10:50,E0722B1412,3 Feet,,,,Normal Sample,0,58.3,<0.05,0.404,13.9,119,1.66,<0.05,N/A,2.9,N/A,2.6,0.1,<0.5,0.067,9.98,303,N/A,"3.1,3.8**",N/A,"<2.5,<2.5**",0.22,0.057,0.29,1.22,0.33,1.37,500,589,587,No zooplankton tow,N/A,N/A,3,91.9,7.68,96.9,8.04,192,24.27,76.8,24.68,3.7,2.7,36.1,"Sunny, ripples to small waves/no white caps, no rain",11.4,8.12,8.24
D19 - Frank's Tract near Russo's Landing,B9D80261369,8/16/2022 10:30,E0822B1736,3 Feet,,,,Normal Sample,0,53,<0.05,0.388,12.8,115,2.11,<0.05,N/A,2.3,N/A,2.3,0.11,0.73,0.061,11,295,N/A,3.3,N/A,<2.5,0.191,0.055,0.34,1.34,0.36,1.41,500,548,561,No zooplankton tow,N/A,N/A,3,95.1,8,96,8.07,48,23.92,82,23.96,2.9,2.8,36.7,"Sunny, no waves/flat, no rain",7.8,8.33,8.41
D19 - Frank's Tract near Russo's Landing,B9D80261369,9/14/2022 10:30,E0922B2033,3 Feet,,,,Normal Sample,0,54.7,<0.05,0.499,14.1,148,1.5,<0.05,N/A,2.4,N/A,2.6,0.13,0.6,0.062,12.3,352,N/A,3.1,N/A,<2.5,0.169,0.059,0.41,1.79,0.36,1.58,500,680,671,no zoop tow. sampled about 45 mins off high slack tide due to delays caused by mechanical issues on the vessel,N/A,N/A,2,89.7,7.69,91.1,7.82,188,22.93,65.7,22.9,2.4,2.3,32.2,"partly cloudy; ripples to small waves, no white caps; no rain",13,7.87,7.97
D19 - Frank's Tract near Russo's Landing,B9D80261369,10/13/2022 12:45,E1022B2288,3 Feet,,,,Normal Sample,0,57.5,<0.05,0.667,15.4,208,3.64,<0.05,N/A,2.5,N/A,2.5,0.13,<0.5,0.051,10.8,"464,464**",N/A,<2.5,N/A,<2.5,0.189,<0.05,0.37,1.54,0.39,1.62,500,848,864,No zooplankton tow,N/A,N/A,3,104.5,9.45,105.1,9.45,220,20.15,67.8,20.43,1.8,1.7,30.8,"Sunny, no waves/flat, no rain",8.7,8.37,8.42
D19 - Frank's Tract near Russo's Landing,B9D80261369,11/14/2022 13:25,E1122B2486,3 Feet,,,,Normal Sample,0,61,<0.05,0.692,17.4,236,1.42,0.151,N/A,2.4,N/A,2.2,0.11,<0.5,0.054,12.2,"510,520**",N/A,3.9,N/A,<2.5,0.161,0.051,0.43,1.72,0.37,1.48,500,1029,981,No zooplankton tow,N/A,N/A,1,96.1,9.91,96.6,9.95,140,13.8,51.1,13.85,3.1,3.1,32.2,"Sunny, no waves/flat, no rain",6,7.86,7.88
D19 - Frank's Tract near Russo's Landing,B9D80261369,12/13/2022 11:35,E1222B2734,3 Feet,,,,Normal Sample,0,63.3,0.09,0.79,18.5,210,1.77,0.262,N/A,2.6,N/A,2.7,0.13,1.37,0.059,13.9,"528,532**",N/A,"11.3,11.3**",N/A,"2.7,3.1**",0.329,<0.05,0.41,1.67,0.43,1.78,500,1203,1017,No zooplankton tow,N/A,N/A,1,90.7,10.16,90.3,10.13,80,10.16,46.6,10.12,7.9,7.4,34.5,"Sunny, ripples to small waves with no white caps, no rain",13.8,7.72,7.8
D22 - Sacramento River @ Emmaton,B9D80511443,1/10/2022 11:15,E0122B0078,3 Feet,,,,Normal Sample,0,"76.3,78**",<0.05,N/A,"14.6,14.8**",13.7,0.81,0.548,3.5,N/A,3.4,N/A,0.3,0.84,0.077,"18.5,18.7**",145,10.8,N/A,<2.5,N/A,0.346,0.065,0.47,1.86,0.28,1.08,N/A,241,240,N/A,N/A,N/A,1,88.9,10.28,83.9,9.67,56,8.96,47.8,9.06,14.9,13.5,33.8,"Partly cloudy, no waves, flat, no rain",8.9,7.52,7.47
D22 - Sacramento River @ Emmaton,B9D80511443,2/10/2022 13:50,E0222B0379,3 Feet,,,,Normal Sample,0,78.4,<0.05,N/A,16.8,43,1.31,0.314,"2.3,2.3**",N/A,"2.3,2.3**",N/A,0.16,1.32,0.062,17.4,189,11.3,N/A,<2.5,N/A,0.209,0.057,0.3,1.25,0.28,1.17,N/A,366,361,N/A,N/A,N/A,1,95.2,10.69,95.8,10.75,64,10.16,62.6,10.18,11.8,11.1,31.5,"sunny; no waves, flat; no rain",1,7.79,7.87
D22 - Sacramento River @ Emmaton,B9D80511443,3/14/2022 14:25,E0322B0536,3 Feet,,,,Normal Sample,0,71,<0.05,N/A,14.3,27,1.64,0.204,"2.2,2.2**",N/A,"2.1,2.1**",N/A,0.22,<0.5,0.041,13.9,149,13.7,N/A,<2.5,N/A,0.244,<0.05,0.89,3.64,0.64,2.63,N/A,651,337,N/A,N/A,N/A,1,99.6,10.38,105.3,10.95,44,13.4,63.1,13.54,11.9,11.1,32.5,"Partly cloudy; no waves, flat; no rain",1.7,8.01,8.19
D22 - Sacramento River @ Emmaton,B9D80511443,4/25/2022 12:00,E0422B0743,3 Feet,,,,Normal Sample,0,74.3,<0.05,N/A,23.4,438,5.3,0.247,"2.9,3**",N/A,"2.9,3**",N/A,0.27,2.55,0.109,13.3,925,37.3,N/A,4.7,N/A,0.294,0.077,0.93,3.73,0.86,3.43,N/A,2073,1891,EZ2 located at D22.,N/A,N/A,1,93,8.94,93.8,9,24,16.98,67.3,17.06,34.2,24.5,32.8,"Sunny, ripples to small waves, no white caps, no rain",12.2,7.81,7.81
D22 - Sacramento River @ Emmaton,B9D80511443,5/24/2022 12:15,E0522B0988,3 Feet,,,,Normal Sample,0,72.3,<0.05,N/A,"29.5,29.5**",725,2.73,0.231,2.7,N/A,2.8,N/A,0.27,1.59,0.091,"13.7,13.8**",1480,26.7,N/A,4.1,N/A,0.308,0.073,0.69,2.83,0.59,2.42,500,4017,2835,N/A,N/A,N/A,1,96,8.71,110.2,9.87,44,19.47,86.5,20.31,69.1,17.8,30.2,"Sunny, ripples to small waves with no white caps, no rain",9.6,7.87,8.11
D22 - Sacramento River @ Emmaton,B9D80511443,6/23/2022 12:55,E0622B1246,3 Feet,,,,Normal Sample,0,65,<0.05,N/A,30.1,900,1.79,0.191,N/A,"2.5,2.5**",N/A,"2.5,2.7**",0.18,0.83,0.08,12.8,1680,N/A,16,N/A,2.6,0.238,0.068,0.35,1.34,0.59,2.29,500,4768,3429,Microcystis not visible on the surface but present in the zooplankton samples,N/A,N/A,2,92.4,7.91,95,8.03,36,22.35,86.2,23.2,19.5,10.5,32.2,"Sunny, ripples to small waves with no white caps, no rain",7.7,7.83,7.96
D22 - Sacramento River @ Emmaton,B9D80511443,7/21/2022 11:25,E0722B1474,3 Feet,,,,Normal Sample,0,56.9,<0.05,N/A,"21.6,21.7**",490,2.26,0.096,N/A,"2.2,2.2**",N/A,"2.4,2.5**",0.14,1,0.076,"11.8,11.8**",1020,N/A,17,N/A,3.1,0.16,0.059,0.56,2.33,0.5,2.06,500,2876,1917,Passed through EZ2 during the tow,N/A,N/A,2,93.2,8.04,96.2,8.25,60,22.27,72.3,22.72,32.9,12.9,30.5,"Sunny ripples to small waves with no white caps, no rain",14.3,7.92,8.03
D22 - Sacramento River @ Emmaton,B9D80511443,8/18/2022 10:05,E0822B1798,3 Feet,,,,Normal Sample,0,57.6,<0.05,N/A,32.7,1020,2.1,0.102,N/A,1.9,N/A,2,0.14,0.8,0.076,11.1,"2010,2030**",N/A,19.1,N/A,3.9,0.196,0.062,0.48,1.89,0.41,1.64,500,4411,3547,"Located at the end of the EZ6 tow. Sonde readings and samples collected just outside of the channel 
due to a large ship passing by.",N/A,N/A,2,93.3,8.02,94.4,8.1,52,22.21,74.7,22.44,17.9,12.5,27.2,"Sunny, ripples to small waves/no white caps, no rain",17.8,7.88,7.94
D22 - Sacramento River @ Emmaton,B9D80511443,9/30/2022 8:25,E0922B2077,3 Feet,,,,Normal Sample,0,60.6,<0.05,N/A,40.6,1370,1.99,0.152,N/A,2.1,N/A,2.1,0.1,<0.5,0.075,11.4,2570,N/A,14.9,N/A,3.2,0.18,0.067,0.47,2.04,0.47,2.03,500,6464,4754,N/A,N/A,N/A,2,94.4,8.32,94.5,8.39,56,20.53,71.6,20.44,25.2,12.5,31.8,"Sunny, ripples to small waves, no white caps, no rain",9.8,7.79,7.81
