Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde 916 [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde 916 [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde 916 [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde 916 [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered 916 [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) 916 [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) 916 [1]*,Field Notes Notes (Field) 916 [1]*,North Latitude Decimal Degrees GPS Location 916 [1]*,West Longitude Decimal Degrees GPS Location 916 [1]*,Microcystis aeruginosa Field Observations (Water) 916 [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) 916 [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) 916 [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) 916 [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) 916 [1]*,Secchi Depth Centimeters Secchi Depth 916 [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) 916 [1]*,"Air Temperature °F Temperature, Air 916 [1]*",Water Temperature °C EPA 170.1 (Field) 916 [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) 916 [1]*,Turbidity F.N.U. EPA 180.1 (Field) 916 [1]*,Water Depth at Station Feet Depth of Water Column 916 [1]*,Weather Observations Weather Observations 916 [1]*,Wind Velocity Miles/hr Wind Velocity 916 [1]*,(Bottom) pH pH Units EPA 150.1 (Field) 916 [1]*,pH pH Units EPA 150.1 (Field) 916 [1]*
Sacramento River @ Hood - C3A,B9D82211312,03/10/2023 07:30,E0323B0450,3 Feet,,Normal Sample,0,50.7,<0.05,N/A,10.3,6.15,5.45,143,0.291,"2.1,2.2**","2.3,2.3**",0.14,3.57,0.088,15.9,91,38.9,5.1,0.26,<0.05,N/A, 0.94, 4.05, 0.87, 3.95, 500, 142, 142,N/A,N/A,N/A, 1, 98.6, 11.45, 98.6, 11.46,N/A, 8.79, 50, 8.79, 22.4, 17.6, 18.3,"Overcast, no waves/flat, no rain", 9, 7.29, 7.38
Blank; Equipment,Blank; Equipment,04/11/2023 15:00,E0423B0754,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,04/12/2023 11:10,E0423B0765,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,04/13/2023 12:35,E0423B0799,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,04/14/2023 13:00,E0423B0827,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,04/17/2023 15:30,E0423B0893,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,0.011,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,04/18/2023 15:00,E0423B0935,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,04/19/2023 16:40,E0423B0983,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,04/11/2023 11:45,E0423B0757,3 Feet,,Normal Sample,0,38.7,<0.05,N/A,8.56,9.64,4.25,138,0.127,3.6,3.5,0.18,0.9,0.08,9.61,"84,85**",11.1,<2.5,0.221,0.06,N/A, 0.98, 3.87, 1.01, 4.03, 500, 137, 137,could not reach bottom due to fast moving water. bottom readings taken at 10.3 ft. samples collected with van dorn,N/A,N/A, 1, 92.7, 9.25, 92.8, 9.28,N/A, 15.35, 70, 15.34, 10.3, 10,N/A,"partly cloudy; ripples to small waves, no white caps; no rain", 11, 6.92, 7.22
C9 - West Canal @ Clifton Court Intake,B9C74981333,04/11/2023 10:30,E0423B0756,3 Feet,,Normal Sample,0,40.7,"<0.05,<0.05**",N/A,"9.69,9.72**",12.1,4.18,154,"0.162,0.163**",3.6,3.6,0.19,1.29,"0.097,0.1**","9.98,9.99**",91,16.2,<2.5,"0.26,0.274**","0.062,0.063**",N/A, 0.93, 3.6, 1.06, 4.27, 500, 153, 153,N/A,N/A,N/A, 1, 93.7, 9.36, 93.8, 9.37,N/A, 15.39, 65, 15.4, 12, 13, 17.7,"partly cloudy; ripples to small waves, no white caps; no rain", 12, 7.25, 7.47
D10 - Sacramento River @ Chipps Island,B9D80281551,04/17/2023 15:15,E0423B0896,3 Feet,,Normal Sample,0,61,<0.05,N/A,"12.4,13.5**",13.9,3.98,195,0.221,3,2.8,0.19,1.88,0.092,"13.4,14.3**",123,38.1,5.9,0.26,0.051,N/A, 0.79, 3.18, 0.69, 2.78, 500, 191, 186,N/A,N/A,N/A, 1, 97.7, 9.91, 98.4, 9.97, 60, 14.68, 53.8, 14.79, 39.2, 17.5, 39.7,"Partly cloudy, large waves/frequent white caps, no rain", 32.6, 7.78, 7.77
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,04/12/2023 08:30,E0423B0766,3 Feet,,Normal Sample,0,49.6,<0.05,N/A,11.4,14.1,2.24,180,0.297,"3.4,3.7**","3.6,3.7**",0.15,0.79,0.078,12.9,108,10.1,<2.5,0.223,0.057,N/A, 0.56, 2.25, 0.56, 2.27, 500, 179, 178,N/A,N/A,N/A, 1, 94.3, 9.6, 94.5, 9.57, 62, 14.55, 47.7, 14.78, 10.6, 9.9, 41.3,"sunny; moderate waves, few white caps; no rain", 23, 7.58, 7.6
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,04/12/2023 08:30,E0423B0769,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0766,50,<0.05,N/A,11.4,14.1,2.32,181,0.298,3.7,3.6,0.27,0.74,0.079,12.6,111,8.8,<2.5,0.306,0.058,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D16 - San Joaquin River @ Twitchell Island,B9D80581401,04/13/2023 08:20,E0423B0800,3 Feet,,Normal Sample,0,46.5,<0.05,<0.1,11.2,12.6,1.92,166,0.241,3.4,3.3,0.19,0.76,0.07,12.7,103,8.2,<2.5,0.26,0.056,N/A, 0.46, 1.87, 0.45, 1.82, 500, 162, 163,N/A,N/A,N/A, 1, 95, 9.62, 96, 9.75, 56, 14.77, 49.8, 14.66, 8.9, 8.6, 55.4,"Sunny, moderate waves with few white caps, no rain", 27.8, 7.33, 7.41
D19 - Frank's Tract near Russo's Landing,B9D80261369,04/12/2023 09:55,E0423B0767,3 Feet,,Normal Sample,0,47.1,<0.05,<0.1,"11.5,11.6**",13.4,1.96,171,0.268,3.9,3.7,0.24,0.64,"0.073,0.075**","12.7,12.8**",104,6.5,<2.5,"0.277,0.282**",0.06,N/A, 0.51, 2.07, 0.48, 1.97, 500, 163, 166,no zoop tow,N/A,N/A, 1, 95.2, 9.61, 95.3, 9.6, 78, 14.92, 51.3, 15.03, 7.3, 7.5, 25.6,"sunny; moderate wave, few white caps; no rain", 16.1, 7.5, 7.49
D22 - Sacramento River @ Emmaton,B9D80511443,04/14/2023 11:15,E0423B0829,3 Feet,,Normal Sample,0,75.4,<0.05,N/A,14.7,7.4,4.3,200,0.215,2.5,2.9,0.12,1.27,"0.048,0.049**",15.5,122,11.4,<2.5,"0.188,0.2**",<0.05,N/A, 0.66, 2.66, 0.73, 2.93, 500, 179, 181,N/A,N/A,N/A, 1, 97.1, 9.99, 97.4, 10.02, 59, 14.07, 55.2, 14.06, 11, 10.6, 33.5,"sunny; ripples to small waves, no white caps; no rain", 11.6, 7.84, 7.81
D22 - Sacramento River @ Emmaton,B9D80511443,04/14/2023 11:15,E0423B0831,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0829,77.3,<0.05,N/A,15.1,7.67,4.39,205,0.21,2.8,2.9,0.16,1.03,0.049,15.6,"122,123**","11.3,11.7**","<2.5,<2.5**",0.169,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D26 - San Joaquin River @ Potato Point,B9D80461340,04/13/2023 09:20,E0423B0801,3 Feet,,Normal Sample,0,"45.7,45.9**","<0.05,<0.05**",N/A,"10.8,10.9**",10.1,2.05,"151,151**","0.202,0.203**","3.1,3.1**","3.1,3.2**",0.17,0.73,"0.064,0.065**","12.7,12.9**",94,9.2,<2.5,"0.219,0.234**","<0.05,0.05**",7.76, 0.45, 1.81, 0.46, 1.87, 500, 148, 148,N/A,N/A,N/A, 1, 95.1, 9.63, 96, 9.73, 42, 14.77, 50.5, 14.76, 9.9, 9.6, 38.7,"Sunny, large waves with frequent white caps, no rain", 26.9, 7.31, 7.37
D28A - Old River @ Rancho Del Rio,B9D75821344,04/12/2023 10:40,E0423B0768,3 Feet,,Normal Sample,0,43.1,<0.05,N/A,11.2,"16.6,16.6**",0.86,181,0.22,3.9,3.8,0.24,0.97,0.084,10.1,109,"4.8,5.2**","<2.5,<2.5**",0.284,0.067,N/A, 0.39, 1.58, 0.42, 1.71, 500, 177, 180,N/A,N/A,N/A, 1, 91.1, 9.01, 91.9, 9.07, 86, 15.9, 54, 15.95, 8.1, 6.9, 21.3,"sunny; ripples to small waves, no white caps; no rain", 8.9, 7.3, 7.37
D4 - Sacramento River above Point Sacramento,B9D80381492,04/14/2023 10:25,E0423B0828,3 Feet,,Normal Sample,0,62.6,<0.05,N/A,13.8,11.4,3.43,193,0.253,3,3.1,0.16,0.97,0.06,14.5,118,11.3,<2.5,0.215,<0.05,N/A, 0.66, 2.68, 0.55, 2.21, 500, 191, 190,N/A,N/A,N/A, 1, 96.5, 9.83, 99.4, 10.23, 65, 14.49, 53.1, 14.05, 11.3, 10.7, 38.7,"sunny; ripples to small waves, no white caps; no rain", 12, 7.7, 7.76
D41 - San Pablo Bay near Pinole Point,E0B80182224,04/19/2023 13:55,E0423B0985,3 Feet,,Normal Sample,0,84.9,<0.05,N/A,159,7100,3.41,21100,0.291,1.6,1.7,0.1,0.7,0.083,9.65,12900,15.1,3.4,0.214,0.069,N/A, 0.71, 2.86, 0.89, 3.57, 500, 30461, 23322,N/A,N/A,N/A, 1, 86.1, 8.08, 98.1, 9.11, 30, 12.91, 55.9, 14.79, 13.6, 7.4, 42,"Partly cloudy, no waves/flat, no rain", 2.1, 7.71, 7.75
D41 - San Pablo Bay near Pinole Point,E0B80182224,04/19/2023 13:55,E0423B0989,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0985,85.7,<0.05,N/A,154,7060,4.39,22000,0.294,1.5,1.5,0.12,0.92,0.091,9.03,13300,15.2,5,0.431,0.069,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,04/19/2023 12:25,E0423B0984,3 Feet,,Normal Sample,0,77.3,<0.05,N/A,106,4650,3.24,14300,0.278,2.1,1.8,0.11,0.63,0.091,10.9,8340,"24.8,25.7**","4.6,4.8**",0.202,0.066,N/A, 0.96, 3.87, 0.86, 3.45, 500, 15099, 14624,N/A,N/A,N/A, 1, 94.1, 9.04, 95.7, 9.17, 22, 14.73, 52.2, 14.93, 16.9, 14.3, 8.5,"Partly cloudy, ripples to small waves with no white caps, no rain", 6.2, 7.62, 7.62
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,04/17/2023 12:25,E0423B0894,3 Feet,,Normal Sample,0,68.3,0.052,N/A,42.2,1430,2.88,4930,0.269,2.9,2.5,<0.1,1.36,0.102,12.8,2710,37.6,7,0.248,0.059,N/A, 0.96, 3.88, 0.66, 2.67, 250, 11383, 5560,N/A,N/A,N/A, 1, 90.6, 8.87, 95.8, 9.53, 38, 14.49, 50.7, 14.78, 196.1, 22.7, 48.6,"Overcast, ripples to small waves/no white caps, no rain", 12, 7.54, 7.57
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,04/18/2023 12:10,E0423B0936,3 Feet,,Normal Sample,0,59.7,<0.05,"<0.1,<0.1**",12.4,"14.9,15**",3.49,197,0.222,"2.9,3**","2.8,3**",0.18,1.28,0.093,13.1,123,34.1,5.6,0.254,0.05,N/A, 0.7, 2.81, 0.66, 2.65, 250, 196, 195,N/A,N/A,N/A, 1, 98.4, 10.01, 101, 10.29, 38, 14.54, 50.4, 14.51, 22.4, 21.5, 6.9,"partly cloudy; ripples to small waves, no white caps; no rain", 22.3, 7.81, 7.94
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,04/17/2023 14:30,E0423B0895,3 Feet,,Normal Sample,0,58.3,<0.05,N/A,12.5,14.1,3.15,192,0.232,3,2.9,0.18,1.14,0.078,13.3,122,19.2,3.1,0.231,0.053,N/A, 0.74, 3.01, 0.62, 2.52, 500, 192, 190,N/A,N/A,N/A, 1, 96.9, 9.8, 98.7, 9.96, 56, 14.85, 52.3, 14.96, 33, 14.4, 46.9,"Partly cloudy, large waves/frequent white caps, no rain", 26.9, 7.78, 7.79
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,04/17/2023 14:30,E0423B0897,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0895,58.9,<0.05,N/A,12.4,14.2,3.17,193,0.234,3,3,0.22,1.1,0.077,13,121,20.4,4,0.262,0.053,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,04/13/2023 10:40,E0423B0802,3 Feet,,Normal Sample,0,54.2,<0.05,N/A,12.9,16.5,1.44,195,0.176,4.4,4.5,0.27,0.73,0.109,7.94,"112,113**",3,<2.5,0.332,0.093,N/A, 0.49, 1.98, 0.49, 2, 500, 192, 193,N/A,N/A,N/A, 1, 94.4, 9.26, 95.8, 9.42, 106, 16.25, 55.2, 16.15, 4.9, 5, 13.5,"Sunny, ripples to small waves with no white caps, no rain", 12.2, 7.37, 7.43
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,04/13/2023 10:40,E0423B0804,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0802,54.8,<0.05,N/A,12.7,16.5,1.46,196,0.176,4.5,4.4,0.27,0.69,0.107,7.84,116,3.3,<2.5,0.333,0.094,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,04/19/2023 15:35,E0423B0987,3 Feet,,Normal Sample,0,64.6,<0.05,N/A,26,712,2.51,2590,0.249,2.8,2.5,0.23,1.38,0.102,12.7,1370,43,7,0.282,0.06,N/A, 0.84, 3.39, 0.6, 2.44, 250, 15120, 2660,N/A,N/A,N/A, 1, 89.4, 8.73, 98.9, 9.82, 18, 13.97, 56.1, 15.32, 101, 29.5, 56.1,"Sunny, moderate waves with few white caps, no rain", 14.3, 7.72, 7.95
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,04/19/2023 16:25,E0423B0988,3 Feet,,Normal Sample,0,62.8,<0.05,N/A,18.2,298,2.48,1210,0.246,3,2.8,0.3,1.31,"0.104,0.105**",13.6,628,41.7,7.1,"0.313,0.326**",0.062,N/A, 0.66, 2.68, 0.6, 2.42, 250, 11176, 1230,N/A,N/A,N/A, 1, 91.6, 9.02, 98.2, 9.85, 18, 14.29, 56.3, 15.06, 23.9, 32.1, 59.7,"Sunny, moderate waves with few white caps, no rain", 11.9, 7.7, 8
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,04/18/2023 14:35,E0423B0938,3 Feet,,Normal Sample,0,79.8,<0.05,N/A,20.6,207,4.68,939,0.286,5.3,5.1,0.51,2.24,0.158,12.9,502,60.7,9.6,0.564,0.065,N/A, 1.19, 4.77, 1.03, 4.13, 250, 1098, 915,N/A,N/A,N/A, 1, 93, 9.33, 103.7, 10.38, 22, 15.1, 53.2, 15.18, 51.3, 45.1, 29.5,"Sunny; ripples to small waves, no white caps; no rain", 20.9, 7.76, 7.98
NZ068 in Sacramento River,B9D80861414,04/14/2023 12:15,E0423B0830,3 Feet,,Normal Sample,0,70.6,<0.05,N/A,13.9,6.37,4.14,184,0.214,2.6,2.5,<0.1,1.14,0.046,16.3,112,15.6,2.6,0.158,<0.05,N/A, 0.69, 2.77, 0.76, 3.07, 500, 179, 176,N/A,N/A,N/A, 1, 98.3, 10.08, 99, 10.01, 52, 14.2, 57.2, 14.84, 13.6, 10.6, 20,"sunny; ripples to small waves, no white caps; no rain", 5.4, 7.94, 7.9
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,04/19/2023 14:45,E0423B0986,3 Feet,,Normal Sample,0,73.8,<0.05,N/A,75.9,3150,7.99,10300,0.267,"2.2,2.2**","2.2,2.2**",0.12,0.86,0.094,11.2,5890,24,6,0.283,0.065,N/A, 0.86, 3.46, 1.48, 5.94, 500, 27739, 10559,N/A,N/A,N/A, 1, 87.5, 8.25, 103.2, 9.86, 24, 13.24, 55, 15.81, 116.2, 14.2, 39.7,"Partly cloudy, ripples to small waves with no white caps, no rain", 15.7, 7.77, 7.91
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,04/18/2023 13:30,E0423B0937,3 Feet,,Normal Sample,0,94.4,0.067,N/A,"25.7,27**",337,3.58,1430,0.336,6.1,6,0.51,3.15,0.185,"11.7,12.2**",786,69.6,11.5,0.669,0.07,N/A, 1.24, 4.99, 1.23, 4.93, 250, 1428, 1437,N/A,N/A,N/A, 1, 90.2, 8.98, 101.7, 10.2, 29, 15.35, 54.1, 15.08, 67.7, 47.4, 16.7,"partly cloudy; ripples to small waves, no white caps; no rain", 14.6, 7.64, 7.77
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,04/18/2023 13:30,E0423B0939,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0937,94.5,0.062,N/A,26.1,334,3.77,1430,0.337,6.6,6.6,0.62,4.35,0.209,11.9,767,98.9,13.9,0.745,0.071,N/A,N/A,N/A,N/A,N/A, 250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P8 - San Joaquin River @ Buckley Cove,B9D75871229,04/13/2023 12:10,E0423B0803,3 Feet,,Normal Sample,0,40.8,<0.05,N/A,9.51,12,3.25,152,0.138,3.7,3.6,0.19,0.94,0.091,9.74,94,"11.1,11.3**","<2.5,<2.5**",0.285,0.066,N/A, 0.6, 2.42, 0.72, 2.91, 500, 152, 149,N/A,N/A,N/A, 1, 93, 9.31, 95.7, 9.56, 56, 15.27, 57.9, 15.42, 13.3, 10.2, 36.4,"Sunny, moderate waves with few white caps, no rain", 16, 7.35, 7.48
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,04/17/2023 13:50,E0423B0861,3 Feet,,Normal Sample,0,61.9,<0.05,N/A,12.9,42,3.93,313,0.248,3,2.9,0.26,1.27,0.087,13.1,183,"26.7,26.7**","4.7,4.7**",0.235,0.055,N/A, 0.63, 2.55, 0.74, 2.99, 500, 2192, 319,Located a half mile upstream of channel marker 10., 38.060511, -122.067981, 1, 94.7, 9.49, 96.6, 9.74, 40, 14.93, 52.5, 14.94, 24.7, 19.3, 50.5,"Partly cloudy, large waves/frequent white caps, no rain", 20.8, 7.65, 7.93
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,04/17/2023 13:05,E0423B0860,3 Feet,,Normal Sample,0,67.1,0.051,N/A,35.4,1050,2.23,3790,0.267,2.7,2.5,0.17,1.3,"0.093,0.095**",13.3,2070,30,5.6,"0.278,0.281**",0.059,N/A, 0.63, 2.53, 0.67, 2.71, 500, 5599, 3823,Located just downstream of green channel marker 7., 38.04882, -122.102441, 1, 93.9, 9.34, 96.1, 9.58, 40, 14.77, 50.9, 14.98, 20.4, 20.1, 39,"Overcast, ripples to small waves/ no white caps, no rain", 19.9, 7.58, 7.69
Sacramento River @ Hood - C3A,B9D82211312,04/11/2023 08:45,E0423B0755,3 Feet,,Normal Sample,0,57.9,<0.05,N/A,12,4.17,3.85,145,0.263,1.8,1.8,<0.1,0.98,0.062,17.4,87,31.4,3.2,0.183,<0.05,N/A, 1.04, 4.18, 0.77, 3.22, 500, 144, 144,N/A,N/A,N/A, 1, 98.8, 10.34, 98.8, 10.43,N/A, 13.28, 61, 13.28, 17.6, 16.8, 17.5,"partly cloudy; ripples to small waves, no white caps; no rain", 8, 7.31, 7.31
Sacramento River @ Hood - C3A,B9D82211312,04/11/2023 08:45,E0423B0758,3 Feet,,"Duplicate, Specific Analyte(s)",E0423B0755,58.4,<0.05,N/A,11.6,4.16,3.78,145,0.262,2.2,2,<0.1,1.09,0.057,17.7,90,35.6,3.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,05/10/2023 14:30,E0523B0990,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,N/A,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,05/11/2023 11:10,E0523B1001,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,05/12/2023 13:25,E0523B1035,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,05/15/2023 14:40,E0523B1063,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
